"","SpecName","Area_code_L3","accGenus","PalmTribe","PalmSubfamily","AverageFruitLength_cm","accAfrica","Americas","Asia","Africa","Madagascar","Pacific","accRealm","area","region","continent","log_BBM_MCC","log_BBM_mean"
"1","Acanthophoenix_crinita","REU","Acanthophoenix","Areceae","Arecoideae",0.65,"1","0","0","1","0","0","Africa","Réunion","Western Indian Ocean","AFRICA",2.49073806909858,0.764621158007559
"2","Acanthophoenix_rousselii","REU","Acanthophoenix","Areceae","Arecoideae",2,"1","0","0","1","0","0","Africa","Réunion","Western Indian Ocean","AFRICA",2.7438004576893,0.745084072370034
"3","Acanthophoenix_rubra","MAU","Acanthophoenix","Areceae","Arecoideae",1,"1","0","0","1","0","0","Africa","Mauritius","Western Indian Ocean","AFRICA",3.75605001205218,0.861376248783875
"4","Acanthophoenix_rubra","REU","Acanthophoenix","Areceae","Arecoideae",1,"1","0","0","1","0","0","Africa","Réunion","Western Indian Ocean","AFRICA",3.75605001205218,0.861376248783875
"5","Acoelorrhaphe_wrightii","SWC","Acoelorrhaphe","Trachycarpeae","Coryphoideae",0.7,"0","1","0","0","0","0","Americas","Southwest Caribbean","Caribbean","SOUTHERN AMERICA",3.60421257889774,0.868818948074361
"6","Acoelorrhaphe_wrightii","MXT","Acoelorrhaphe","Trachycarpeae","Coryphoideae",0.7,"0","1","0","0","0","0","Americas","Mexico Southeast","Mexico","NORTHERN AMERICA",3.60421257889774,0.868818948074361
"7","Acoelorrhaphe_wrightii","BAH","Acoelorrhaphe","Trachycarpeae","Coryphoideae",0.7,"0","1","0","0","0","0","Americas","Bahamas","Caribbean","SOUTHERN AMERICA",3.60421257889774,0.868818948074361
"8","Acoelorrhaphe_wrightii","COS","Acoelorrhaphe","Trachycarpeae","Coryphoideae",0.7,"0","1","0","0","0","0","Americas","Costa Rica","Central America","SOUTHERN AMERICA",3.60421257889774,0.868818948074361
"9","Acoelorrhaphe_wrightii","CLM","Acoelorrhaphe","Trachycarpeae","Coryphoideae",0.7,"0","1","0","0","0","0","Americas","Colombia","Western South America","SOUTHERN AMERICA",3.60421257889774,0.868818948074361
"10","Acoelorrhaphe_wrightii","CUB","Acoelorrhaphe","Trachycarpeae","Coryphoideae",0.7,"0","1","0","0","0","0","Americas","Cuba","Caribbean","SOUTHERN AMERICA",3.60421257889774,0.868818948074361
"11","Acoelorrhaphe_wrightii","FLA","Acoelorrhaphe","Trachycarpeae","Coryphoideae",0.7,"0","1","0","0","0","0","Americas","Florida","Southeastern U.S.A.","NORTHERN AMERICA",3.60421257889774,0.868818948074361
"12","Acoelorrhaphe_wrightii","GUA","Acoelorrhaphe","Trachycarpeae","Coryphoideae",0.7,"0","1","0","0","0","0","Americas","Guatemala","Central America","SOUTHERN AMERICA",3.60421257889774,0.868818948074361
"13","Acoelorrhaphe_wrightii","NIC","Acoelorrhaphe","Trachycarpeae","Coryphoideae",0.7,"0","1","0","0","0","0","Americas","Nicaragua","Central America","SOUTHERN AMERICA",3.60421257889774,0.868818948074361
