"","regime","model","mean","sd","y"
"1","Africa","OUM",0.71,0.135312073544621,83.5
"2","Africa","OUMV",0.77,0.213973697340212,17.5
"3","Africa","OUMVA",0.67,0.391696627724338,7.5
"4","Americas","OUM",0.76,0.17874099649839,17.5
"5","Americas","OUMA",1,NA,46.5
"6","Americas","OUMV",0.9,0.162205131712976,17.5
"7","Americas","OUMVA",0.91,0.161661629646681,6.5
"8","Asia","OUM",0.82,0.199678164603603,2.5
"9","Asia","OUMA",0.92,0.185225097520598,3.5
"10","Asia","OUMV",0.95,0.123641224464902,50.5
"11","Asia","OUMVA",0.97,0.0951732799512816,39.5
