"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"	"fit"	"delta"	"w"	"regime"	"data"	"tree"
"1"	"BM1"	1292.85809117238	-2581.71618234475	-2581.71028263974	-2570.4777155123	2	1000	0	0	0	0	0.00283670079590656	0	0.937792099411004	0.214546882625089	0	0	-2581.71028263974	854.076960502332	3.2651689289265e-186	"Americas"	"empirical"	"set_trees"
"1"	"BM1"	1292.85809117238	-2581.71618234475	-2581.71028263974	-2570.4777155123	2	1000	0	0	0	0	0.00283670079590656	0	0.937792099411004	0.214546882625089	0	0	-2581.71028263974	904.220511746129	4.47724296220742e-197	"Asia"	"empirical"	"set_trees"
"1"	"BMS"	1300.89094101462	-2595.78188202925	-2595.77007681528	-2578.92418178057	3	680	340	0	0	0	0.00308157247916026	0.00235471212921666	0.944215650433507	0.211228903168597	0	0	-2595.77007681528	840.017166326794	3.68936113719441e-183	"Americas"	"empirical"	"set_trees"
"1"	"BMS"	1305.62570237358	-2605.25140474715	-2605.23959953318	-2588.39370449847	3	530	490	0	0	0	0.00240787942981047	0.00330559771844031	0.940996669150596	0.198990085973249	0	0	-2605.23959953318	880.691194852688	5.75886512573131e-192	"Asia"	"empirical"	"set_trees"
"1"	"OU1"	1673.77134759842	-3341.54269519684	-3341.53088998287	-3324.68499494816	3	1500	350	0	0.107976582548947	0	0.00405382670340766	0	0.910034396951085	0.00632399191206978	0	0	-3341.53088998287	94.2563531591995	3.21258152802605e-21	"Americas"	"empirical"	"set_trees"
"1"	"OU1"	1673.77134759842	-3341.54269519684	-3341.53088998287	-3324.68499494816	3	1500	350	0	0.107976582548947	0	0.00405382670340766	0	0.910034396951085	0.00632399191206978	0	0	-3341.53088998287	144.399904402996	4.40513442028897e-32	"Asia"	"empirical"	"set_trees"
"1"	"OUM"	1701.70381845776	-3395.40763691551	-3395.38795187614	-3372.9307032506	4	1500	350	0	0.117518000097881	0.117518000097881	0.00413422290280411	0.00413422290280411	0.946326290905555	0.0076436120176601	0.855121960317276	0.00890949719826329	-3395.38795187614	90.5428425097271	2.18208448345289e-20	"Asia"	"empirical"	"set_trees"
"1"	"OUM"	1719.10351151667	-3430.20702303333	-3430.18733799396	-3407.73008936843	4	1500	280	0	0.130857331539952	0.130857331539952	0.00432793539928238	0.00432793539928238	0.861449479903478	0.00665051675571205	0.979851553978027	0.008813509046089	-3430.18733799396	5.59990514810806	0.0573267387613845	"Americas"	"empirical"	"set_trees"
"1"	"OUMV"	1708.1099374857	-3406.21987497139	-3406.1903328739	-3378.12370789026	5	1100	490	240	0.115943508741436	0.115943508741436	0.00365532793439687	0.00459831431499194	0.947037939741391	0.0073027516786881	0.855132131877327	0.00951013074558871	-3406.1903328739	79.7404615119663	4.8370301059147e-18	"Asia"	"empirical"	"set_trees"
"1"	"OUMV"	1722.90839261978	-3435.81678523956	-3435.78724314207	-3407.72061815843	5	1200	470	180	0.129694074202356	0.129694074202356	0.00456544508603819	0.0037907725912153	0.861675504733739	0.00689857300242547	0.9799673318041	0.00832970248083558	-3435.78724314207	0	0.942673261238616	"Americas"	"empirical"	"set_trees"
