"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"0_alpha"	"1_alpha"	"sigma0"	"1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
1	"OUMA"	74597.7433663698	-149185.48673274	-149185.457190642	-149157.390565659	5	9e+11	1.4e+09	47000	1.00531294665737	0.000355272400777173	1.47287202395903e-09	1.47287202395903e-09	0.937817251413571	6.38022063768939e+20	1.13017052991364e-47	7.68885124281371e-27
10	"OUMA"	47239.924806622	-94469.8496132441	-94469.8200711466	-94441.753446163	5	2200000	960000	5600	0.505325378922844	0.00171041710632449	1e-09	1e-09	0.962599794762353	2739018.29162396	4.95602502208881e-24	0
100	"OUMA"	83680.4991870008	-167350.998374002	-167350.968831904	-167322.902206921	5	4.7e+11	6900	-5.7e+10	1.61370738214455	0.55067852496896	1.00149220746454e-09	1.00149220746454e-09	0.829029203807771	3.09832616775789e+20	1.61962260165334e-50	6.05300640451565e-30
11	"OUMA"	80172.660577981	-160335.321155962	-160335.291613864	-160307.224988881	5	4.2e+10	150000	-3.5e+10	0.861578613028861	0.000278509590738749	1.02299260290407e-09	1.02299260290407e-09	0.933950326021084	628393660552778	1.98720093135565e-42	1.33705783130068e-27
12	"OUMA"	75827.0835429306	-151644.167085861	-151644.137543764	-151616.07091878	5	1.3e+11	110000	-1.2e+11	1.04477920661974	0.000206503496438358	3.96136665152685e-09	3.96136665152685e-09	0.936948973057154	1.65589076731948e+23	2.28911948969488e-46	4.04561180736162e-23
13	"OUMA"	75381.7573807975	-150753.514761595	-150753.485219498	-150725.418594514	5	2.5e+14	8.6e+08	-1.4e+09	0.973193811476581	0.000199008269019098	1.86299297377981e-08	1.86299297377981e-08	0.968453895347498	2.20060509199012e+29	3.00351810133171e-47	6.82485481180645e-18
14	"OUMA"	70653.7360106224	-141297.472021245	-141297.442479147	-141269.375854164	5	1.4e+09	1.1e+09	67000	1.26991649320516	0.000191396129935409	1.00340435470463e-09	1.00340435470463e-09	0.932170117247728	3.74490858541515e+36	1.40789974674999e-60	0
15	"OUMA"	81627.7325486746	-163245.465097349	-163245.435555252	-163217.368930268	5	1.5e+10	130000	-9.2e+07	0.921719545296967	0.000126011116291347	2.83357823982383e-09	2.83357823982383e-09	0.820736113737394	2.53394911374315e+20	1.55750050173187e-44	4.80864305829824e-24
15	"OUMVA"	82263.7440468929	-164515.488093786	-164515.446714475	-164481.772693288	6	1200	490	210	0.701191469387188	8.14284184847743e-05	1.00990318890046e-09	2.51110919831655e-09	0.945132764246844	2047568968959.42	9.17383326217936e-35	1.98745160835622e-22
16	"OUMA"	76031.3109078227	-152052.621815645	-152052.592273548	-152024.525648564	5	3.1e+09	2.2e+08	-3.2e+08	0.913870998010104	0.000211445828681733	1.00514480487537e-09	1.00514480487537e-09	0.960249015840561	1.89591056207163e+22	1.81806402306825e-44	3.58957596296932e-22
17	"OUMV"	1181.99097263222	-2353.98194526443	-2353.95240316694	-2325.8857781833	5	1400	500	-4.8	0.814758885155626	0.814758885155626	0.0350718621072275	0.0289328341837433	0.933915155286507	0.00472965503509764	0.846817993047895	0.0046533136282999
17	"OUMVA"	49562.0075888268	-99112.0151776535	-99111.9737983432	-99078.2997771562	6	1400	500	-4.8	0.573853840573351	0.0217238774322021	1.00017588554105e-09	1.07715907632421e-09	1.00995200123298	1290564009.22271	-9499854.07553375	0
17	"OUMA"	70258.2456283355	-140506.491256671	-140506.461714573	-140478.39508959	5	3.7e+09	52000	-1e+08	1.10067932881254	0.000211929898190704	1.01788636257185e-09	1.01788636257185e-09	0.954820380345305	7.52816358483547e+29	7.07132580294225e-53	0
18	"OUMA"	91431.9480812978	-182853.896162596	-182853.866620498	-182825.799995514	5	2.5e+11	2.2e+09	9200	1.78950366428457	0.000213205390547985	1e-09	1e-09	0.794240878740408	2.73406201327694e+40	1.41854835341591e-82	4.88315228356285e-42
19	"OUMA"	57159.9180709151	-114309.83614183	-114309.806599733	-114281.739974749	5	3.4e+09	4700000	39000	0.909921808236285	0.00971858276068912	2.26588519616665e-09	2.26588519616665e-09	0.900559283997235	1.37331867718602e+22	1.50262811662107e-42	2.29145076316685e-20
2	"OUMA"	70966.360043436	-141922.720086872	-141922.690544775	-141894.623919791	5	3.2e+11	2.3e+09	1.7e+08	2.07498447549386	0.000353431618805547	1.28160982082665e-07	1.28160982082665e-07	0.8756891034267	8.84914461208785e+50	1.88475843368827e-98	1.90461619955433e-47
20	"OUMA"	65327.8937933844	-130645.787586769	-130645.758044671	-130617.691419688	5	1e+08	17000	-4.4e+10	2.57905345982908	1.51157774032121	1.02807766779578e-09	1.02807766779578e-09	1.09227788807951	1.86870627827776e+26	8.04342884796462e-53	1.37609725062675e-26
21	"OUMA"	71280.0765133289	-142550.153026658	-142550.12348456	-142522.056859577	5	2.9e+09	2.4e+09	83000	0.883698791267559	0.000231022676308134	1.47424400728536e-09	1.47424400728536e-09	0.94480877663854	4.30553468145353e+23	4.52943594253937e-43	2.0640836558852e-19
22	"OUMA"	74334.3747207167	-148658.749441433	-148658.719899336	-148630.653274352	5	1.4e+09	6.1e+07	1e+05	2.14868808850995	0.000388041064366858	1.01253552181131e-09	1.01253552181131e-09	0.95733281649567	2.62764102363488e+59	4.80150178557479e-96	1.31789309312677e-36
23	"OUMA"	58042.0822025975	-116074.164405195	-116074.134863098	-116046.068238114	5	1.4e+15	1.9e+09	-7e+08	1.00805414360884	0.000953169437363566	1.00012061653027e-09	1.00012061653027e-09	1.01681879352387	6.69858950282869e+23	8.04615625024512e-41	5.30063995168291e-17
