"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"0_alpha"	"1_alpha"	"sigma0"	"1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"	"fit"	"delta"	"w"
1	"BM1"	1292.85809117238	-2581.71618234475	-2581.71028263974	-2570.4777155123	2	1000	0	0	0	0	0.00283670079590656	0	0.937792099411004	0.214546882625089	0	0	-2581.71028263974	854.076960502332	3.2651689289265e-186
1	"BMS"	1300.89094101462	-2595.78188202925	-2595.77007681528	-2578.92418178057	3	680	340	0	0	0	0.00308157247916026	0.00235471212921666	0.944215650433507	0.211228903168597	0	0	-2595.77007681528	840.017166326794	3.68936113719441e-183
1	"OU1"	1673.77134759842	-3341.54269519684	-3341.53088998287	-3324.68499494816	3	1500	350	0	0.107976582548947	0	0.00405382670340766	0	0.910034396951085	0.00632399191206978	0	0	-3341.53088998287	94.2563531591995	3.21258152802605e-21
1	"OUM"	1719.10351151667	-3430.20702303333	-3430.18733799396	-3407.73008936843	4	1500	280	0	0.130857331539952	0.130857331539952	0.00432793539928238	0.00432793539928238	0.861449479903478	0.00665051675571205	0.979851553978027	0.008813509046089	-3430.18733799396	5.59990514810806	0.0573267387613845
1	"OUMV"	1722.90839261978	-3435.81678523956	-3435.78724314207	-3407.72061815843	5	1200	470	180	0.129694074202356	0.129694074202356	0.00456544508603819	0.0037907725912153	0.861675504733739	0.00689857300242547	0.9799673318041	0.00832970248083558	-3435.78724314207	0	0.942673261238616
10	"BM1"	1111.48159902184	-2218.96319804369	-2218.95729833867	-2207.72473121123	2	1000	0	0	0	0	0.00321004621169067	0	0.948947811646316	0.236003682196217	0	0	-2218.95729833867	1060.84711322499	4.36491569524382e-231
10	"BMS"	1229.61824738693	-2453.23649477387	-2453.2246895599	-2436.37879452519	3	680	340	0	0	0	0.00413621371932743	0.00138058338900868	0.961452629891496	0.243796529187413	0	0	-2453.2246895599	826.579722003762	3.23961580224479e-180
10	"OU1"	1536.56473176344	-3067.12946352688	-3067.11765831291	-3050.2717632782	3	1500	300	0	0.114774858643404	0	0.00464207782127748	0	0.911609566443526	0.00610897771737942	0	0	-3067.11765831291	212.686753250751	6.54120730417142e-47
10	"OUM"	1596.86656067998	-3185.73312135996	-3185.71343632059	-3163.25618769506	4	1600	230	0	0.151036187866767	0.151036187866767	0.00518425953489423	0.00518425953489423	0.856038595155923	0.00617997885907341	0.980510967156961	0.00762646828259263	-3185.71343632059	94.0909752430671	3.70172281706259e-21
10	"OUMV"	1631.09527601116	-3252.19055202232	-3252.16100992483	-3224.09438494118	5	1100	560	130	0.126639955740163	0.126639955740163	0.00552038291965417	0.00297527440200127	0.859312260398522	0.00777690608237527	0.981239066440152	0.00690594052867832	-3252.16100992483	27.6434016388343	9.93827871047363e-07
