"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"0_alpha"	"1_alpha"	"sigma0"	"1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"	"fit"	"delta"	"w"
1	"BM1"	1292.85809117238	-2581.71618234475	-2581.71028263974	-2570.4777155123	2	1000	0	0	0	0	0.00283670079590656	0	0.937792099411004	0.214546882625089	0	0	-2581.71028263974	904.220511746129	4.47724296220742e-197
1	"BMS"	1305.62570237358	-2605.25140474715	-2605.23959953318	-2588.39370449847	3	530	490	0	0	0	0.00240787942981047	0.00330559771844031	0.940996669150596	0.198990085973249	0	0	-2605.23959953318	880.691194852688	5.75886512573131e-192
1	"OU1"	1673.77134759842	-3341.54269519684	-3341.53088998287	-3324.68499494816	3	1500	350	0	0.107976582548947	0	0.00405382670340766	0	0.910034396951085	0.00632399191206978	0	0	-3341.53088998287	144.399904402996	4.40513442028897e-32
1	"OUM"	1701.70381845776	-3395.40763691551	-3395.38795187614	-3372.9307032506	4	1500	350	0	0.117518000097881	0.117518000097881	0.00413422290280411	0.00413422290280411	0.946326290905555	0.0076436120176601	0.855121960317276	0.00890949719826329	-3395.38795187614	90.5428425097271	2.18208448345289e-20
1	"OUMV"	1708.1099374857	-3406.21987497139	-3406.1903328739	-3378.12370789026	5	1100	490	240	0.115943508741436	0.115943508741436	0.00365532793439687	0.00459831431499194	0.947037939741391	0.0073027516786881	0.855132131877327	0.00951013074558871	-3406.1903328739	79.7404615119663	4.8370301059147e-18
1	"OUMVA"	1748.98608684811	-3485.97217369621	-3485.93079438587	-3452.25677319885	6	1100	490	240	0.107062406277037	0.116451385933679	0.00362232835622526	0.00148471568482387	0.9492190718623	0.00784860914609019	0.857254233616578	0.00830086087621049	-3485.93079438587	0	1
10	"BM1"	1111.48159902184	-2218.96319804369	-2218.95729833867	-2207.72473121123	2	1000	0	0	0	0	0.00321004621169067	0	0.948947811646316	0.236003682196217	0	0	-2218.95729833867	917.527806492958	5.76893810502134e-200
10	"BMS"	1112.08474613576	-2218.16949227152	-2218.15768705755	-2201.31179202284	3	530	490	0	0	0	0.00331537915603275	0.00309602767967841	0.949203310735933	0.239228360208995	0	0	-2218.15768705755	918.327417774074	3.86778652391582e-200
10	"OU1"	1536.56473176344	-3067.12946352688	-3067.11765831291	-3050.2717632782	3	1500	300	0	0.114774858643404	0	0.00464207782127748	0	0.911609566443526	0.00610897771737942	0	0	-3067.11765831291	69.3674465187173	8.64525748137514e-16
10	"OUM"	1564.04457535196	-3120.08915070393	-3120.06946566456	-3097.61221703902	4	1500	300	0	0.126193331923483	0.126193331923483	0.00478008899076721	0.00478008899076721	0.945109090559925	0.00724724976199713	0.856800891306848	0.00877626134555095	-3120.06946566456	16.4156391670713	0.000272343366885861
10	"OUMV"	1565.31395477137	-3120.62790954274	-3120.59836744526	-3092.53174246161	5	1100	490	200	0.127266808776921	0.127266808776921	0.00503673756925798	0.00454857582154238	0.944669662279559	0.00736649971947133	0.856558993769244	0.00848134354730808	-3120.59836744526	15.8867373863727	0.000354785910581799
10	"OUMVA"	1574.26324207099	-3136.52648414197	-3136.48510483163	-3102.81108364461	6	1100	490	200	0.121136737074131	0.125677998719736	0.00533203904887824	0.00289519849610036	0.948679242406135	0.00768022956241256	0.869516496052842	0.00847391316520726	-3136.48510483163	0	0.999372870722532
