"","x"
"1","Arctostaphylos_uva-ursi"
"2","Actaea_rubra"
"3","Solanum_americanum"
"4","Clintonia_uniflora"
"5","Fragaria_vesca"
"6","Leucanthemum_vulgare"
"7","Amelanchier_alnifolia"
"8","Rhamnus_cathartica"
"9","Sorbus_aucuparia"
"10","Sorbus_scopulina"
"11","Ribes_lacustre"
"12","Ribes_viscosissimum"
"13","Cornus_sericea"
"14","Myosotis_arvensis"
"15","Crataegus_douglasii"
"16","Vaccinium_myrtillus"
"17","Empetrum_nigrum"
"18","Hippophae_rhamnoides"
"19","Hordeum_murinum"
"20","Lonicera_utahensis"
"21","Vaccinium_vitis-idaea"
"22","Rhinanthus_minor"
"23","Ribes_hudsonianum"
"24","Maianthemum_stellatum"
"25","Vaccinium_oxycoccos"
"26","Sambucus_racemosa"
"27","Vaccinium_uliginosum"
"28","Prosartes_hookeri"
"29","Prosartes_trachycarpa"
"30","Solanum_nigrum"
"31","Streptopus_amplexifolius"
"32","Phytolacca_americana"
"33","Ziziphus_mauritiana"
"34","Prunus_cerasus"
"35","Ficus_palmata"
"36","Morus_nigra"
"37","Rhus_coriaria"
"38","Rosa_canina"
"39","Myrtus_communis"
"40","Ficus_benghalensis"
"41","Cajanus_cajan"
"42","Juniperus_communis"
"43","Polygonatum_verticillatum"
"44","Olea_europaea"
"45","Morus_alba"
"46","Myrsine_africana"
"47","Rubus_niveus"
"48","Solanum_dulcamara"
"49","Ficus_carica"
"50","Melia_azedarach"
"51","Albizia_lebbeck"
"52","Prunus_persica"
"53","Cotoneaster_integerrimus"
"54","Juglans_regia"
"55","Prunus_avium"
"56","Ficus_religiosa"
"57","Actaea_spicata"
"58","Careya_arborea"
"59","Citrullus_lanatus"
"60","Alliaria_petiolata"
"61","Agrimonia_eupatoria"
"62","Vitis_vinifera"
"63","Asparagus_setaceus"
"64","Hedera_helix"
"65","Myrcia_splendens"
"66","Galium_hypocarpium"
"67","Ficus_adhatodifolia"
"68","Luffa_aegyptiaca"
"69","Ocotea_puberula"
"70","Cissampelos_pareira"
"71","Chrysophyllum_gonocarpum"
"72","Geoffroea_spinosa"
"73","Ligustrum_lucidum"
"74","Ficus_luschnathiana"
"75","Myrsine_coriacea"
"76","Solanum_megalochiton"
"77","Randia_armata"
"78","Hamelia_patens"
"79","Symplocos_celastrinea"
"80","Psidium_guajava"
"81","Acacia_melanoxylon"
"82","Psychotria_suterella"
"83","Rubus_ulmifolius"
"84","Miconia_discolor"
"85","Casearia_sylvestris"
"86","Xylopia_brasiliensis"
"87","Maclura_tinctoria"
"88","Psychotria_leiocarpa"
"89","Annona_emarginata"
"90","Ficus_eximia"
"91","Cabralea_canjerana"
"92","Andira_inermis"
"93","Campomanesia_guazumifolia"
"94","Diospyros_inconstans"
"95","Araucaria_angustifolia"
"96","Casearia_decandra"
"97","Paullinia_pinnata"
"98","Banara_tomentosa"
"99","Plinia_edulis"
"100","Cryptocarya_aschersoniana"
"101","Guazuma_ulmifolia"
"102","Citharexylum_myrianthum"
"103","Psychotria_carthagenensis"
"104","Holocalyx_balansae"
"105","Celtis_iguanaea"
"106","Inga_marginata"
"107","Zanthoxylum_riedelianum"
"108","Chiococca_alba"
"109","Ficus_obtusiuscula"
"110","Myrsine_umbellata"
"111","Eugenia_pyriformis"
"112","Styrax_leprosus"
"113","Miconia_pusilliflora"
"114","Senna_hirsuta"
"115","Eugenia_florida"
"116","Lacistema_aggregatum"
"117","Vachellia_nilotica"
"118","Ilex_theezans"
"119","Chamissoa_altissima"
"120","Ficus_citrifolia"
"121","Sideroxylon_obtusifolium"
"122","Matayba_elaeagnoides"
"123","Cecropia_pachystachya"
"124","Jacaratia_spinosa"
"125","Vassobia_breviflora"
"126","Casearia_lasiophylla"
"127","Palicourea_tomentosa"
"128","Prunus_brasiliensis"
"129","Eugenia_uniflora"
"130","Cardiospermum_grandiflorum"
"131","Varronia_curassavica"
"132","Chrysophyllum_marginatum"
"133","Margaritaria_nobilis"
"134","Trichilia_catigua"
"135","Ananas_comosus"
"136","Sloanea_hirsuta"
"137","Trichilia_pallida"
"138","Strychnos_brasiliensis"
"139","Myoporum_laetum"
"140","Piper_aduncum"
"141","Miconia_calvescens"
"142","Solanum_caavurana"
"143","Pereskia_aculeata"
"144","Guarea_kunthiana"
"145","Senna_alata"
"146","Garcinia_gardneriana"
"147","Enterolobium_contortisiliquum"
"148","Pouteria_salicifolia"
"149","Arum_italicum"
"150","Lycianthes_pauciflora"
"151","Schinus_molle"
"152","Eugenia_hiemalis"
"153","Symplocos_uniflora"
"154","Psidium_guineense"
"155","Campomanesia_guaviroba"
"156","Campomanesia_xanthocarpa"
"157","Alchornea_triplinervia"
"158","Annona_neosalicifolia"
"159","Erythroxylum_deciduum"
"160","Casearia_gossypiosperma"
"161","Trichilia_elegans"
"162","Vitex_cymosa"
"163","Cupania_vernalis"
"164","Alchornea_glandulosa"
"165","Ximenia_americana"
"166","Cordia_ecalyculata"
"167","Eugenia_uruguayensis"
"168","Cascabela_thevetia"
"169","Senna_obtusifolia"
"170","Erythroxylum_argentinum"
"171","Phytolacca_dioica"
"172","Eugenia_punicifolia"
"173","Psidium_nutans"
"174","Hedychium_coronarium"
"175","Cestrum_bracteatum"
"176","Bromelia_balansae"
"177","Celtis_australis"
"178","Casearia_obliqua"
"179","Crateva_tapia"
"180","Myrcia_palustris"
"181","Vitex_megapotamica"
"182","Inga_laurina"
"183","Palicourea_crocea"
"184","Ligustrum_sinense"
"185","Guarea_macrophylla"
"186","Pyracantha_angustifolia"
"187","Physalis_pubescens"
"188","Miconia_cinerascens"
"189","Epiphyllum_phyllanthus"
"190","Melothria_pendula"
"191","Drimys_brasiliensis"
"192","Calophyllum_brasiliense"
"193","Prunus_mahaleb"
"194","Ocotea_floribunda"
"195","Nectandra_lanceolata"
"196","Zanthoxylum_fagara"
"197","Hovenia_dulcis"
"198","Solanum_sanctae-catharinae"
"199","Schoepfia_brasiliensis"
"200","Urera_baccifera"
"201","Piper_amalago"
"202","Sapium_glandulosum"
"203","Ilex_dumosa"
"204","Solanum_pseudoquina"
"205","Copaifera_langsdorffii"
"206","Miconia_collatata"
"207","Eugenia_involucrata"
"208","Ilex_paraguariensis"
"209","Passiflora_edulis"
"210","Sorocea_bonplandii"
"211","Coussarea_contracta"
"212","Tetrorchidium_rubrivenium"
"213","Miconia_elegans"
"214","Cissus_spinosa"
"215","Guarea_guidonia"
"216","Zanthoxylum_rhoifolium"
"217","Lagenaria_siceraria"
"218","Ocotea_pulchella"
