"","LEVEL_3_CO","LAT","LONG","accAfrica","max95FW_angios","curr_max95BodySize","mean_abs_BSchange","mean_perc_BSchange","MAT","TempSeas","AnnualPrec","PrecSeas","CH_Mean","accRealm"
"1","AGE",-32.60227282,-61.25823213,"0",55.8041923276821,24021.9531244847,423667.20374837,98.18,178.398582416149,4881.40373795638,43.7573662995304,928.862564805354,9.04206,"Americas"
"2","ALA",32.79389912,-86.82906784,"0",42.7693839893828,19483.0460285502,816912.630769231,98.95,175.382904436145,6892.91639525521,20.2364168194235,1416.78457064366,19.1693,"Americas"
"3","AND",12.27981668,92.78133014,"0",79.980245813066,10969.6724349857,0,0,270.692228176251,631.848786816202,74.6535022761857,3005.15324753068,17.4901,"Asia"
"4","ANG",-12.33575541,17.57181621,"1",119.490369879299,77839.95628211,5096.20270833333,7.49,214.410469671614,1616.00299408872,92.1032016935476,1060.72699420561,10.0415,"Africa"
"5","ASS",25.48271994,92.85194347,"0",57.9452299918472,95829.4756953663,106605.053410553,56.4,227.327178352141,3857.8038177803,84.6117826804942,2675.3077190511,28.9115,"Asia"
"6","BAH",24.1666829,-76.5004385,"0",93.2468144209266,540.314592648854,0,0,256.61868810152,2127.44721158205,53.5567493768215,1065.47525652682,16.0766,"Americas"
"7","BAN",23.8330072,90.27092576,"0",66.640697239347,94277.4796746688,80368.3487684729,47.08,253.650111228762,3727.88564478602,91.0644844270871,2407.00770735857,20.1772,"Asia"
"8","BEN",9.647649967,2.343262705,"1",167.885487128187,70741.1103144473,11323.2187337662,11.38,270.41670697631,1847.52888476326,90.679546990936,1079.54822054883,3.68083,"Africa"
"9","BIS",-4.936891376,150.6265362,"0",58.5624000886996,4019.96753350336,-0.892592592592678,-0.11,243.609322815616,329.340476820183,33.0495073451021,4267.12986172298,23.1695,"Asia"
"10","BKN",12.27793715,-1.739835211,"1",122.975474292468,75854.2213014612,213830.505718954,60.27,283.32903146042,2484.15419893871,115.584520888626,773.936797670944,2.03509,"Africa"
"11","BLZ",17.21852829,-88.68278545,"0",74.3901007072543,9727.74125747406,366257.399415205,98.07,251.040023517206,1418.94056049763,52.5302328513938,2074.08955168166,20.5542,"Americas"
"12","BOL",-16.71510989,-64.67054847,"0",75.0042477137673,13900.2341273668,233772.046221562,98.33,197.00581864323,1874.36939953664,75.2193887780903,1204.93912655683,17.5065,"Americas"
"13","BOR",0.867901314,114.2000407,"0",70,15925.8,281.960726072604,0.59,253.720005666328,301.359673044541,22.2509350352529,3102.45100372762,17.9902,"Asia"
"14","BUR",-3.356297118,29.88682139,"1",80,72373.2055050031,3887.6439576312,4.6,200.521962473827,1010.86470870296,61.7650375707429,1225.50856820036,15.2743,"Africa"
"15","BZC",-15.29798685,-54.29443591,"0",69.0349734010404,7863.04663173767,213581.726278024,98.39,246.211415777283,1247.87514949075,71.1477816573725,1660.23383308064,16.0749,"Americas"
"16","BZE",-8.635173197,-41.72952595,"0",74.5406955828963,11310.5402994425,208627.931760123,98.19,258.283205385107,1147.39409797981,79.1875610696953,1019.5779549055,14.0524,"Americas"
"17","BZL",-19.72534419,-45.48097446,"0",70,15259.4671185544,213742.890538194,98.2,223.305148352007,1820.47777640259,72.7001495835786,1304.30602815487,20.0023,"Americas"
"18","BZN",-4.63062382,-59.25073898,"0",82.5,6770.89667047173,108530.701433546,97.66,253.975265084362,613.972677792161,53.4209461760472,2251.14443088801,17.3043,"Americas"
"19","BZS",-27.56813717,-52.26178711,"0",58.9771733475287,23023.6501246001,358449.396485334,98.22,190.665739157734,3434.67351129792,18.8660160219018,1648.49378046188,23.4013,"Americas"
"20","CAB",-5.041229577,12.46228731,"1",120,71867.0516149728,-1560.24703977798,-1.5,245.219664484008,1438.64580419445,78.0129771166232,1177.60073260073,17.7889,"Africa"
"21","CAF",6.571453422,20.48278081,"1",120,83889.7722346596,9067.24337025316,10.83,248.802501209612,1414.88447624558,77.3803831526867,1366.95275192841,18.2812,"Africa"
"22","CBD",12.71402994,104.9212396,"0",55,91659.7352002298,33364.8239007664,26.94,268.595690464552,1020.16430959248,80.7674816141408,1872.27202007183,18.1,"Asia"
"23","CHA",15.3611457,18.66460339,"1",176.236826064455,191812.070895295,194309.164646465,53.59,267.577533293769,4154.49110308508,173.000524973391,313.178029766123,2.82206,"Africa"
"24","CHC",28.51736916,104.6408898,"0",55.3572844052356,24603.8451570016,247711.160327924,86.95,127.09690789638,6189.89963236594,78.5094860966299,1060.72638370717,28.9272,"Asia"
"25","CHH",19.20103623,109.7420098,"0",55.8372765790451,48093.4423706989,32.8060846560838,0.38,239.698806011743,3337.34151342399,72.9127790288089,1738.73914704618,24.293,"Asia"
"26","CHS",28.08959356,114.4271369,"0",58.0347656156859,12112.4416288295,333747.747619048,98.72,178.508702926194,7469.62552970945,61.8171205118176,1419.94933789776,24.4796,"Asia"
"27","CHT",31.712301,88.11841654,"0",24.0948866163208,173517.20266258,169460.360402901,66.11,-30.1274360524684,7417.20862268449,113.884286342241,410.973244758223,33.7216,"Asia"
"28","CLM",3.899947514,-73.07536081,"0",80,9669.13724184967,65478.4814162234,92.66,232.239870476894,471.329934089856,41.3464568454686,2856.97136703341,16.781,"Americas"
"29","CMN",5.68580436,12.7432535,"1",117.191736498015,53199.6612715503,8384.11866308471,13.79,237.437959835421,1279.36973300731,74.8607770747388,1677.18242620264,20.1702,"Africa"
"30","COM",-12.08514902,43.97955695,"1",109.028888013198,573.803827013436,0,0,242.32128673799,1117.12336596123,64.4212179447069,2125.92483006797,20.6124,"Africa"
"31","CON",-0.840066027,15.22427459,"1",120,61790.5638811547,7904.90348837209,11.65,239.042940665642,671.174103099601,50.5334822258762,1600.31817730419,18.6136,"Africa"
"32","COS",9.97052135,-84.18903867,"0",72.5764928809732,7086.55354990745,250956.485945399,98.08,233.88231580553,505.85485382796,55.6118466012729,3073.27060203542,21.6611,"Americas"
"33","CRL",7.212482218,146.7096536,"0",100,319.256567692974,36.9928571428572,16.97,271.822392285086,151.562787600039,19.2951498148843,4360.65943600868,NA,"Pacific"
"34","CUB",21.62013286,-79.0352374,"0",99.8114961589783,6628.90803467998,13924.0333333333,88.53,251.387233137961,1713.18195316874,57.6989871585487,1322.52640446979,24.0513,"Americas"
"35","DJI",11.7498128,42.5779403,"1",34.9684095207214,52951.9356695902,729687.28125,98.33,280.546252942991,3423.05651889839,62.3749715763881,183.208470201783,NA,"Africa"
"36","DOM",18.89309386,-70.48543447,"0",99.3105546339011,761.312147110936,12328.1883116883,96.88,239.736046538071,1259.02765658595,41.7986776712714,1368.31837434449,19.8836,"Americas"
"37","ECU",-1.452912352,-78.39320786,"0",83.2421793149991,9762.09538028478,80325.6331042832,94.37,202.379744344183,504.3085097822,49.7991191381324,2200.64101129223,19.4683,"Americas"
"38","EHM",27.77772472,92.89621011,"0",59.495978464656,99822.1643755778,155534.657255639,67.52,122.429928868982,5082.93779918485,83.2062151759797,2452.89420536807,39.0494,"Asia"
"39","ELS",13.73614532,-88.86560674,"0",90.7590802774013,7520.95419898746,384589.249259259,98.21,251.122536410629,709.173120211812,94.4596031916205,1550.62517663208,23.4014,"Americas"
"40","EQG",1.567924247,10.47599925,"1",112.189683382108,55921.6483506246,0,0,230.464168796013,645.228647424704,57.6528684390153,2486.74670193761,20.609,"Africa"
"41","ETH",8.626139271,39.61601894,"1",95.0587559433684,90439.2215406529,138799.669525424,56.1,226.384196528598,1389.29004192295,90.3556423905394,862.069120016298,15.7477,"Africa"
"42","FIJ",-17.46392922,160.792175,"0",65.3827186586727,297.064599560242,0,0,242.226429580827,1146.51809385732,47.9826525445361,2472.72123068089,NA,"Pacific"
"43","FLA",28.65142195,-82.48405094,"0",74.5116824937467,29321.6017127407,998821.460769231,98.89,214.867061188943,4544.03109851937,44.0860547713205,1372.25299098719,20.1819,"Americas"
"44","FRG",3.924388201,-53.24126696,"0",77.5,11264.2823565827,168848.017129463,97.43,255.29744129911,772.158441912077,46.4555291247702,2672.84311120722,22.8616,"Americas"
"45","GAB",-0.590677968,11.79715762,"1",109.949782806467,51888.7631273592,8271.47471306923,10.86,237.483831177709,726.273413640247,62.915111990259,1840.32471650119,20.7917,"Africa"
"46","GAM",13.4529444,-15.3856196,"1",205.439576042051,75854.2213014612,129406.520588235,80.47,280.928066598117,1611.90013075357,136.581123119626,801.647349048477,4.01763,"Africa"
"47","GGI",2.369331633,7.97621565,"1",121.975540946694,13263.779943905,0,0,231.558580698745,997.399013332965,62.4093101248677,2360.31505284205,20.1848,"Africa"
