"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
"ouwie_Afr_avgl_1"	"OUMVA"	22936.777184452	-45861.5543689039	-45861.5083667134	-45828.4721134169	6	1400	190	26	3.40612505025752	1.30726546154481	1.00005868580852e-09	56.1574212319218	1.94591014905531	60765.1960298252	1.42492401094664e-97	4.44962923364229e-93
"ouwie_Afr_avgl_1"	"OUMA"	257587.52666819	-515165.053336379	-515165.020495657	-515137.48479014	5	4.2e+13	-1.6e+08	-9.2e+12	1.73611772149166	1.93127238324201	1e-09	1e-09	3599043.98650419	0	29.2386863289201	0
"ouwie_Afr_avgl_10"	"OUMA"	43188.5066708324	-86367.0133416647	-86366.9805009422	-86339.4447954255	5	2.2e+10	3.4e+07	38000	1.0560095405252	2.81784950119856	1.00051032099721e-09	1.00051032099721e-09	2.99727494726014e-13	0	1.44719449202168	1.55683929818783e+71
"ouwie_Afr_avgl_100"	"OUMVA"	24274.6127376279	-48537.2254752559	-48537.1794730653	-48504.1432197688	6	1400	200	28	3.32267653091435	1.53342402419158	1.00912022904995e-09	4.24676557308214e-05	1.79175946922805	1.32008538269069e+35	1.83489459233529e-22	0
"ouwie_Afr_avgl_100"	"OUMA"	24400.7345391497	-48791.4690782995	-48791.436237577	-48763.9005320603	5	6e+09	1.1e+07	1200	3.32783593622576	1.57228190124299	1.00526884471589e-09	1.00526884471589e-09	1.79175946922805	2.32016351836265e+34	1.03823206467828e-21	4114841545295.35
"ouwie_Afr_avgl_101"	"OUMVA"	23495.7217066965	-46979.4434133931	-46979.3974866572	-46946.351345966	6	1700	63	0.98	2.78836588339191	1.0296900184686e-09	1e-09	0.161415122544338	1.79175946922805	1.8844783416563e+68	-1.28993041745637e-75	1.16621491540065e-06
"ouwie_Afr_avgl_101"	"OUMA"	23519.4147141565	-47028.829428313	-47028.7966414277	-47001.2527054571	5	6e+09	1.9e+09	2000	3.33066702236209	1.05083695950538	1.00166070483383e-09	1.00166070483383e-09	1.79175946922805	7.87636065176725e+54	-4.52880018422015e-32	0
"ouwie_Afr_avgl_11"	"OUMVA"	22333.6658924647	-44655.3317849294	-44655.2857827389	-44622.2495294424	6	1700	52	3.4	3.32657330227008	2.17596526965721e-07	1.00055184598372e-09	21.7069461006855	1.79175946922805	7.73505011108523e+86	2.48297821305179e-81	0
"ouwie_Afr_avgl_11"	"OUMA"	22912.6853897253	-45815.3707794505	-45815.337938728	-45787.8022332113	5	6.1e+09	1.6e+07	150	3.28622186994692	1.42109227026923	1e-09	1e-09	1.79175946922805	3.63982828904818e+46	2.26151693634058e-29	171510690371414112
"ouwie_Afr_avgl_12"	"OUMA"	23831.7029770486	-47653.4059540973	-47653.3731133748	-47625.8374078581	5	5.9e+09	1.4e+07	1700	3.37646313006386	1.58627546219844	1.00033408952151e-09	1.00033408952151e-09	1.79175946922805	1.86633460932111e+38	1.98830595284542e-16	801053514621786240
