"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"	"fit"	"delta"	"w"	"threshold"
1	"OUM"	-1849.58272354696	3707.16544709393	3707.18521970886	3729.62466855277	4	1700	120	0	0.24427285087464	0.24427285087464	0.222244079501468	0.222244079501468	0.550128509645675	0.0209315638323908	1.09248258629828	0.0906078895919029	3707.18521970886	0	0.606135345962307	"75"
1	"OUMV"	-1836.64726429775	3683.29452859551	3683.32433485482	3711.34631668707	5	1600	140	26	0.244316637092627	0.244316637092627	0.223653375184752	0.153566026885994	0.550985454364926	0.0209943029232794	0.949388811099588	0.079733275515352	3683.32433485482	0	0.695566232403761	"50"
1	"OUMV"	-1827.1144989489	3664.2289978978	3664.25889326402	3692.265905026	5	1600	130	23	0.247109981162591	0.247109981162591	0.225246266055948	0.141366203264485	0.548196055576544	0.0208615218092405	0.886644492302212	0.0806123633294454	3664.25889326402	0	0.809870903895764	"25"
2	"OUMV"	-1687.13203390309	3384.26406780618	3384.29374139669	3412.33809462974	5	1500	210	28	0.15608927005432	0.15608927005432	0.136993481527998	0.0989670901204826	0.574530079306552	0.0241924924564108	1.07877638011593	0.081537413775153	3384.29374139669	0	0.462248883738456	"75"
2	"OUMV"	-1676.09413613081	3362.18827226162	3362.21807852094	3390.24006035319	5	1500	200	25	0.157980477012493	0.157980477012493	0.138091201245072	0.0905788288467233	0.573463550467281	0.023962433324825	0.965415171695278	0.0823271345067399	3362.21807852094	0	0.572991209276002	"50"
2	"OUMV"	-1668.63108898831	3347.26217797663	3347.29207334284	3375.29908510482	5	1500	200	23	0.159478557985953	0.159478557985953	0.139077622675722	0.0804406238712363	0.572959644907538	0.0238242909571203	0.85084212894904	0.0811492889404943	3347.29207334284	0	0.894898460814232	"25"
3	"OUM"	-1976.89006403423	3961.78012806847	3961.7999006834	3984.23934952731	4	5.6e+09	1000	0	3.43829118269231	3.43829118269231	2.87264382282304	2.87264382282304	0.499261115086875	0.0147953663801839	1.00142048847139	0.0761544097273576	3961.7999006834	0	0.727391323809739	"75"
3	"OUM"	-1961.29538456123	3930.59076912246	3930.61063009565	3953.03219959571	4	5.6e+09	1000	0	3.43829199374899	3.43829199374899	2.85344766441196	2.85344766441196	0.499168141427483	0.0147410731770176	0.881690794054963	0.082416274959004	3930.61063009565	0	0.503425971044689	"50"
3	"OUMV"	-1950.40236687453	3910.80473374906	3910.83462911528	3938.84164087726	5	5.6e+09	980	29	3.43828598487688	3.43828598487688	2.8757834130396	1.84936660662053	0.499159904527303	0.0148017742642096	0.783820302697456	0.0691865690783488	3910.83462911528	0	0.802457425570389	"25"
4	"OUMV"	-1864.06901090888	3738.13802181777	3738.16769540827	3766.21204864132	5	1600	160	27	0.177927073015382	0.177927073015382	0.175569752257525	0.128501195586811	0.562141791476895	0.0229861910948086	1.07082806626106	0.0844906773250603	3738.16769540827	0	0.577242856929939	"75"
4	"OUMV"	-1851.39041130694	3712.78082261389	3712.8106288732	3740.83261070545	5	1600	140	24	0.180992049467906	0.180992049467906	0.177695168099627	0.110506990001747	0.559822759269832	0.0227488787349617	0.959495454825416	0.0817811297089538	3712.8106288732	0	0.850666404670695	"50"
4	"OUMV"	-1842.87967270897	3695.75934541795	3695.78924078417	3723.79625254615	5	1600	140	22	0.18163545252971	0.18163545252971	0.177814173035974	0.0996801759328172	0.558537555782515	0.0226826740548734	0.879273318809172	0.0835439736227456	3695.78924078417	0	0.917003886095484	"25"
5	"OUMV"	-1697.74390845412	3405.48781690824	3405.51749049875	3433.5618437318	5	1500	220	28	0.144777979159811	0.144777979159811	0.131625942931099	0.0896321715397553	0.60503865640705	0.0263854383280335	1.13846026024457	0.0781379464191652	3405.51749049875	0	0.745732041908419	"75"
5	"OUMV"	-1685.94739436885	3381.8947887377	3381.92459499702	3409.94657682927	5	1500	220	24	0.145305763582479	0.145305763582479	0.13207044743788	0.0767903008202125	0.606423012966152	0.0263434425235541	0.975626986822556	0.0784520015324503	3381.92459499702	0	0.921312276036783	"50"
5	"OUMV"	-1677.0054774667	3364.0109549334	3364.04085029962	3392.0478620616	5	1500	210	23	0.146256407142295	0.146256407142295	0.132367130223784	0.0663865236371401	0.60488838267776	0.0261758561002514	0.889048043128404	0.0768910682739636	3364.04085029962	0	0.97824642378664	"25"
6	"OUM"	-2042.92064047999	4093.84128095999	4093.86105357492	4116.30050241883	4	5.9e+09	1000	0	3.30294925655931	3.30294925655931	2.93618602035926	2.93618602035926	0.496851210272383	0.0152542566622223	1.02994221582247	0.0800700449272391	4093.86105357492	0	0.657758155446607	"75"
6	"OUMV"	-2026.36281591179	4062.72563182358	4062.7554380829	4090.77741991514	5	5.9e+09	980	31	3.30291884092479	3.30291884092479	2.94991506506608	1.99952540926857	0.496610213553544	0.0152876377909944	0.905782417381038	0.0714812204090386	4062.7554380829	0	0.736574348682356	"50"
6	"OUMV"	-2016.88218022943	4043.76436045886	4043.79425582508	4071.80126758706	5	5.9e+09	980	29	3.30295042751907	3.30295042751907	2.94847930555236	1.73668212517444	0.496703304233987	0.0152857171165071	0.807966466489741	0.0696861107479783	4043.79425582508	0	0.908923083562632	"25"
7	"OUMV"	-1728.4199967364	3466.83999347279	3466.8696670633	3494.91402029635	5	1500	210	27	0.154910073980956	0.154910073980956	0.141900685062151	0.103806430774355	0.598547220236317	0.0249282379861608	1.07099314180391	0.0813408405273531	3466.8696670633	0	0.486759521225837	"75"
7	"OUMV"	-1716.47768080632	3442.95536161264	3442.98516787196	3471.0071497042	5	1500	200	23	0.155581622555576	0.155581622555576	0.142474431709982	0.0862203711661363	0.598956233209547	0.0248616949999881	0.947371509092223	0.0789862186890256	3442.98516787196	0	0.653219242100473	"50"
7	"OUMV"	-1707.43774516171	3424.87549032342	3424.90538568964	3452.91239745162	5	1500	200	22	0.157891705747631	0.157891705747631	0.143709116210874	0.0755275682443415	0.596451346798229	0.0245869793958211	0.854741047943276	0.0789071385393428	3424.90538568964	0	0.579982380775441	"25"
8	"OUM"	-1960.2295811913	3928.4591623826	3928.47893499753	3950.91838384145	4	6.2e+09	1000	0	3.2356170149216	3.2356170149216	2.67547600523136	2.67547600523136	0.497892915196128	0.014777722816425	1.016480558271	0.075071360987665	3928.47893499753	0	0.999999999625645	"75"
