"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"0_alpha"	"1_alpha"	"sigma0"	"1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
1	"OUMVA"	17170.7765892703	-34329.5531785406	-34329.5114290376	-34295.8910328307	6	1600	140	26	0.0982262227260298	0.214719626262783	1e-09	7.22821412476001e-06	0.138541259248884	3.62739138958065e-05	0.733359249336248	0.0500771665030487
1	"OUMA"	6452563.13230574	-12905116.2646115	-12905116.2348052	-12905088.2128234	5	2.8e+11	6.6e+10	8900000	0.349895641150076	0.527011426375702	1.07067716374363e-09	1.07067716374363e-09	211096936.850902	128871.764262927	0.672078167697186	0.00292925865743264
10	"OUMVA"	16982.8319387161	-33953.6638774322	-33953.6221279292	-33920.0017317223	6	1400	260	22	0.0695512840347399	0.225053473123366	1e-09	3.75999415888001e-09	0.439939169924344	4.13312743485222e-05	1.70841439277861	0.0174245533932981
10	"OUMA"	24770.8652114069	-49531.7304228139	-49531.7006165546	-49503.6786347223	5	6e+09	1900000	1300	3.34905525234671	1.52999519091061	1e-09	1e-09	1.94591014905531	240538623.300782	5.27398071225562e-85	6.51929412289008e-77
100	"OUMA"	25262.4626280967	-50514.9252561934	-50514.8954499341	-50486.8734681018	5	2e+07	590	-5.4e+08	3.26859957434381	1.6977971130699	1.00018414245195e-09	1.00018414245195e-09	1.94591014905531	302720072.917174	9.93723447838397e-75	1.54590917126972e-66
100	"OUMVA"	25351.5407272353	-50691.0814544705	-50691.0397049676	-50657.4193087607	6	1700	92	21	3.33906189904787	1.79056303842159	1.03665866064622e-09	1.6773862045962e-09	1.94591014905531	196826493.034083	8.48586438669841e-74	8.58335071846725e-66
101	"OUMA"	20025.7178225286	-40041.4356450572	-40041.4058387978	-40013.3838569656	5	1.6e+16	2.1e+15	-2.6e+16	3.18759426256069	3.36541970150266	1e-09	1e-09	2075945.57434894	560841.834394789	1.69401211784407	0.0140874990710035
11	"OUMVA"	24188.2933103219	-48364.5866206437	-48364.5448711408	-48330.9244749339	6	1700	50	7.7	3.29024886644658	0.998091861630559	1.01570486186345e-09	1.03853442507711e-09	1.74829043768609	4602.34003621712	9.89428862161943e-109	2.60465193147635e-105
11	"OUMA"	4286100.6621165	-8572191.32423299	-8572191.29442673	-8572163.2724449	5	2e+11	3.9e+10	5.4e+07	0.327816005732519	0.533392322554035	1e-09	1e-09	-210554697.13363	123535.47075517	140.314127267918	0.0163238100669146
12	"OUMVA"	24653.4436047393	-49294.8872094785	-49294.8454599755	-49261.2250637687	6	1500	220	25	3.37860234827801	1.47948737678354	1e-09	1.40169685875264e-09	1.94591014905531	7958090.12347376	5.40873993570184e-90	2.21198496156892e-83
12	"OUMA"	60072.4878419836	-120134.975683967	-120134.945877708	-120106.923895876	5	2.8e+09	5.4e+08	88000	0.387465211795966	0.585410574756405	1e-09	1e-09	-18101050.49906	48766.0026345508	1868.98527313692	0.0506108478154113
13	"OUMVA"	16875.6273638546	-33739.2547277092	-33739.2129782062	-33705.5925819993	6	1700	130	24	0.00031314362161183	0.158667394218594	1e-09	0.47103158954537	-7719.31253082461	7648338.59397943	1.49033008573281	180.498640553824
