"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"0_alpha"	"1_alpha"	"sigma0"	"1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
1	"BM1"	-2389.01418505546	4782.02837011092	4782.03432249187	4793.24908534754	2	1000	0	0	0	0	0.107848931010261	0	0.971820488990582	1.32404199385712	0	0
1	"BMS"	-2374.75258396002	4755.50516792004	4755.51707859002	4772.33624077498	3	990	25	0	0	0	0.109751611815911	0.0310780986093314	0.94837262095556	1.31645288205516	0	0
1	"OU1"	-1846.63885287706	3699.27770575412	3699.2896164241	3716.10877860906	3	1700	120	0	0.238928963843674	0	0.219684481556116	0	0.571776222000654	0.0207026652949668	0	0
1	"OUM"	-1838.4792898122	3684.9585796244	3684.97844059759	3707.40001009765	4	1700	120	0	0.246618398077087	0.246618398077087	0.223246131001911	0.223246131001911	0.550211828224457	0.0208041210704985	0.94838009092105	0.0954210568265225
1	"OUMV"	-1836.64726429775	3683.29452859551	3683.32433485482	3711.34631668707	5	1600	140	26	0.244316637092627	0.244316637092627	0.223653375184752	0.153566026885994	0.550985454364926	0.0209943029232794	0.949388811099588	0.079733275515352
1	"OUMVA"	17170.7765892703	-34329.5531785406	-34329.5114290376	-34295.8910328307	6	1600	140	26	0.0982262227260298	0.214719626262783	1e-09	7.22821412476001e-06	0.138541259248884	3.62739138958065e-05	0.733359249336248	0.0500771665030487
1	"OUMA"	6452563.13230574	-12905116.2646115	-12905116.2348052	-12905088.2128234	5	2.8e+11	6.6e+10	8900000	0.349895641150076	0.527011426375702	1.07067716374363e-09	1.07067716374363e-09	211096936.850902	128871.764262927	0.672078167697186	0.00292925865743264
10	"BM1"	-1988.73652792811	3981.47305585622	3981.47900823718	3992.69377109285	2	1000	0	0	0	0	0.069203915899486	0	0.965841192053614	1.10752329085571	0	0
10	"BMS"	-1969.04568575255	3944.0913715051	3944.10328217507	3960.92244436004	3	990	24	0	0	0	0.0705942824892095	0.0144787775119056	1.0450566462034	1.09389663986497	0	0
10	"OU1"	-1644.59709390148	3295.19418780296	3295.20609847293	3312.0252606579	3	1400	240	0	0.111479758616033	0	0.105543899406546	0	0.669038104877153	0.0304535845759723	0	0
10	"OUM"	-1639.31272928214	3286.62545856428	3286.64531953747	3309.06688903753	4	1400	230	0	0.11434848701371	0.11434848701371	0.106541152655482	0.106541152655482	0.636126906479978	0.0309590470197758	1.00566429525424	0.107859183967561
10	"OUMV"	-1635.64592875097	3281.29185750195	3281.32166376126	3309.34364559351	5	1400	260	22	0.11099524342474	0.11099524342474	0.106142186944189	0.0591408171056402	0.642306690107114	0.0319951323433154	1.00795726340061	0.0828145311939116
