"";"rowMeans.BBM_df_100..na.rm...TRUE.";"SpecName"
"Raphia_ruwenzorica";0,908823456760722;"Raphia_ruwenzorica"
"Raphia_rostrata";0,985576293193857;"Raphia_rostrata"
"Raphia_palma-pinus";0,973947075552473;"Raphia_palma-pinus"
"Raphia_australis";0,731129011200373;"Raphia_australis"
"Raphia_monbuttorum";1,11721903689432;"Raphia_monbuttorum"
"Raphia_taedigera";1,09582127643418;"Raphia_taedigera"
"Raphia_farinifera";0,962317857911088;"Raphia_farinifera"
"Raphia_regalis";0,77159868859239;"Raphia_regalis"
"Raphia_mannii";0,833000957738898;"Raphia_mannii"
"Raphia_mambillensis";1,01674259647277;"Raphia_mambillensis"
"Raphia_longiflora";1,00790439106531;"Raphia_longiflora"
"Raphia_laurentii";1,06046845480437;"Raphia_laurentii"
"Raphia_hookeri";0,988367305427789;"Raphia_hookeri"
"Raphia_africana";0,900915588764581;"Raphia_africana"
"Raphia_sudanica";1,1321044354753;"Raphia_sudanica"
"Raphia_vinifera";1,06186396092134;"Raphia_vinifera"
"Raphia_gentiliana";1,01813810258973;"Raphia_gentiliana"
"Raphia_textilis";0,968365051084608;"Raphia_textilis"
"Raphia_sese";0,696706526981876;"Raphia_sese"
"Mauritiella_aculeata";0,884169515360988;"Mauritiella_aculeata"
"Mauritiella_macroclada";0,81672005304096;"Mauritiella_macroclada"
"Mauritiella_armata";0,802764991871299;"Mauritiella_armata"
"Mauritia_flexuosa";0,8548638869047;"Mauritia_flexuosa"
"Mauritia_carana";0,835326801267174;"Mauritia_carana"
"Lepidocaryum_tenue";0,694845852159255;"Lepidocaryum_tenue"
"Oncocalamus_macrospathus";0,895798733002372;"Oncocalamus_macrospathus"
"Oncocalamus_mannii";0,871609960308293;"Oncocalamus_mannii"
"Oncocalamus_djodu";0,786018918467706;"Oncocalamus_djodu"
"Oncocalamus_tuleyi";0,893472889474095;"Oncocalamus_tuleyi"
"Eremospatha_wendlandiana";0,919522336990795;"Eremospatha_wendlandiana"
"Eremospatha_macrocarpa";0,943245940979219;"Eremospatha_macrocarpa"
"Eremospatha_laurentii";1,01767293388408;"Eremospatha_laurentii"
"Eremospatha_haullevilleana";0,882774009244021;"Eremospatha_haullevilleana"
"Eremospatha_cuspidata";0,845095344085937;"Eremospatha_cuspidata"
"Eremospatha_hookeri";0,828349270682344;"Eremospatha_hookeri"
"Eremospatha_cabrae";0,936733579100043;"Eremospatha_cabrae"
"Eremospatha_barendii";1,01255607812187;"Eremospatha_barendii"
"Laccosperma_robustum";0,942315603567908;"Laccosperma_robustum"
"Laccosperma_opacum";0,899054913941959;"Laccosperma_opacum"
"Laccosperma_acutiflorum";0,729268336377752;"Laccosperma_acutiflorum"
"Laccosperma_secundiflorum";1,01069540329925;"Laccosperma_secundiflorum"
"Laccosperma_laeve";0,925104361458659;"Laccosperma_laeve"
"Eugeissona_utilis";0,843699837968971;"Eugeissona_utilis"
"Eugeissona_brachystachys";0,889286371123196;"Eugeissona_brachystachys"
"Eugeissona_tristis";0,865562767134773;"Eugeissona_tristis"
"Eugeissona_minor";0,918126830873829;"Eugeissona_minor"
"Eugeissona_insignis";0,779506556588531;"Eugeissona_insignis"
"Eleiodoxa_conferta";0,924174024047349;"Eleiodoxa_conferta"
"Salacca_secunda";0,744618903664379;"Salacca_secunda"
"Salacca_vermicularis";0,928360542398247;"Salacca_vermicularis"
"Salacca_sumatrana";0,84881669373118;"Salacca_sumatrana"
"Salacca_dolicholepis";0,994414498601308;"Salacca_dolicholepis"
"Salacca_ramosiana";0,75950430224535;"Salacca_ramosiana"
"Salacca_affinis";0,850212199848146;"Salacca_affinis"
"Salacca_zalacca";0,924639192753004;"Salacca_zalacca"
"Salacca_graciliflora";0,74043238531348;"Salacca_graciliflora"
"Salacca_clemensiana";0,785088581056395;"Salacca_clemensiana"
