"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
"ouwie_Afr_avgl_1"	"OUMVA"	25903.424120636	-51794.8482412721	-51794.8068619618	-51761.1328407747	6	1600	150	29	3.42033637663216	1.17986763857249	1.00141517631e-09	0.0687440677793201	1.79175946922805	1.91841352073954e+53	4.70594695797721e-24	5.2899314433222e+29
"ouwie_Afr_avgl_1"	"OUMA"	26078.0955253017	-52146.1910506035	-52146.161508506	-52118.0948835223	5	5.9e+09	8.9e+07	1400	3.38391828035375	1.23096955463757	1e-09	1e-09	1.79175946922805	1.02676413419566e+51	-5.29353768851014e-21	0
"ouwie_Afr_avgl_10"	"OUMVA"	25045.2609647843	-50078.5219295685	-50078.4805502582	-50044.8065290712	6	1400	270	28	3.29765909688443	1.72666562891645	1.00024874341894e-09	0.00343003663836798	1.79175946922805	2.16905526097104e+38	-3.07811540424896e-56	0
"ouwie_Afr_avgl_10"	"OUMA"	25299.0925097737	-50588.1850195475	-50588.15547745	-50560.0888524664	5	6e+09	6700000	570	3.3370740296233	1.76790507958691	1.00063868525719e-09	1.00063868525719e-09	1.79175946922805	1.92110203734007e+38	-2.17127914729956e-57	0
"ouwie_Afr_avgl_100"	"OUMA"	26209.4381488699	-52408.8762977398	-52408.8467556424	-52380.7801306587	5	6e+09	8600000	910	3.32441077844192	1.43067102485733	1e-09	1e-09	1.79175946922805	4.71398364410044e+38	1.22529728350621e-25	4582802892929.13
"ouwie_Afr_avgl_100"	"OUMVA"	26215.2051565236	-52418.4103130473	-52418.3689337369	-52384.6949125499	6	1700	120	26	3.32372003431033	1.41274509565113	1.00020172714456e-09	4.60109369965666e-09	1.79175946922805	1.17530146926438e+39	1.41127621958084e-26	1509235040575.86
"ouwie_Afr_avgl_11"	"OUMA"	25258.3560553848	-50506.7121107695	-50506.682568672	-50478.6159436884	5	1.4e+09	1200	-5.5e+08	3.24858996700045	0.94774864013221	1e-09	1e-09	1.79175946922805	2.6938519969234e+58	-6.80333938084329e-26	0
"ouwie_Afr_avgl_11"	"OUMVA"	26512.3801080577	-53012.7602161153	-53012.718836805	-52979.044815618	6	1700	94	19	1.58545150058994	1.31414082456563e-07	1.0066519333574e-09	88.4717904572041	1.79175946922805	7.84487030898948e+38	-6.60750557974154e-47	0
"ouwie_Afr_avgl_12"	"OUMVA"	24578.0444812206	-49144.0889624413	-49144.047583131	-49110.3735619439	6	1500	240	32	3.36256544936254	1.94624342535712	1e-09	1e-09	1.79175946922805	2.35417484139669e+39	-1.81105759807648e-37	0
"ouwie_Afr_avgl_12"	"OUMA"	26156.8060112532	-52303.6120225064	-52303.5824804089	-52275.5158554253	5	8.2e+10	3.8e+08	-130	1.03875771083564	2.97692907556435e-07	1e-09	1e-09	1.79175946922805	6.58451140569913e+27	-5.00246521058633e-35	0
"ouwie_Afr_avgl_13"	"OUMVA"	25708.4683781537	-51404.9367563074	-51404.895376997	-51371.22135581	6	1600	160	27	3.33885263206919	1.57803753703622	1.00458091595524e-09	1.33415524067153e-05	1.79175946922805	3.23063338751717e+46	-4.85657377277132e-20	0
"ouwie_Afr_avgl_13"	"OUMA"	25721.5467010691	-51433.0934021382	-51433.0638600407	-51404.9972350571	5	6e+09	1.2e+07	1500	3.34409739201694	1.49251646321211	1e-09	1e-09	1.79175946922805	1.44177651107771e+49	-9.71314754554217e-20	0
"ouwie_Afr_avgl_14"	"OUMVA"	25821.1794790754	-51630.3589581509	-51630.3175788405	-51596.6435576535	6	1500	220	29	3.35415147131088	1.18659037603509	1.00002327251681e-09	0.000895879396940628	1.79175946922805	4.59498661850501e+48	-3.64687000975589e-29	0
"ouwie_Afr_avgl_14"	"OUMA"	26019.3367169621	-52028.6734339243	-52028.6438918268	-52000.5772668431	5	6e+09	4.8e+07	910	3.34596415131512	1.25676888667221	1e-09	1e-09	1.79175946922805	5.31915263721238e+46	-1.16697955082384e-25	9.07268607308505e+21
"ouwie_Afr_avgl_15"	"OUMA"	26327.6125575393	-52645.2251150785	-52645.1955729811	-52617.1289479974	5	5e+07	-880	-5.2e+08	3.34106500605621	1.23936255344767	1e-09	1e-09	1.79175946922805	2.95831768371419e+50	3.18700232236671e-22	1.08924667661976e+28
"ouwie_Afr_avgl_15"	"OUMVA"	26346.3638591717	-52680.7277183434	-52680.686339033	-52647.012317846	6	1600	150	28	3.36585743472343	1.17233825216829	1.00534671881463e-09	1.03014670418336e-09	1.79175946922805	7.76664437378571e+52	1.69192721775022e-25	0
"ouwie_Afr_avgl_16"	"OUMA"	46224.9945409715	-92439.9890819429	-92439.9595398454	-92411.8929148618	5	1.5e+08	3900	-1.8e+08	0.000110163527057139	0.864747098069578	1e-09	1e-09	-15176.2627365488	3.01800002746942e+33	1.7144763367065	2.87328039951324e+28
"ouwie_Afr_avgl_16"	"OUMVA"	55498.7172421737	-110985.434484347	-110985.393105037	-110951.71908385	6	1500	220	34	4.06339111158332e-05	0.467358758114023	1.05095374934173e-09	1.48822580672736e-09	1.16291965240565e-06	469.858031811024	0.734638456743527	643027623642.854
"ouwie_Afr_avgl_17"	"OUMVA"	25753.2255175744	-51494.4510351487	-51494.4096558384	-51460.7356346514	6	5.7e+09	980	40	3.35315070327728	1.40804276974003	1.0037865336731e-09	1e-09	1.79175946922805	1.31674934328889e+52	-8.03280982294552e-38	0
