"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
"ouwie_Afr_BM_1"	"OUMA"	26030.6900721748	-52051.3801443496	-52051.3506022521	-52023.2839772684	5	5.9e+09	1.6e+07	1400	3.38271943593505	1.62658082794006	1e-09	1e-09	1.30793820621302	1.45969130566072e+33	-1.61053813044263e-29	0
"ouwie_Afr_BM_10"	"OUMA"	26088.0497680416	-52166.0995360831	-52166.0699939856	-52138.003369002	5	6e+09	7e+06	1400	3.33551955798971	1.75818088186396	1e-09	1e-09	-0.413186004711819	4.89045698476211e+39	4.5449299438625e-55	0
"ouwie_Afr_BM_100"	"OUMA"	26148.6294579477	-52287.2589158953	-52287.2293737978	-52259.1627488142	5	6.1e+09	9500000	1700	3.32110827415276	1.82206408835142	1e-09	1e-09	0.0519827009435434	1.05120803369449e+29	1.5934759508773e-31	0
"ouwie_Afr_BM_11"	"OUMA"	26066.8678394012	-52123.7356788024	-52123.706136705	-52095.6395117213	5	6.1e+09	1.4e+08	1400	3.31056369872058	1.19483497573847	1.00363707765279e-09	1.00363707765279e-09	0.703218888861051	5.70031584694857e+40	3.99554484499036e-21	12088291255115.2
"ouwie_Afr_BM_12"	"OUMA"	25784.4366289078	-51558.8732578156	-51558.8437157181	-51530.7770907344	5	5.6e+07	1e+07	1300	3.24051899207294	1.31452758326504	1e-09	1e-09	-0.134084781318602	1.16624251162874e+37	-9.4098092789333e-26	0
"ouwie_Afr_BM_13"	"OUMA"	16849.2132851294	-33688.4265702588	-33688.3970281613	-33660.3304031777	5	460000	14000	980	1.3418727437607e-09	0.236141202832973	1.00230906342351e-09	1.00230906342351e-09	4.87149267997858e-11	0	3.02438898822826	0.816292065685487
"ouwie_Afr_BM_14"	"OUMA"	25959.0994825277	-51908.1989650553	-51908.1694229578	-51880.1027979742	5	5.9e+09	5.5e+07	1400	3.36459098612974	1.1806685998885	1e-09	1e-09	0.84276950055766	2.16791941440881e+48	1.12189305346103e-30	0
"ouwie_Afr_BM_15"	"OUMA"	29608.1558099798	-59206.3116199597	-59206.2820778622	-59178.2154528785	5	7.8e+07	1200000	20000	0.00258614664623481	0.605941472044086	1e-09	1e-09	5814017.26892339	2.85752556761333e+23	0.573971281544544	78953788082999120
"ouwie_Afr_BM_16"	"OUMVA"	35882.5993082458	-71753.1986164916	-71753.1572371812	-71719.4832159942	6	1000	52	25	0.000877337335801483	0.320144019917723	1.00979844069379e-09	0.00613245013516325	2.19028765715547e-08	1.26086105508603	2.39100505008389	21365218.5951912
"ouwie_Afr_BM_16"	"OUMA"	43281.8266357057	-86553.6532714114	-86553.6237293139	-86525.5571043302	5	2.4e+11	1e+05	-1.7e+11	0.000129749499772884	0.97416595071723	1.08174271979102e-09	1.08174271979102e-09	3719.09363350077	4.33286444927923e+36	1.64022993007459	1.26251462309572e+33
"ouwie_Afr_BM_17"	"OUMA"	40064.1874650017	-80118.3749300034	-80118.345387906	-80090.2787629223	5	1.7e+07	7e+05	9700	0.000319301816422114	0.525921197044751	1e-09	1e-09	-2.73782955149995e-09	0	2.29894789742144	36445667419604.2
"ouwie_Afr_BM_17"	"OUMVA"	48379.2690335803	-96746.5380671607	-96746.4966878503	-96712.8226666633	6	1000	48	25	0.504201661240641	1.69820917134119	1.00351034555769e-09	1.00113646747903e-09	3.39928744181636e-12	8.84333836619221e+33	1.83513044039919	8.14885249415033e+43
"ouwie_Afr_BM_18"	"OUMA"	26033.7714845829	-52057.5429691658	-52057.5134270683	-52029.4468020847	5	5.7e+09	2.8e+08	1400	3.44004754536856	1.11242495462607	1e-09	1e-09	3.35468051109662	8.40198685349908e+61	3.69923864860616e-20	9.62886199993638e+41
"ouwie_Afr_BM_19"	"OUMA"	25848.093769792	-51686.187539584	-51686.1579974865	-51658.0913725028	5	6e+09	3e+07	1100	3.32701930227556	1.262262884357	1.00002219377818e-09	1.00002219377818e-09	0.982320112254269	2.16521459248329e+39	2.18504062372836e-21	3494786077010.81
"ouwie_Afr_BM_2"	"OUMA"	26744.5504284531	-53479.1008569062	-53479.0713148087	-53451.0046898251	5	91000	4500	-5.5e+08	3.24481821222603	6.7739166388907e-08	1e-09	1e-09	0.191533312640152	5.38722745145052e+93	3.09257115974667e-73	0
"ouwie_Afr_BM_20"	"OUMA"	27013.5330332833	-54017.0660665665	-54017.036524469	-53988.9698994854	5	3.6e+08	290000	-280	3.048183369842	9.91253378542216e-08	1.00017711672566e-09	1.00017711672566e-09	1.07535385338534	3.90225211402768e+79	-1.6086156682513e-68	0
"ouwie_Afr_BM_21"	"OUMA"	31926.2076873744	-63842.4153747489	-63842.3858326514	-63814.3192076677	5	3.3e+07	1800000	28000	0.00286872850550792	0.478666179341528	1.04191641988294e-09	1.04191641988294e-09	3.77959546438705e-05	0	2.80236902939524	5270554101711.09
"ouwie_Afr_BM_22"	"OUMA"	26767.0356264706	-53524.0712529411	-53524.0417108436	-53495.97508586	5	740000	110000	440	2.71673108197378	6.55321042239211e-08	1.00006914026532e-09	1.00006914026532e-09	0.00546583037800731	3.27905416751385e+65	2.7104124830322e-67	27.8454584433046
"ouwie_Afr_BM_23"	"OUMA"	36280.3749408697	-72550.7498817395	-72550.720339642	-72522.6537146583	5	3.3e+07	1300000	12000	0.000947363913463116	0.621188065228305	1.0020587413433e-09	1.0020587413433e-09	-2491958.51007361	0	8.97573075865753	65062495242186352
"ouwie_Afr_BM_23"	"OUMVA"	36847.6088122661	-73683.2176245322	-73683.1762452218	-73649.5022240348	6	1000	47	24	0.00416170905358422	0.597656780564521	1.00713132855615e-09	1.00809616793165e-09	-1241405.2183179	5.10447203008464e+21	4.20860299090383	8619652207119894
"ouwie_Afr_BM_24"	"OUMA"	26004.166270917	-51998.332541834	-51998.3029997365	-51970.2363747529	5	6.2e+09	1.1e+07	890	3.2774868315642	1.54049605358791	1.02744207924365e-09	1.02744207924365e-09	-0.413186004711819	1.03270872560138e+39	4.96007136714406e-21	0
"ouwie_Afr_BM_25"	"OUMA"	120309.017308779	-240608.034617558	-240608.00507546	-240579.938450477	5	7.7e+08	1.1e+07	48000	1.6477190554987e-06	0.207784335633374	1e-09	1e-09	-820271.281453975	0	87.4148804472674	0
