SpecName	accGenus	accSpecies	PalmTribe	PalmSubfamily	Climbing	Acaulescent	Erect	StemSolitary	StemArmed	LeavesArmed	MaxStemHeight_m	MaxStemDia_cm	UnderstoreyCanopy	MaxLeafNumber	Max_Blade_Length_m	Max_Rachis_Length_m	Max_Petiole_length_m	AverageFruitLength_cm	MinFruitLength_cm	MaxFruitLength_cm	AverageFruitWidth_cm	MinFruitWidth_cm	MaxFruitWidth_cm	FruitSizeCategorical	FruitShape	FruitColorDescription	MainFruitColors	Conspicuousness
Acanthophoenix crinita	Acanthophoenix	crinita	Areceae	Arecoideae	0	0	1	1	1	1	10	20	canopy	15	2.3			0.65	0.6	0.7	0.5			small		black	black	cryptic
Acanthophoenix rousselii	Acanthophoenix	rousselii	Areceae	Arecoideae	0	0	1	1	1	1	25	30	canopy		3			2			0.8			small	ovoid	black	black	cryptic
Acanthophoenix rubra	Acanthophoenix	rubra	Areceae	Arecoideae	0	0	1	1	1	1	15	18	canopy	20	3.1	3		1			0.7			small	ovoid	black	black	cryptic
Acoelorrhaphe wrightii	Acoelorrhaphe	wrightii	Trachycarpeae	Coryphoideae	0	0	1	0	0	1	9.1	15	canopy	25	1.3	0.7	0.65	0.7			0.7	0.5	0.9	small	ovoid	"orange-brown; becomming black"	"brown; black"	cryptic
Acrocomia aculeata	Acrocomia	aculeata	Cocoseae	Arecoideae	0	0	1	1	1	1	12	50	canopy	30	3.5	2.5		4.25	3.5	5	4.6	3.8	5.4	large	ovoid	yellowish green	green	cryptic
Acrocomia crispa	Acrocomia	crispa	Cocoseae	Arecoideae	0	0	1	1	1	1	18	35	canopy	15	3		0.65	2.5			1.8			small	globose	yellow to orange	"yellow; orange"	conspicuous
Acrocomia emensis	Acrocomia	emensis	Cocoseae	Arecoideae	0	1	0	1	1	1	0		understorey					2			2			small				
Acrocomia glaucescens	Acrocomia	glaucescens	Cocoseae	Arecoideae	0	0	1	1	1	1																		
Acrocomia hassleri	Acrocomia	hassleri	Cocoseae	Arecoideae	0	1	0	1	1	1	0		understorey	6	0.9	0.54	0.51	2.25	1.5	3	2.25	1.5	3	small		brown	brown	cryptic
Acrocomia intumescens	Acrocomia	intumescens	Cocoseae	Arecoideae	0	0	1	1	1	1								4.6	3.8	5.4	4.6	3.8	5.4	large		dull yellowish	yellow	cryptic
Acrocomia media	Acrocomia	media	Cocoseae	Arecoideae	0	0	1	1	1	1	15	30	canopy												ovoid	dull yellowish	yellow	cryptic
Acrocomia totai	Acrocomia	totai	Cocoseae	Arecoideae	0	0	1	1	1	1								3	2.5	3.5	3	2.5	3.5	small		yellow to orange	"yellow; orange"	conspicuous
Actinokentia divaricata	Actinokentia	divaricata	Areceae	Arecoideae	0	0	1	1	0	0	9	9	canopy	7	2.35	2.1	1.3	2.6	1.8	3.4	1.1	0.8	1.4	small	globose	red to dark purple	"red; purple"	conspicuous
Actinokentia huerlimannii	Actinokentia	huerlimannii	Areceae	Arecoideae	0	0	1	1	0	0	9	36	canopy	10	1.2		0.22	3			1.3			small	globose			
Actinorhytis calapparia	Actinorhytis	calapparia	Areceae	Arecoideae	0	0	1	1	0	0	40	30	canopy	13	4.76	4.3	0.51	10			5.5	5	6	large	ovoid	reddish	red	conspicuous
Adonidia maturbongsii	Adonidia	maturbongsii	Areceae	Arecoideae	0	0	1	1	0	0								2.3			1			small		bright orange to red	"orange; red"	conspicuous
Adonidia merrillii	Adonidia	merrillii	Areceae	Arecoideae	0	0	1	1	0	0	7	30	canopy	17	2.2	2	0.22	2.5			1.3			small	elongate	red	red	conspicuous
Aiphanes acanthophylla	Aiphanes	acanthophylla	Cocoseae	Arecoideae	0	0	1			1								1.4			1.4			small		bright red	red	conspicuous
Aiphanes acaulis	Aiphanes	acaulis	Cocoseae	Arecoideae	0	1	0	1	0	1	0		understorey	10	1.83	1.33	0.33	1			1			small		from purple to vine red	"purple; red"	conspicuous
Aiphanes bicornis	Aiphanes	bicornis	Cocoseae	Arecoideae	0	0	1	1	1	1	0.5	2.5	understorey	13	0.54	0.54		0.6			0.8			small	ovoid	red-orange	"red; orange"	conspicuous
Aiphanes buenaventurae	Aiphanes	buenaventurae	Cocoseae	Arecoideae	0	0	1	2		1	4		understorey	8	0.22	0.78	0.25											
Aiphanes chiribogensis	Aiphanes	chiribogensis	Cocoseae	Arecoideae	0	0	1	1	1	1	3	6	understorey	9	1.45	1	0.5	1.1			1.1	1	1.2	small	globose	red	red	conspicuous
Aiphanes deltoidea	Aiphanes	deltoidea	Cocoseae	Arecoideae	0	0	1	2	1	1	2	6	understorey	12	2.95	1.9	1.1	1.3			0.7			small	globose	yellow	yellow	conspicuous
Aiphanes duquei	Aiphanes	duquei	Cocoseae	Arecoideae	0	0	1	1	1	1	5	5	understorey	9	1.35	1.1	0.28	1.05	0.9	1.2				small	globose	red	red	conspicuous
Aiphanes eggersii	Aiphanes	eggersii	Cocoseae	Arecoideae	0	0	1	0	1	1	10	8	canopy	10	2.2	2.05	0.17	1.75			1.75	1.5	2	small	ovoid	bright red	red	conspicuous
Aiphanes erinacea	Aiphanes	erinacea	Cocoseae	Arecoideae	0	0	1	0	1	1	5	5	understorey	8	2.2	1.65	0.6	0.75			0.75	0.7	0.8	small	globose	dark red soon turning brown or black	"red; brown; black"	conspicuous
Aiphanes gelatinosa	Aiphanes	gelatinosa	Cocoseae	Arecoideae	0	0	1	2	1	1	9	10	canopy	11	5.6	4	1.7	1.5			1.5	1	1.5	small	globose	"red with black apex; becomming brown or shiny black at maturity"	"brown; black"	cryptic
Aiphanes graminifolia	Aiphanes	graminifolia	Cocoseae	Arecoideae	0	0	1	0	1	1	5	2	understorey	6	0.89	0.89		0.5			0.5			small				
Aiphanes grandis	Aiphanes	grandis	Cocoseae	Arecoideae	0	0	1	1	1	1	21	20	canopy	10	5.5	2.5	2.75	2.15			2.15	2	3	small	elongate	dull green	green	cryptic
Aiphanes hirsuta	Aiphanes	hirsuta	Cocoseae	Arecoideae	0	0	1	0	1	1	10	10	canopy	8	2.94	1.94		1.35			1.35	0.7	2	small	globose	"red or less often purple or white; pinkish red"	"red; purple; white"	conspicuous
Aiphanes horrida	Aiphanes	horrida	Cocoseae	Arecoideae	0	0	1	1	1	1	10	15	canopy	15	2			1.95	1.6	2.3	1.95	1.6	2.3	small	ovoid	"bright red; rarely orange or white; with orange mesocarp"	red	conspicuous
Aiphanes leiostachys	Aiphanes	leiostachys	Cocoseae	Arecoideae	0	0	1	0	1	1	5	3	understorey	11	2.08	1.08									globose			
Aiphanes lindeniana	Aiphanes	lindeniana	Cocoseae	Arecoideae	0	0	1	2	1	1	7	10	canopy	10	1.31	0.75	0.61	1.5			1.5	1.4	1.6	small		red to orange	"red; orange"	conspicuous
Aiphanes linearis	Aiphanes	linearis	Cocoseae	Arecoideae	0	0	1	0	1	1	12	12	canopy	9	2.73	2.39	0.49	4.5			2.65	1.8	3.5	large	globose			
Aiphanes macroloba	Aiphanes	macroloba	Cocoseae	Arecoideae	0	0	1	0	1	1	3	3	understorey	8	1.86	1.5	0.41	1			0.7			small	ovoid	red to orange	"red; orange"	conspicuous
Aiphanes minima	Aiphanes	minima	Cocoseae	Arecoideae	0	0	1	1	1	1	18	50	canopy	9	4.2	3	1.25	1.4	1.2	1.6	1.55	1.4	1.7	small	globose	red	red	conspicuous
Aiphanes multiplex	Aiphanes	multiplex	Cocoseae	Arecoideae	0	0	1			1								1.6			1.45			small		red	red	conspicuous
Aiphanes parvifolia	Aiphanes	parvifolia	Cocoseae	Arecoideae	0	0	1	1	0	1	2	3	understorey	10	0.95	0.7	0.28	0.85	0.7	1				small		orange to red	"orange; red"	conspicuous
Aiphanes pilaris	Aiphanes	pilaris	Cocoseae	Arecoideae	0	0	1	1	1	1	7	15	canopy	10				4.7			4.7			large	ovoid	brown	brown	cryptic
Aiphanes simplex	Aiphanes	simplex	Cocoseae	Arecoideae	0	0	1	0	1	1	4	2	understorey	9	0.96	0.7	0.29	0.9			0.9	0.8	1	small	ovoid	red	red	conspicuous
Aiphanes spicata	Aiphanes	spicata	Cocoseae	Arecoideae	0	1	0	1	0	1	0.3	2	understorey	12	1.05	0.8	0.25	1			0.9			small				
Aiphanes stergiosii	Aiphanes	stergiosii	Cocoseae	Arecoideae	0	0	1		1	1															ovoid	red-orange	"red; orange"	conspicuous
Aiphanes tricuspidata	Aiphanes	tricuspidata	Cocoseae	Arecoideae	0	0	1	1	1	1	4.5	6	understorey	10	1.38	1.2	0.2	0.75			0.75	0.6	1	small		"reddish-brown; speckled brown and red"	brown	cryptic
Aiphanes ulei	Aiphanes	ulei	Cocoseae	Arecoideae	0	0	1	1	1	1	6	5	canopy	15	2.5	1.8	0.75	0.7			0.7		1	small		red	red	conspicuous
Aiphanes verrucosa	Aiphanes	verrucosa	Cocoseae	Arecoideae	0	0	1	0	1	1	8	5	canopy	5	1.3	1.15	0.17	2.25			2.25	2	2.5	small	globose	greenish white	white	cryptic
Aiphanes weberbaueri	Aiphanes	weberbaueri	Cocoseae	Arecoideae	0	0	1	2	0	1	1.5	6	understorey	13	2	1.2		0.85			0.85	0.7	1	small	ovoid	red to purple	"red; purple"	conspicuous
Allagoptera arenaria	Allagoptera	arenaria	Cocoseae	Arecoideae	0	1	0	2	0	0	0.2	15	understorey	15	1.8		1	1.6	1.2	2	1.15	1	1.3	small		yellowish green	green	cryptic
Allagoptera brevicalyx	Allagoptera	brevicalyx	Cocoseae	Arecoideae	0	1	0	2	0	0	2		understorey	8	1.2		0.34	1.75	1.5	2	1.25	1	1.5	small	ovoid	yellowish green	green	cryptic
Allagoptera campestris	Allagoptera	campestris	Cocoseae	Arecoideae	0	1	0	1	0	0	0.2		understorey	10	0.97	0.66	0.34	1.35	1.2	1.5	0.6	0.5	0.7	small	globose	yellowish green	green	cryptic
Allagoptera caudescens	Allagoptera	caudescens	Cocoseae	Arecoideae	0	0	1	1	0	0	8	25	canopy	16	4		0.61	4.25	4	4.5	3.25	3	3.5	large	ovoid	greenish brown	brown	cryptic
Allagoptera leucocalyx	Allagoptera	leucocalyx	Cocoseae	Arecoideae	0	1	0	1	0	0	2		understorey	30	2	1.3	0.75	2.65	2.3	3	1.75	1.5	2	small	ovoid	yellowish green	green	cryptic
