"LEVEL_3_CO","ID","LEVEL_NAME","REGION_NAM","CONTINENT","THREEREALM","REALM_LONG","NEOPALEO","AREA_M2","AREA_KM2","PERIMETER","LAT","LONG","X_COORD","Y_COORD","ISISLAND","PALMSR","PalmPresAbs","srtm_alt_mean","srtm_alt_median","srtm_alt_min","srtm_alt_max","alt_min0","alt_range","soilcount","GPP_mean","GPP_median","GPP_min","GPP_max","GPP_range","GPP_SD","NPP_mean","NPP_median","NPP_min","NPP_max","NPP_range","NPP_SD","GeologicalOrigin","Geology_3categ","DistToCont_m","DistToCont_km","NearestMainland","ccAnoTmean","ccAnoTmedian","miAnoTmean","miAnoTmedian","ccAnoPmean","ccAnoPmedian","miAnoPmean","miAnoPmedian","PLIO_PREC_30s","PLIO_TEMP_30s","PLIO_P_ANOM","PLIO_T_ANOM","Plio_Wmm_mean","Plio_Cmm_mean","Mio_Prec_Mean","Mio_Temp_Mean","VelocityMean","VelocityMedian","VelocityMeanLog","CH_Extent","CH_Mean","CH_Range","CH_CV","CH_Min","CH_Max","CH_Median","CH_SD","CH_Majority","CH_Sum","CH_Variety","CH_PercCover","CH_PercQuart4","bio1_mean","bio2_mean","bio3_mean","bio4_mean","bio5_mean","bio6_mean","bio7_mean","bio8_mean","bio9_mean","bio10_mean","bio11_mean","bio12_mean","bio13_mean","bio14_mean","bio15_mean","bio16_mean","bio17_mean","bio18_mean","bio19_mean","bio1_sd","bio2_sd","bio3_sd","bio4_sd","bio5_sd","bio6_sd","bio7_sd","bio8_sd","bio9_sd","bio10_sd","bio11_sd","bio12_sd","bio13_sd","bio14_sd","bio15_sd","bio16_sd","bio17_sd","bio18_sd","bio19_sd","ccB1_mean","cnB1_mean","fgB1_mean","ipB1_mean","mrB1_mean","miB1_mean","lgm_ens_Tmean","ccB12_mean","cnB12_mean","fgB12_mean","ipB12_mean","mrB12_mean","miB12_mean","lgm_ens_Pmean"
"ABT",1,"Alberta","Western Canada","NORTHERN AMERICA","NewWorld","Nearctic","New World",6.63486e+11,663485.7939,3496267.738,55.16847238,-114.5109586,-11043827.26,5994294.492,0,0,0,750.5419,682,171,3517,171,3346,12,6802.24,7452,0,11973,11973,2362.55,4203.39,4487,0,7386,7386,1198.49,"mainland","mainland",NA,NA,"",168.9925,169,261.5596,263,256.4983,267,219.2808,224,2540.03,29.9536,-2086.4,-26.9726,16.551,-10.8367,2.39373,5.28654,47.32500427,47.03839111,1.597650438,1,16.6042,63,0.466563881,1,64,15,7.74692,11,35129100,64,0.529506428,0.124131976,16.0104308211523,92.3309181830737,235.137378080643,10863.9719192689,216.471168752653,-181.420237457523,397.891406205473,148.959902589675,-78.5645944234653,155.448343771679,-137.290866137177,471.784144800648,84.0627174367598,18.0025217473833,56.6144507078238,240.011156192629,57.5842683299374,220.14650529263,71.562926531956,22.9948474641613,5.36950548818773,32.3120568230055,1606.29956573358,21.7602996128168,40.8547973728683,40.7490421394562,23.2896554923862,62.3632925194919,20.1341884847297,41.6087081446677,90.4854197544339,17.4602696283469,4.61204954816807,9.12902757781806,51.9760167952498,14.3390737119806,54.4566262036941,22.0082562384207,2486.65932609063,2559.74564533303,2447.06902736626,2459.33200758081,2513.344984088,2451.94032704861,2486.34855291789,4673.19541206583,6090.99710232615,9635.15338096552,12023.769252329,8536.48726002248,8622.13887331797,8263.62354683782
"AFG",2,"Afghanistan","Western Asia","ASIA-TEMPERATE","OWEast","Palearctic","Old World",6.41922e+11,641921.5302,5107476.031,33.83890116,66.02652977,6366940.308,4067812.665,0,1,1,1806.5535,1592,249,6596,249,6347,9,1195.4,1326,0,11389,11389,1325.49,1285.56,1164,0,6702,6702,630.035,"mainland","mainland",NA,NA,"",40.324,40,47.1609,45,71.6566,62,-219.0602,-218,784.381,161.443,-471.463,-45.2169,28.9168,1.2545,1.1536,16.5302,3.283541641,1.77073276,0.309460243,1,34.4254,35,0.178077524,14,49,33,6.13039,36,173814,18,0.001891635,0.001847425,130.769503402613,124.338986857347,327.190013438568,8722.83824338499,323.272347893906,-56.4053537549013,379.67770163277,63.5586291503277,227.420472679024,247.347336013953,8.53111503125497,266.15542293836,61.3127415355725,0.985613858287292,99.0789089251782,172.038622384313,4.45259077076068,10.7349584797437,111.798642850325,79.9958617609027,11.4894560240772,18.0674153382421,595.054939915094,86.8937994238916,72.0368670147391,23.9468960326759,65.2577276682265,90.7659303364413,82.7478986485619,73.4866841007572,152.409250094929,32.6328657731457,2.74778737037316,15.9137065079607,92.972871696643,10.4037153434587,27.6506356772196,52.4148690372709,2794.23910606589,2798.81186917734,2768.2158709265,2756.36885547932,2794.36334386231,2793.32170817952,2784.22012561515,2731.86373897621,2609.7489250904,2917.14418105984,1732.16416982795,3156.24106831697,2490.57756552121,2606.28994146543
"AGE",3,"Argentina Northeast","Southern South America","SOUTHERN AMERICA","NewWorld","Neotropics","New World",1.12274e+12,1122740.582,7862515.101,-32.60227282,-61.25823213,-5905610.404,-3910806.241,0,10,1,152.6551,98,-43,2672,0,2672,20,11454.9,11523,0,33469,33469,4736.43,6092.93,6288,0,21938,21938,2426.88,"mainland","mainland",NA,NA,"",37.6622,38,27.9711,27,5.9749,-8,-34.3348,-105,1910.71,197.619,-1045.74,-21.0837,27.4056,9.924,0.876328,19.1364,11.78028462,12.47097349,1.038795753,1,9.04206,35,1.152381205,1,36,3,10.4199,2,2909470,36,0.069740994,0.014659283,178.398582416149,87.9789816028642,387.836608779673,4881.40373795638,288.245714678612,60.7601277661087,227.485586919216,222.483022586056,115.786926747993,243.804522210825,107.812744443409,928.862564805354,124.847354451653,31.4748456006211,43.7573662995304,356.140630107445,98.9439994400072,324.049915134125,106.523309377374,27.9072245013222,7.4777455915097,26.988327966095,600.811726808433,21.6411958441999,32.1885871406738,21.89778487054,26.5038054837791,34.138232813254,21.5220747643155,33.1751477041767,309.352246477838,36.8241645965782,21.3261015054629,15.4640929091294,105.474312070175,65.6331372793691,93.9463689956138,72.4318510431969,2886.13259381908,2899.03574411643,2874.4042722164,2869.69802176298,2888.58732960152,2911.99137005096,2888.30822192789,9308.54504272281,9211.72749212089,8125.06336996878,8879.93742933836,9100.7215464314,8081.73875946248,8784.62227334078
"AGS",4,"Argentina South","Southern South America","SOUTHERN AMERICA","NewWorld","Neotropics","New World",7.85015e+11,785015.2572,7870337.898,-44.4295885,-68.83039285,-6636937.546,-5084151.203,0,0,0,587.9982,484,-110,4658,0,4658,13,2961.45,2304,0,21192,21192,2302.94,2058.79,1571,0,13577,13577,1474.74,"mainland","mainland",NA,NA,"",53.1841,49,41.758,41,46.1474,35,-76.9153,-31,3022.73,85.9703,-2745.33,9.77065,14.1452,3.11641,4.36667,9.13874,6.25225846,5.34486866,0.69541398,1,23.3995,51,0.390173722,1,52,23,9.12987,25,3252160,52,0.036613566,0.018765691,97.9792902766935,83.2635015008096,364.492545570783,5024.19020744385,218.442321329944,-8.15146625339954,226.593787580673,85.198709564098,110.123009856999,166.790464632077,28.6804639120009,293.117790642163,41.5024350566904,13.4112725974277,32.1467893892013,117.472430688981,43.306289736195,54.1165592449723,101.068860574741,37.1676565727831,18.5818445568481,19.4325121217529,902.544948363524,53.4012343065045,26.1102556824477,42.1896104075794,71.6781121345375,49.8153344200314,47.3445138628728,29.5049527918201,246.439974708132,41.9352490511933,8.91858417343641,14.6691858443659,122.649408029675,27.5947192055219,32.2611417703597,121.824597202108,2770.33961011141,2789.5399530061,2762.68279978118,2753.60884175106,2790.2349858714,2801.08909175047,2777.9158803786,3246.82962878567,4287.95568277325,3718.40987855098,3271.82994483563,3707.30642564671,4517.56608760593,3791.64960803303
"AGW",5,"Argentina Northwest","Southern South America","SOUTHERN AMERICA","NewWorld","Neotropics","New World",8.733e+11,873300.0155,5570632.941,-29.14959235,-66.36119562,-6398651.514,-3538812.276,0,2,1,1515.6372,773,55,6740,55,6685,13,5819.31,4785,0,32085,32085,5355.22,3659.31,3076,0,20423,20423,2672.11,"mainland","mainland",NA,NA,"",37.5802,37,32.771,33,10.0673,18,-39.2032,-40,1865.95,154.599,-1470.77,-8.34294,21.0607,6.71707,0.772909,17.799,6.508364997,3.746433854,0.539565858,1,9.14875,45,1.302188824,1,46,2,11.9134,2,3998620,44,0.126219623,0.027687532,137.529445611664,98.6205665137056,414.277333095664,4757.09258702191,247.741384657907,8.79904808554484,238.942336589967,181.27364353938,89.0284290223524,197.091220803483,65.8008813969256,468.736760873545,93.3751674728749,6.05580375857897,81.80358674803,261.107006397763,19.7164339870265,248.484990323789,31.592195207923,76.0561103622561,14.0862486422312,58.7546445610837,824.089776517142,72.0433314908033,76.7070954919064,21.9644370003045,100.883116450008,63.2696513392937,78.1287789508933,73.0932906132247,307.308587103923,61.2360625570679,4.99047865854242,23.2453290209164,171.633288574401,15.9047734705226,178.331297980238,47.8283799060183,2836.79087664243,2873.37185651489,2812.86303670458,2830.97918031973,2865.15909965898,2868.50361296527,2847.94461046765,4857.19169163431,4633.73064544003,5338.4354910741,4395.63921166689,4842.17684793377,3372.89787534029,4573.34529384823
"ALA",6,"Alabama","Southeastern U.S.A.","NORTHERN AMERICA","NewWorld","Nearctic","New World",1.34425e+11,134424.8059,1818389.1,32.79389912,-86.82906784,-8377890.491,3961523.217,0,2,1,144.9555,126,-1,689,0,689,7,15435.5,15491,0,35929,35929,4054.08,6658.74,6438,794,20084,19290,1910.2,"mainland","mainland",NA,NA,"",177.8239,179,91.7179,88,-183.2459,-190,-312.6672,-352,3170.97,190.623,-1725.27,-20.9335,30.41,6.43083,2.9324,23.9678,35.4825428,35.22953033,1.535174624,1,19.1693,62,0.266826123,1,63,19,5.11487,19,4902270,39,0.462899074,0.042118429,175.382904436145,86.9296980565911,313.0023605357,6892.91639525521,306.668968109969,28.5942846506766,278.074683439861,137.178169192543,192.671360943651,264.308412442375,77.5982357368848,1416.78457064366,160.819318352542,72.705905393514,20.2364168194235,455.636892880905,246.241565256584,339.870361427682,402.514948597429,12.3024215405496,4.612446848289,16.778257169211,436.102148143898,5.73494450084428,16.7521651345919,14.5508435942114,55.9193371550178,13.1738964161038,6.47571005636509,17.7435658440997,109.862285886033,13.7533811839709,7.73927004581216,2.17207843567483,36.4803850647604,22.9185330326322,57.6470267982692,36.6022271771127,2816.36919783686,2868.44477885792,2787.11881156248,2816.01073520891,2837.55496362583,2805.32913259941,2821.8046032819,14602.5526298848,16570.8351037576,16043.1602073006,18781.1585012554,17232.9815553982,13775.4577351445,16167.6909554568
"ALB",7,"Albania","Southeastern Europe","EUROPE","OWWest","Palearctic","Old World",28676009671,28676.00967,942121.8248,41.1425475,20.06836716,1936417.329,4817244.799,0,0,0,697.976,638,-94,2462,0,2462,12,9879.96,9939,0,28913,28913,2721.52,6042.35,6039,588,17589,17001,1183.63,"mainland","mainland",NA,NA,"",36.4088,35,34.5529,34,60.0294,47,-170.8144,-185,2615.92,165.696,-1473.33,-51.5915,25.3367,12.0633,3.887,23.308,1.425384303,0.867969573,0.027501457,1,24.6697,64,0.17669773,2,66,26,4.35908,26,338074,26,0.104439279,0.08362611,120.120593691712,81.6711687905115,292.242033053957,6787.87429092869,270.676230264108,-8.06033796218407,278.736568166789,56.057981839556,211.855399433526,217.318495484075,31.8095227322516,1188.36220810634,172.506521689988,33.8506905983679,43.1618107425495,494.550466803807,115.59800619391,123.491059520311,416.299884711893,34.8372947674616,8.24868322741683,15.1753852784481,266.585475051706,32.582787915758,38.2657350602371,15.7676262017516,41.0653146040145,33.5520412581186,34.7679802193358,36.1383341541091,328.013513176999,52.0031175909432,13.5275669554863,9.71923623264243,154.634801380889,42.9176979860213,47.7716998873373,123.980806593178,2793.95373882417,2830.29246816581,2785.07105120563,2744.51763298113,2804.55107017068,2790.08012733677,2791.4110147807,10274.4637857852,12492.740675517,14422.8052469972,9625.67642012102,11714.4276618803,13701.7231102682,12038.6394834282
"ALD",8,"Aldabra","Western Indian Ocean","AFRICA","OWWest","Afrotropics","Old World",183171455.8,183.1714558,124514.471,-9.412816312,46.3834956,4475370.742,-1195568.578,1,0,0,4.6369,5,-1,11,0,11,1,3098.98,0,0,30419,30419,7229.37,9950.77,9742,2088,19107,17019,4181.42,"atoll","atoll",563654.1715,563.6541715,"MOZ",15.9554,16,20.1128,20,-421.4013,-420,-162.2256,-161,3381.51,292.637,-2304.54,-32.4931,0,0,0,0,8.571428299,8.571428299,0.933053197,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265.655268478394,8.84634006023407,202.880854606628,1229.04918518066,285.897175598144,242.293413352966,43.6037621498108,275.82095451355,256.369164657593,278.807263565064,246.37190322876,1072.4125,190.4875,11.425,72.5600650787353,554.2625,37.925,476.8875,93.6875,0.184261134114201,0.019939928819912,0.406845616774225,4.36728696461518,0.161523885903607,0.203181662212281,0.119183017230334,0.198349358362591,0.175361409526779,0.177388700521978,0.20286525495169,15.6354515045137,3.77489652176056,0.685109480302236,0.519972752436703,7.32076456048137,1.37636296085008,7.82143489073456,4.48774372597188,2967.40654205608,2970.32242990654,2959.32710280374,2946.78504672897,2961.7476635514,2954.7523364486,2960.05685358255,13438.738317757,10497.1028037383,15643.738317757,9321.58878504673,13664.6261682243,12120.9345794393,12447.7881619938
"ALG",9,"Algeria","Northern Africa","AFRICA","OWWest","Palearctic","Old World",2.3175e+12,2317502.041,7259494.464,28.16335741,2.632365947,254472.4283,3425082.508,0,1,1,557.7386,479,-48,2700,0,2700,14,427.782,0,0,35877,35877,1695.16,2043.96,1401,0,21933,21933,2160.67,"mainland","mainland",NA,NA,"",6.463,6,25.0432,25,-8.7952,7,-83.8794,-41,271.632,279.137,-191.624,-49.626,36.4053,14.116,1.36581,25.416,4.37684302,4.182107449,0.545847873,1,22.1329,30,0.137784927,17,47,22,3.04958,20,190586,15,0.000945441,0.000465419,234.57630763545,125.720182242369,352.085025535922,7801.92138093907,414.364303239151,56.6963326699033,357.667970588544,200.936768749042,294.307553634354,338.478091034938,123.798765470047,79.6054058519758,13.1114093003604,0.872582804978918,76.6202105755444,35.4619817380678,4.24827426269717,6.85148202153012,26.0899442280214,34.9279606578075,13.9969948895029,35.9393237393485,816.645079990218,38.5742190049161,23.3985376535453,29.0521103428785,81.7867032967481,73.9030383201415,34.335360398022,30.3695051869594,129.155322449835,18.4771435843574,2.02920707608849,27.5840796822899,52.9771875433233,8.87418347327765,10.8855126204841,47.0606758359846,2890.54643451766,2915.21797990423,2889.79841324514,2853.29419006257,2899.31285832165,2884.64127032759,2888.80185772981,798.205047393511,830.042714818982,1163.45083892841,421.346939757892,590.777095515904,1131.12204703281,822.490780574585
"ALT",10,"Altay","Siberia","ASIA-TEMPERATE","OWEast","Palearctic","Old World",2.63329e+11,263328.6818,3490366.981,51.96816075,84.13072824,8121286.906,5769447.104,0,0,0,764.2426,288,78,4191,78,4113,17,5903.45,6155,0,12166,12166,2163.72,3284.5,3406,42,6800,6758,1005.9,"mainland","mainland",NA,NA,"",56.304,58,65.1738,66,153.5626,164,176.4644,189,2432.07,40.4678,-1988.1,-34.9959,19.8676,-10.7009,2.37381,6.57424,11.54625326,10.41370678,0.82803304,1,15.9943,61,0.340290604,1,62,15,5.44271,15,6041570,48,0.257086464,0.020460362,9.24287494754498,95.1216475335188,219.61800850764,11994.0628644725,224.777513783461,-209.965325691305,434.742839477981,163.209032994905,-118.079749738365,166.150314497743,-156.777496896633,462.716466807522,71.4204642592174,16.115193864714,49.4261125140581,202.130253862779,49.3775785458534,200.543671978323,62.0747435566595,31.8042884574466,5.02361916784428,19.7391729887436,969.500368649979,41.264603428858,27.5031713539057,20.4099094124447,43.8141501719893,33.5385897153029,41.1245779262606,24.6584412679516,171.001598081332,22.9370970329701,7.56832021853065,18.4847727462776,69.1357165262697,22.9251785786923,67.3384149066819,28.7469244773871,2682.12685074675,2680.85375673365,2637.05378253927,2652.51258225541,2683.55515144673,2646.25211081901,2663.7257057568,4825.77479355505,3673.02589029386,6436.81155446598,5088.99632269927,4697.12410486758,6275.81700993516,5166.25827930282
