"","Genus_Species_Accepted_LCVP","Fruit_width_mm_combi"
"1","Abrahamia_buxifolia",12.99999999
"2","Abrahamia_deflexa",12.5
"3","Abrahamia_ditimena",15.2
"4","Abrahamia_grandidieri",14.20000001
"5","Abrahamia_humbertii",11
"6","Abrahamia_ibityensis",19
"7","Abrahamia_latifolia",17.70000001
"8","Abrahamia_lecomtei",18
"9","Abrahamia_louvelii",12.5
"10","Abrahamia_oblongifolia",14.6
"11","Abrahamia_pauciflora",19.90000001
"12","Abrahamia_sericea",15.5
"13","Abrahamia_thouvenotii",13.37
"14","Abrahamia_viguieri",10
"15","Abuta_selloana",16.6
"16","Acacia_aulacocarpa",NA
"17","Acacia_auriculiformis",15
"18","Acacia_crassicarpa",NA
"19","Acacia_flavescens",NA
"20","Acacia_holosericea",NA
"21","Acacia_leptocarpa",NA
"22","Acacia_melanoxylon",NA
"23","Acacia_spirorbis",NA
"24","Acalypha_repanda",2.5
"25","Aceratium_megalospermum",14.2
"26","Achatocarpus_nigricans",7.8
"27","Acokanthera_rotundata",20
"28","Acronychia_pedunculata",5.9
"29","Acronychia_vestita",21.5
"30","Actaea_rubra",9.1
"31","Actaea_spicata",9.8
"32","Adansonia_digitata",115
"33","Adansonia_grandidieri",80.00000003
"34","Adansonia_madagascariensis",70
"35","Adansonia_perrieri",150
"36","Adansonia_suarezensis",110
"37","Adansonia_za",110
"38","Adenanthera_pavonina",NA
"39","Adenia_acuta",20.00000001
"40","Adenia_cladosepala",30.00000001
"41","Adenia_densiflora",45.00000001
"42","Adenia_elegans",20.00000001
"43","Adenia_epigea",30.00000001
"44","Adenia_fasciculata",26
"45","Adenia_firingalavensis",45.00000001
"46","Adenia_heterophylla",NA
"47","Adenia_isaloensis",22.5
"48","Adenia_mcdadiana",30.00000001
"49","Adenia_metamorpha",20.00000001
"50","Adenia_olaboensis",20.00000001
"51","Adenia_peltata",49.99999998
"52","Adenia_perrieri",40
"53","Adenia_pyromorpha",25
"54","Adenia_refracta",20.00000001
"55","Adenia_sphaerocarpa",40
"56","Adenia_subsessilifolia",20.00000001
"57","Aegiphila_integrifolia",8
"58","Afraegle_paniculata",80
"59","Afrocanthium_lactescens",12
"60","Afrocanthium_mundianum",11
"61","Afrocanthium_ngonii",9
"62","Afrocanthium_pseudorandii",9
"63","Agelaea_pentagyna",NA
"64","Agelanthus_subulatus",5
"65","Aglaia_argentea",30
"66","Aglaia_brownii",15
"67","Aglaia_elaeagnoidea",15
"68","Aglaia_eximia",22
"69","Aglaia_flavida",55
"70","Aglaia_heterotricha",10
"71","Aglaia_lawii",19.35
"72","Aglaia_macrocarpa",55
"73","Aglaia_rubiginosa",45.5
"74","Aglaia_spectabilis",53.23
"75","Aglaia_subcuprea",11
"76","Aglaia_tomentosa",17
"77","Agonandra_brasiliensis",24.2
"78","Agrimonia_eupatoria",4.05
"79","Aidia_cochinchinensis",7.3
"80","Aidia_densiflora",7.68
"81","Aidia_racemosa",5.5
"82","Aiouea_glaziovii",8
"83","Aiouea_montana",13
"84","Aiouea_neurophylla",13
"85","Aiouea_saligna",10
"86","Aistopetalum_viticoides",20
"87","Ajuga_decaryana",1.400000001
"88","Ajuga_flaccida",1.2
"89","Ajuga_oocephala",1.5
"90","Ajuga_robusta",1.5
"91","Alangium_chinense",8.4
"92","Alangium_grisolleoides",10.42
"93","Alangium_kurzii",9.6
"94","Alangium_salviifolium",16
"95","Albizia_chinensis",NA
"96","Albizia_lebbeck",NA
"97","Albizia_procera",NA
"98","Albizia_retusa",NA
"99","Alchornea_glandulosa",6.73333333333333
"100","Alchornea_latifolia",10
"101","Alchornea_sidifolia",5
"102","Alchornea_triplinervia",7.56666666666667
"103","Aldina_insignis",50
"104","Alectryon_connatus",8
"105","Alectryon_repandodentatus",7
"106","Alectryon_reticulatus",7.5
"107","Aleurites_moluccanus",55
"108","Aleurites_rockinghamensis",50
"109","Alibertia_curviflora",75
"110","Allanblackia_floribunda",100
"111","Alliaria_petiolata",NA
"112","Allophylus_abyssinicus",7
"113","Allophylus_boinensis",6.500000001
"114","Allophylus_bojerianus",4
"115","Allophylus_chaunostachys",6.5
"116","Allophylus_cobbe",8.9
"117","Allophylus_decaryi",4.500000001
"118","Allophylus_edulis",7.73666666666667
"119","Allophylus_macrocarpus",7.500000003
"120","Allophylus_nigrescens",4.999999998
"121","Allophylus_salignus",5.999999999
"122","Allophylus_serratus",9.1
"123","Allophylus_trichodesmus",5.499999999
"124","Aloe_antsingyensis",NA
"125","Aloe_ivakoanyensis",18.5
"126","Alphitonia_whitei",10
"127","Alphitonia_zizyphoides",5
"128","Alphonsea_cylindrica",28.3
"129","Alphonsea_elliptica",38.00000003
"130","Alphonsea_kinabaluensis",19
"131","Alpinia_oxymitra",15.7
"132","Alyxia_acuminata",20
"133","Alyxia_angustifolia",NA
"134","Alyxia_angustissima",NA
"135","Alyxia_arfakensis",NA
"136","Alyxia_bracteolosa",12.5
"137","Alyxia_cacuminum",7.7
"138","Alyxia_celebica",12.5
"139","Alyxia_composita",9.4
"140","Alyxia_concatenata",6.8
"141","Alyxia_defoliata",8
"142","Alyxia_floribunda",6
"143","Alyxia_ganophylla",NA
"144","Alyxia_globosa",7
"145","Alyxia_graciliflora",8.2
"146","Alyxia_halmaheirae",10
"147","Alyxia_kabaenae",16
"148","Alyxia_kwalotabaa",NA
"149","Alyxia_lamii",14.8
"150","Alyxia_laurina",8
"151","Alyxia_linearis",NA
"152","Alyxia_luzoniensis",9.6
"153","Alyxia_manusiana",6.2
"154","Alyxia_markgrafii",NA
"155","Alyxia_monticola",16
"156","Alyxia_muguma",NA
"157","Alyxia_mujongensis",6.5
"158","Alyxia_multistriata",12.7
"159","Alyxia_oleifolia",15.7
"160","Alyxia_palawanensis",7.8
"161","Alyxia_papuana",7.5
"162","Alyxia_parvifolia",7.7
"163","Alyxia_pilosa",14
"164","Alyxia_pugio",7.9
"165","Alyxia_pullei",8
"166","Alyxia_punctata",11.2
"167","Alyxia_purpureoclada",11.5
"168","Alyxia_reinwardtii",NA
"169","Alyxia_ridleyana",13
"170","Alyxia_rostrata",6.5
"171","Alyxia_royeniana",NA
"172","Alyxia_ruscifolia",NA
"173","Alyxia_scabrida",29.5
"174","Alyxia_sleumeri",8.6
"175","Alyxia_sogerensis",9.2
"176","Alyxia_spicata",NA
"177","Alyxia_stellata",7
"178","Alyxia_sulana",15
"179","Alyxia_tetraquetra",13.5
"180","Alyxia_vera",8.2
"181","Amaioua_guianensis",10.675
"182","Amaioua_intermedia",14.62
"183","Ambavia_capuronii",34.99999998
"184","Ambelania_acida",51
"185","Amblygonocarpus_andongensis",31.25
"186","Amelanchier_alnifolia",9.2
"187","Amelanchier_ovalis",7.15
"188","Amorphophallus_ankarana",8.900000002
"189","Amorphophallus_antsingyensis",8.379999996
"190","Amorphophallus_hildebrandtii",10
"191","Amorphophallus_taurostigma",7.1
"192","Amorphospermum_antilogum",46.5
"193","Ampelocissus_elephantina",8.700000003
"194","Ampelosicyos_humblotii",89.99999997
"195","Amylotheca_dictyophleba",8.7
"196","Anacardium_giganteum",42.5
"197","Anacardium_occidentale",40
"198","Anacolosa_casearioides",20.12
"199","Anacolosa_lutea",13
"200","Anakasia_simplicifolia",15
"201","Anamirta_cocculus",12.155
"202","Ananas_comosus",NA
"203","Anaxagorea_javanica",34.99999997
"204","Anaxagorea_luzonensis",5.999999995
"205","Anaxagorea_phaeocarpa",20.00000002
"206","Andira_anthelmia",36.25
"207","Andira_coriacea",70
"208","Andira_cujabensis",31.2
"209","Andira_fraxinifolia",30.44
"210","Andira_humilis",NA
"211","Andira_inermis",28.4333333333333
"212","Andira_legalis",40
"213","Angylocalyx_pynaertii",30
"214","Aniba_intermedia",15
"215","Anisocycla_grandidieri",15.8
"216","Anisocycla_linearis",NA
"217","Anisophyllea_fallax",22.57
"218","Anisophyllea_madagascarensis",21.99999999
"219","Anisophyllea_masoalensis",12.99999999
"220","Anisophyllea_schatzii",16
"221","Annickia_chlorantha",7
"222","Annickia_pilosa",12
"223","Annona_amazonica",55
"224","Annona_cacans",113.75
"225","Annona_cherimola",NA
"226","Annona_coriacea",106.666666666667
"227","Annona_cornifolia",38
"228","Annona_crassiflora",150
"229","Annona_deceptrix",15
"230","Annona_densicoma",55
"231","Annona_dioica",75.085
"232","Annona_dolabripetala",35
"233","Annona_edulis",33.00000001
"234","Annona_emarginata",25
"235","Annona_exsucca",15
"236","Annona_glabra",62.4749999975
"237","Annona_herzogii",24.00000002
"238","Annona_leptopetala",10
