Column1;x;PalmSubfamily;accGenus;PalmTribe;;;;;;;;;;SpecName;PalmSubfamily;accGenus;PalmTribe
1;Sabal_mauritiiformis;Coryphoideae;Sabal;Sabaleae;;;;;;;;;;Acanthophoenix_crinita;Arecoideae;Acanthophoenix;Areceae
2;Sabal_pumos;Coryphoideae;Sabal;Sabaleae;;;;;;;;;;Acanthophoenix_rousselii;Arecoideae;Acanthophoenix;Areceae
3;Sabal_domingensis;Coryphoideae;Sabal;Sabaleae;;;;;;;;;;Acanthophoenix_rubra;Arecoideae;Acanthophoenix;Areceae
4;Sabal_minor;Coryphoideae;Sabal;Sabaleae;;;;;;;;;;Acoelorrhaphe_wrightii;Coryphoideae;Acoelorrhaphe;Trachycarpeae
5;Sabal_palmetto;Coryphoideae;Sabal;Sabaleae;;;;;;;;;;Acrocomia_aculeata;Arecoideae;Acrocomia;Cocoseae
6;Sabal_etonia;Coryphoideae;Sabal;Sabaleae;;;;;;;;;;Acrocomia_crispa;Arecoideae;Acrocomia;Cocoseae
7;Sabal_gretherae;Coryphoideae;Sabal;Sabaleae;;;;;;;;;;Acrocomia_emensis;Arecoideae;Acrocomia;Cocoseae
8;Sabal_maritima;Coryphoideae;Sabal;Sabaleae;;;;;;;;;;Acrocomia_glaucescens;Arecoideae;Acrocomia;Cocoseae
9;Sabal_causiarum;Coryphoideae;Sabal;Sabaleae;;;;;;;;;;Acrocomia_hassleri;Arecoideae;Acrocomia;Cocoseae
10;Sabal_mexicana;Coryphoideae;Sabal;Sabaleae;;;;;;;;;;Acrocomia_intumescens;Arecoideae;Acrocomia;Cocoseae
11;Sabal_rosei;Coryphoideae;Sabal;Sabaleae;;;;;;;;;;Acrocomia_media;Arecoideae;Acrocomia;Cocoseae
12;Sabal_bermudana;Coryphoideae;Sabal;Sabaleae;;;;;;;;;;Acrocomia_totai;Arecoideae;Acrocomia;Cocoseae
13;Sabal_uresana;Coryphoideae;Sabal;Sabaleae;;;;;;;;;;Actinokentia_divaricata;Arecoideae;Actinokentia;Areceae
14;Sabal_yapa;Coryphoideae;Sabal;Sabaleae;;;;;;;;;;Actinokentia_huerlimannii;Arecoideae;Actinokentia;Areceae
15;Chamaerops_humilis;Coryphoideae;Chamaerops;Trachycarpeae;;;;;;;;;;Actinorhytis_calapparia;Arecoideae;Actinorhytis;Areceae
16;Rhapidophyllum_hystrix;Coryphoideae;Rhapidophyllum;Trachycarpeae;;;;;;;;;;Adonidia_maturbongsii;Arecoideae;Adonidia;Areceae
17;Trachycarpus_martianus;Coryphoideae;Trachycarpus;Trachycarpeae;;;;;;;;;;Adonidia_merrillii;Arecoideae;Adonidia;Areceae
18;Trachycarpus_princeps;Coryphoideae;Trachycarpus;Trachycarpeae;;;;;;;;;;Aiphanes_acanthophylla;Arecoideae;Aiphanes;Cocoseae
19;Trachycarpus_oreophilus;Coryphoideae;Trachycarpus;Trachycarpeae;;;;;;;;;;Aiphanes_acaulis;Arecoideae;Aiphanes;Cocoseae
20;Trachycarpus_takil;Coryphoideae;Trachycarpus;Trachycarpeae;;;;;;;;;;Aiphanes_bicornis;Arecoideae;Aiphanes;Cocoseae
21;Trachycarpus_fortunei;Coryphoideae;Trachycarpus;Trachycarpeae;;;;;;;;;;Aiphanes_buenaventurae;Arecoideae;Aiphanes;Cocoseae
22;Trachycarpus_nanus;Coryphoideae;Trachycarpus;Trachycarpeae;;;;;;;;;;Aiphanes_chiribogensis;Arecoideae;Aiphanes;Cocoseae
23;Trachycarpus_geminisectus;Coryphoideae;Trachycarpus;Trachycarpeae;;;;;;;;;;Aiphanes_deltoidea;Arecoideae;Aiphanes;Cocoseae
24;Trachycarpus_latisectus;Coryphoideae;Trachycarpus;Trachycarpeae;;;;;;;;;;Aiphanes_duquei;Arecoideae;Aiphanes;Cocoseae
25;Maxburretia_furtadoana;Coryphoideae;Maxburretia;Trachycarpeae;;;;;;;;;;Aiphanes_eggersii;Arecoideae;Aiphanes;Cocoseae
26;Maxburretia_gracilis;Coryphoideae;Maxburretia;Trachycarpeae;;;;;;;;;;Aiphanes_erinacea;Arecoideae;Aiphanes;Cocoseae
27;Guihaia_grossifibrosa;Coryphoideae;Guihaia;Trachycarpeae;;;;;;;;;;Aiphanes_gelatinosa;Arecoideae;Aiphanes;Cocoseae
