Order,Family,Binomial.1.2,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.Source,famPropFrug,famPropOblgFrug,orderPropFrug,orderPropOblgFrug,Liberal,Default,Conservative,Reason
AFROSORICIDA,TENRECIDAE,Microgale_macpheei,0,1,99,Imputed 000 Species,PHYLACINE 1.2,0,0,0,0,N,N,N,
AFROSORICIDA,TENRECIDAE,Plesiorycteropus_madagascariensis,5,22,73,Imputed 000 Species,PHYLACINE 1.2,0,0,0,0,N,N,N,
CARNIVORA,CANIDAE,Canis_dirus,0,100,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0.417,0.333,0.373,0.269,N,N,N,Few extant members of the family are significant frugivores
CARNIVORA,CANIDAE,Cynotherium_sardous,2,97,1,Imputed 000 Species,PHYLACINE 1.2,0.417,0.333,0.373,0.269,N,N,N,Few extant members of the family are significant frugivores
CARNIVORA,CANIDAE,Protocyon_troglodytes,0,100,0,Estimated Isotopes Species,"Prevosti, F. J., et al. 2013. First taxon date and stable isotopes (Delta 13C, Delta 15N) for the large hypercarnivorous South American canid Protocyon troglodytes (Canidae, Carnivora). Quaternary Interational 305:67-73.",0.417,0.333,0.373,0.269,N,N,N,Few extant members of the family are significant frugivores
CARNIVORA,CANIDAE,Theriodictis_tarijensis,9,83,8,Imputed 000 Species,PHYLACINE 1.2,0.417,0.333,0.373,0.269,N,N,N,Few extant members of the family are significant frugivores
CARNIVORA,FELIDAE,Homotherium_latidens,0,100,0,Estimated Craniodental Species,"Wroe, S., et al. 2008. How to build a mammalian super-predator. Zoology 111:196-203.",0.028,0,0.373,0.269,N,N,N,
CARNIVORA,FELIDAE,Homotherium_serum,0,100,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0.028,0,0.373,0.269,N,N,N,
CARNIVORA,FELIDAE,Leopardus_amnicola,0,100,0,Estimated Expert Species,"Smith, F. A., et al. 2016. Unraveling the consequences of the terminal Pleistocene megafauna extinction on mammal community assembly. Ecography 39:223-239.",0.028,0,0.373,0.269,N,N,N,
CARNIVORA,FELIDAE,Miracinonyx_trumani,0,100,0,Reported 000 Species,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",0.028,0,0.373,0.269,N,N,N,
