"LEVEL_3_CO","ID","LEVEL_NAME","REGION_NAM","CONTINENT","id","SpecName","falsePos"
"CHC",57,"China South-Central","China","ASIA-TEMPERATE","56","Ailurus_fulgens","No"
"CHT",64,"Tibet","China","ASIA-TEMPERATE","63","Ailurus_fulgens","No"
"NEP",221,"Nepal","Indian Subcontinent","ASIA-TROPICAL","221","Ailurus_fulgens","No"
"WHM",354,"West Himalaya","Indian Subcontinent","ASIA-TROPICAL","354","Ailurus_fulgens","No"
"EHM",99,"East Himalaya","Indian Subcontinent","ASIA-TROPICAL","99","Ailurus_fulgens","No"
"MYA",212,"Myanmar","Indo-China","ASIA-TROPICAL","212","Ailurus_fulgens","No"
"IND",136,"India","Indian Subcontinent","ASIA-TROPICAL","136","Ailurus_fulgens","No"
"ASS",22,"Assam","Indian Subcontinent","ASIA-TROPICAL","21","Ailurus_fulgens","No"
"CLM",68,"Colombia","Western South America","SOUTHERN AMERICA","67","Aotus_jorgehernandezi","No"
"COS",78,"Costa Rica","Central America","SOUTHERN AMERICA","78","Aotus_zonalis","No"
"PAN",256,"Panama","Central America","SOUTHERN AMERICA","256","Aotus_zonalis","No"
"CLM",68,"Colombia","Western South America","SOUTHERN AMERICA","67","Aotus_zonalis","No"
"CLM",68,"Colombia","Western South America","SOUTHERN AMERICA","67","Ateles_hybridus","No"
"VEN",343,"Venezuela","Northern South America","SOUTHERN AMERICA","343","Ateles_hybridus","No"
"BZL",47,"Brazil Southeast","Brazil","SOUTHERN AMERICA","46","Brachyteles_hypoxanthus","No"
"BZE",46,"Brazil Northeast","Brazil","SOUTHERN AMERICA","45","Brachyteles_hypoxanthus","No"
"IND",136,"India","Indian Subcontinent","ASIA-TROPICAL","136","Boselaphus_tragocamelus","No"
"PAK",254,"Pakistan","Indian Subcontinent","ASIA-TROPICAL","254","Boselaphus_tragocamelus","No"
"WHM",354,"West Himalaya","Indian Subcontinent","ASIA-TROPICAL","354","Boselaphus_tragocamelus","No"
"CHT",64,"Tibet","China","ASIA-TEMPERATE","63","Boselaphus_tragocamelus","No"
"NEP",221,"Nepal","Indian Subcontinent","ASIA-TROPICAL","221","Boselaphus_tragocamelus","No"
"ASS",22,"Assam","Indian Subcontinent","ASIA-TROPICAL","21","Bubalus_arnee","No"
"EHM",99,"East Himalaya","Indian Subcontinent","ASIA-TROPICAL","99","Bubalus_arnee","No"
"CHT",64,"Tibet","China","ASIA-TEMPERATE","63","Bubalus_arnee","No"
"MYA",212,"Myanmar","Indo-China","ASIA-TROPICAL","212","Bubalus_arnee","No"
"IND",136,"India","Indian Subcontinent","ASIA-TROPICAL","136","Bubalus_arnee","No"
"NEP",221,"Nepal","Indian Subcontinent","ASIA-TROPICAL","221","Bubalus_arnee","No"
"THA",322,"Thailand","Indo-China","ASIA-TROPICAL","322","Bubalus_arnee","No"
"CBD",54,"Cambodia","Indo-China","ASIA-TROPICAL","53","Bubalus_arnee","No"
"VIE",346,"Vietnam","Indo-China","ASIA-TROPICAL","346","Bubalus_arnee","No"
"SRL",302,"Sri Lanka","Indian Subcontinent","ASIA-TROPICAL","302","Bubalus_arnee","No"
"SUL",306,"Sulawesi","Malesia","ASIA-TROPICAL","306","Bubalus_depressicornis","No"
"TAI",314,"Taiwan","Eastern Asia","ASIA-TEMPERATE","314","Capricornis_swinhoei","No"
"ETH",103,"Ethiopia","Northeast Tropical Africa","AFRICA","103","Cephalophus_harveyi","No"
"SUD",305,"Sudan","Northeast Tropical Africa","AFRICA","305","Cephalophus_harveyi","No"
"KEN",153,"Kenya","East Tropical Africa","AFRICA","153","Cephalophus_harveyi","No"
"SOM",300,"Somalia","Northeast Tropical Africa","AFRICA","300","Cephalophus_harveyi","No"
"TAN",315,"Tanzania","East Tropical Africa","AFRICA","315","Cephalophus_harveyi","No"
"ZAM",367,"Zambia","South Tropical Africa","AFRICA","367","Cephalophus_harveyi","No"
"MLW",190,"Malawi","South Tropical Africa","AFRICA","190","Cephalophus_harveyi","No"
"MOZ",196,"Mozambique","South Tropical Africa","AFRICA","196","Cephalophus_harveyi","No"
"GUI",125,"Guinea","West Tropical Africa","AFRICA","125","Cephalophus_ogilbyi","No"
"SIE",295,"Sierra Leone","West Tropical Africa","AFRICA","295","Cephalophus_ogilbyi","No"
"LBR",167,"Liberia","West Tropical Africa","AFRICA","167","Cephalophus_ogilbyi","No"
"IVO",144,"Ivory Coast","West Tropical Africa","AFRICA","144","Cephalophus_ogilbyi","No"
"GHA",117,"Ghana","West Tropical Africa","AFRICA","117","Cephalophus_ogilbyi","No"
"NGA",226,"Nigeria","West Tropical Africa","AFRICA","226","Cephalophus_ogilbyi","No"
"CMN",70,"Cameroon","West-Central Tropical Africa","AFRICA","70","Cephalophus_ogilbyi","No"
"GGI",116,"Gulf of Guinea Is.","West-Central Tropical Africa","AFRICA","116","Cephalophus_ogilbyi","No"
"CON",75,"Congo","West-Central Tropical Africa","AFRICA","75","Cephalophus_ogilbyi","No"
"GAB",111,"Gabon","West-Central Tropical Africa","AFRICA","111","Cephalophus_ogilbyi","No"
"EQG",101,"Equatorial Guinea","West-Central Tropical Africa","AFRICA","101","Cephalophus_ogilbyi","No"
"GUI",125,"Guinea","West Tropical Africa","AFRICA","125","Cephalophus_zebra","No"
"SIE",295,"Sierra Leone","West Tropical Africa","AFRICA","295","Cephalophus_zebra","No"
"LBR",167,"Liberia","West Tropical Africa","AFRICA","167","Cephalophus_zebra","No"
"IVO",144,"Ivory Coast","West Tropical Africa","AFRICA","144","Cephalophus_zebra","No"
"PAL",255,"Palestine","Western Asia","ASIA-TEMPERATE","255","Oryx_leucoryx","No"
"SIN",296,"Sinai","Western Asia","ASIA-TEMPERATE","296","Oryx_leucoryx","No"
"SAU",284,"Saudi Arabia","Arabian Peninsula","ASIA-TEMPERATE","284","Oryx_leucoryx","No"
"GST",123,"Gulf States","Arabian Peninsula","ASIA-TEMPERATE","123","Oryx_leucoryx","No"
"OMA",251,"Oman","Arabian Peninsula","ASIA-TEMPERATE","251","Oryx_leucoryx","No"
"KEN",153,"Kenya","East Tropical Africa","AFRICA","153","Raphicerus_campestris","No"
"UGA",337,"Uganda","East Tropical Africa","AFRICA","337","Raphicerus_campestris","No"
"TAN",315,"Tanzania","East Tropical Africa","AFRICA","315","Raphicerus_campestris","No"
"MLW",190,"Malawi","South Tropical Africa","AFRICA","190","Raphicerus_campestris","No"
"ANG",14,"Angola","South Tropical Africa","AFRICA","13","Raphicerus_campestris","No"
"ZAM",367,"Zambia","South Tropical Africa","AFRICA","367","Raphicerus_campestris","No"
"NAM",213,"Namibia","Southern Africa","AFRICA","213","Raphicerus_campestris","No"
"CPV",81,"Caprivi Strip","Southern Africa","AFRICA","81","Raphicerus_campestris","No"
"ZIM",368,"Zimbabwe","South Tropical Africa","AFRICA","368","Raphicerus_campestris","No"
"BOT",39,"Botswana","Southern Africa","AFRICA","38","Raphicerus_campestris","No"
"MOZ",196,"Mozambique","South Tropical Africa","AFRICA","196","Raphicerus_campestris","No"
"TVL",335,"Northern Provinces","Southern Africa","AFRICA","335","Raphicerus_campestris","No"
"CPP",80,"Cape Provinces","Southern Africa","AFRICA","80","Raphicerus_campestris","No"
"SWZ",313,"Swaziland","Southern Africa","AFRICA","313","Raphicerus_campestris","No"
"NAT",214,"KwaZulu-Natal","Southern Africa","AFRICA","214","Raphicerus_campestris","No"
"GAM",113,"Gambia, The","West Tropical Africa","AFRICA","113","Tragelaphus_derbianus","No"
"SEN",291,"Senegal","West Tropical Africa","AFRICA","291","Tragelaphus_derbianus","No"
"MLI",189,"Mali","West Tropical Africa","AFRICA","189","Tragelaphus_derbianus","No"
