"LEVEL_3_CO","area","accRealm","sp_richness_palms","meanFL_palms","medianFL_palms","max95FL_palms","meanFL_palms_filled","medianFL_palms_filled","max95FL_palms_filled","log_meanFL_palms_BBMmean","log_medianFL_palms_BBMmean","log_max95FL_palms_BBMmean","log_meanFL_palms_BBM_MCC","log_medianFL_palms_BBM_MCC","log_max95FL_palms_BBM_MCC","sp_richness_angios","meanFW_angios","medianFW_angios","max95FW_angios","meanSL_angios","medianSL_angios","max95SL_angios","curr_meanBodySize","curr_medianBodySize","curr_max95BodySize","curr_sdBodySize","sp_richness_curr","sp_richness_curr_meso","sp_richness_curr_mega","presNat_meanBodySize","presNat_medianBodySize","presNat_max95BodySize","presNat_sdBodySize","sp_richness_PresNat","sp_richness_presNat_meso","sp_richness_presNat_mega","mean_perc_BSchange","median_perc_BSchange","max95_perc_BSchange","mean_abs_BSchange","median_abs_BSchange","max95_abs_BSchange","LEVEL_NAME","LAT","LONG","REALM_LONG","CONTINENT","X_COORD","Y_COORD","ISISLAND","PalmPresAbs","CH_Mean","CH_PercCover","bio1_mean","bio4_mean","bio15_mean","bio12_mean"
"AFG","Afghanistan","Asia",1,1.3,1.3,1.3,1.3,1.3,1.3,0.989762811544755,0.989762811544755,0.989762811544755,0.719301348963536,0.719301348963536,0.719301348963536,34,13.1090860216129,9.8,27.6586333718787,4.74392857142857,3.43,10.6589257301047,13616.1,1540.8,70925.5761937712,2.56399331626878,29,6,2,167431.061764706,1600.45,131200.886039033,3.23055580427938,34,10,6,91.87,3.73,45.94,153814.961764706,59.6499999999999,60275.3098452618,"Afghanistan",33.83890116,66.02652977,"Palearctic","ASIA-TEMPERATE",6366940.308,4067812.665,0,1,34.4254,0.001891635,130.769503402613,8722.83824338499,99.0789089251782,266.15542293836
"AGE","Argentina Northeast","Americas",10,2.06,2,3.31643080168844,2.06,2,3.31643080168844,0.955572911679085,0.952549315092326,1.05944508365192,2.29334940599781,2.16175696393064,3.32837457533386,186,17.7918999999657,9.5,55.8041923276821,8.80122047244095,7,21.3798608983266,7833.31355932203,187.5,24021.9531244847,2.70016944413426,59,7,2,431500.517307692,3521.9,2760957.63727251,4.14056406558313,104,50,42,98.18,94.68,99.13,423667.20374837,3334.4,2736935.68414803,"Argentina Northeast",-32.60227282,-61.25823213,"Neotropics","SOUTHERN AMERICA",-5905610.404,-3910806.241,0,1,9.04206,0.069740994,178.398582416149,4881.40373795638,43.7573662995304,928.862564805354
"AGE",NA,NA,10,2.06,2,3.31643080168844,2.06,2,3.31643080168844,0.955572911679085,0.952549315092326,1.05944508365192,2.29334940599781,2.16175696393064,3.32837457533386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGW","Argentina Northwest","Americas",3,1.61666666666667,1.05,2.70102161188883,1.61666666666667,1.05,2.70102161188883,0.940144816274848,0.931151554632179,1.03372125422918,1.69780925151432,1.93400081419899,2.34396188371596,72,16.9852525253636,7.9,49.5780213455588,7.34420454545455,6.25,19.341648821366,12198.0787234043,102,51211.0653459589,2.96067366972685,47,8,3,585600.556818182,4965,3584777.61644386,4.36443627795792,88,48,42,97.92,97.95,98.57,573402.478094778,4863,3533566.5510979,"Argentina Northwest",-29.14959235,-66.36119562,"Neotropics","SOUTHERN AMERICA",-6398651.514,-3538812.276,0,1,9.14875,0.126219623,137.529445611664,4757.09258702191,81.80358674803,468.736760873545
"ALA","Alabama","Americas",4,1.4875,1.55,2.04242106606891,1.4875,1.55,2.04242106606891,1.05453755380726,1.09675161384548,1.11461409214265,2.90829101027326,3.22461899601166,3.33596644699158,59,15.3621021089636,8,42.7693839893828,6.9755263168421,5.3,20.000000002,8651.66923076923,201.2,19483.0460285502,2.66060237439825,13,1,1,825564.3,3833.7,7457044.50523858,4.07361529541607,33,19,19,98.95,94.75,99.74,816912.630769231,3632.5,7437561.45921003,"Alabama",32.79389912,-86.82906784,"Nearctic","NORTHERN AMERICA",-8377890.491,3961523.217,0,1,19.1693,0.462899074,175.382904436145,6892.91639525521,20.2364168194235,1416.78457064366
"ALG","Algeria","Africa",1,1.3,1.3,1.3,1.3,1.3,1.3,0.91998750569645,0.91998750569645,0.91998750569645,3.45237514574331,3.45237514574331,3.45237514574331,90,15.0956798762651,7.9,34.5329263631273,7.631875,3.43,10.8438570140332,13541.9142857143,1025.5,56847.8217752682,2.69131706096289,14,5,1,742716.630434783,11272.6,4665216.23719185,3.82746863085779,23,15,10,98.18,90.9,98.78,729174.716149068,10247.1,4608368.41541658,"Algeria",28.16335741,2.632365947,"Palearctic","AFRICA",254472.4283,3425082.508,0,1,22.1329,0.000945441,234.57630763545,7801.92138093907,76.6202105755444,79.6054058519758
"AND","Andaman Is.","Asia",25,1.754,1.6,2.5,1.754,1.6,2.5,0.913140222349203,0.915800987345552,1.20206580880586,1.96031930261243,1.98461329191714,3.64470256107226,231,24.7374793649619,13,79.980245813066,12.844160839028,10,39.5365702414115,3090.35,401.55,10969.6724349857,1.67153716526587,8,1,0,3090.35,401.55,10969.6724349857,1.67153716526587,8,1,0,0,0,0,0,0,0,"Andaman Is.",12.27981668,92.78133014,"IndoMalay","ASIA-TROPICAL",8952075.257,1554429.397,1,1,17.4901,0.019305754,270.692228176251,631.848786816202,74.6535022761857,3005.15324753068
"AND",NA,NA,25,1.754,1.6,2.5,1.754,1.6,2.5,0.913140222349203,0.915800987345552,1.20206580880586,1.96031930261243,1.98461329191714,3.64470256107226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANG","Angola","Africa",13,4.96923076923077,5.25,8.06740317699427,4.96923076923077,5.25,8.06740317699427,0.914441263436714,0.968365051084608,1.09135565685989,1.32275781406448,1.4784885147357,3.35115019030702,258,33.5689917695761,17,119.490369879299,13.7211666667,10.75,35.5465122742766,62899.7233333333,215.25,77839.95628211,2.80431575033725,90,16,7,67995.9260416667,253.3,108593.853417217,3.04340580067973,96,23,13,7.49,15.02,28.32,5096.20270833333,38.05,30753.8971351068,"Angola",-12.33575541,17.57181621,"Afrotropics","AFRICA",1695227.757,-1554985.049,0,1,10.0415,0.123677447,214.410469671614,1616.00299408872,92.1032016935476,1060.72699420561
"ARI","Arizona","Americas",1,0.6,0.6,0.6,0.6,0.6,0.6,1.12605724230178,1.12605724230178,1.12605724230178,3.75605001205218,3.75605001205218,3.75605001205218,35,9.1856770834375,9.15,15.2113173856704,3.785625,3.16,8.27663065829788,3646.06666666667,122,7057.52453050087,2.10944163281679,42,2,1,507616.542857143,299.2,4334572.23566823,4.01803370382418,70,28,24,99.28,59.22,99.84,503970.476190476,177.2,4327514.71113773,"Arizona",34.29669616,-111.6575963,"Nearctic","NORTHERN AMERICA",-10773225.91,4120112.905,0,1,22.1819,0.053014379,166.968310212055,7953.86192975913,51.722329144614,300.954416462731
