"","area","meanFW_angios","medianFW_angios","max95FW_angios","X","LAT","LONG","accAfrica","max95FL_palms","curr_max95BodySize","mean_abs_BSchange","presNat_max95BodySize","mean_perc_BSchange","MAT","TempSeas","AnnualPrec","PrecSeas","CH_Mean","CH_PercCover","accRealm","log_max95FL_palms_BBM_MCC","log_max95FL_palms_BBMmean","LEVEL_3_CO","sqrt_change"
"1","Argentina Northeast",1.6852,0.927,5.14502879710547,1,-32.60227282,-61.25823213,0,3.31643080168844,24021.9531244847,423.66720374837,2760957.63727251,98.18,178.398582416149,4881.40373795638,43.7573662995304,928.862564805354,9.04206,0.069740994,"Americas",1.4189,1.0593,"AGE",20.5831776883058
"2","Alabama",1.5118,0.8,4.27693839996475,2,32.79389912,-86.82906784,0,2.04242106606891,19483.0460285502,816.912630769231,7457044.50523858,98.95,175.382904436145,6892.91639525521,20.2364168194235,1416.78457064366,19.1693,0.462899074,"Americas",1.25165,1.11435,"ALA",28.5816834838193
"3","Andaman Is.",2.41588571428571,1.3,7.86986034614774,3,12.27981668,92.78133014,0,2.5,10969.6724349857,0,10969.6724349857,0,270.692228176251,631.848786816202,74.6535022761857,3005.15324753068,17.4901,0.019305754,"Asia",1.2664,1.202,"AND",0
"4","Angola",2.87111934156379,1.65,8.4680654721282,4,-12.33575541,17.57181621,1,8.06740317699427,77839.95628211,5.09620270833333,108593.853417217,7.49,214.410469671614,1616.00299408872,92.1032016935476,1060.72699420561,10.0415,0.123677447,"Africa",1.2782,1.0912,"ANG",2.25747706706698
"5","Assam",1.99445283018868,1.1,5.59579235178758,5,25.48271994,92.85194347,0,6.04642388094687,95829.4756953663,106.605053410553,1565105.95897347,56.4,227.327178352141,3857.8038177803,84.6117826804942,2675.3077190511,28.9115,0.479153934,"Asia",1.2732,1.18975,"ASS",10.3249723200865
"6","Bahamas",2.7947358490566,1.5,8.46445590381283,6,24.1666829,-76.5004385,0,1.33930078910471,540.314592648854,0,540.314592648854,0,256.61868810152,2127.44721158205,53.5567493768215,1065.47525652682,16.0766,0.224166324,"Americas",1.4723,1.11335,"BAH",0
"7","Bangladesh",2.17820819112628,1.18,5.94911256157926,7,23.8330072,90.27092576,0,5.34805187862534,94277.4796746688,80.3683487684729,1458534.30649873,47.08,253.650111228762,3727.88564478602,91.0644844270871,2407.00770735857,20.1772,0.116903381,"Asia",1.2798,1.1874,"BAN",8.96483958409033
"8","Benin",3.73307975460123,2.25,11.5,8,9.647649967,2.343262705,1,12.9747724684509,70741.1103144473,11.3232187337662,74880.4317595605,11.38,270.41670697631,1847.52888476326,90.679546990936,1079.54822054883,3.68083,0.036711446,"Africa",1.291,1.1341,"BEN",3.36499906891015
"9","Bismarck Archipelago",2.27371551724138,1.42,5.85624000886996,9,-4.936891376,150.6265362,0,5.30270240807009,4019.96753350336,0,4019.96753350336,0,243.609322815616,329.340476820183,33.0495073451021,4267.12986172298,23.1695,0.541679884,"Asia",1.3151,0.9538,"BIS",0
"10","Burkina",3.08637614678899,1.8,8.39910353589148,10,12.27793715,-1.739835211,1,14.0287267173393,75854.2213014612,213.830505718954,1190671.72863331,60.27,283.32903146042,2484.15419893871,115.584520888626,773.936797670944,2.03509,0.01089305,"Africa",1.28,1.1362,"BKN",14.6229444955164
