"","regime","tree","data","model","n","alpha0","alpha1","sigma0","sigma1","theta0","theta1","aicw"
"1","Africa","set_trees","empirical","OU1",67,0.0159068216578114,0.0159068216578114,0.0520524969669648,0.0520524969669648,0.950499599749437,0.950499599749437,0.528721556971891
"2","Africa","set_trees","empirical","OUM",100,1.06002162800586,1.06002162800586,0.939051514197267,0.939051514197267,0.600464663560923,1.21563815185725,0.667567810444698
"3","Africa","set_trees","empirical","OUMV",25,0.248847623415412,0.248847623415412,0.229829954071661,0.341487991767644,0.713108982017093,1.0305625073366,0.662816060030386
"4","Africa","set_trees","empirical","OUMVA",8,0.0388255371745815,0.0401729283797616,0.0629602763264716,0.0689083820654811,0.824555980054477,0.857718306788829,0.532564592028951
"5","Americas","set_trees","empirical","OU1",8,0.54718752598443,0,2.1107011330881,0,1.93661250131544,0,0.587584286311584
"6","Americas","set_trees","empirical","OUM",40,2.26590261441637,2.26590261441637,5.01000403241333,5.01000403241333,1.56456250877674,1.53809018870083,0.777133536343014
"7","Americas","set_trees","empirical","OUMA",1,2.34645951344645e-06,0.239862817279175,0.00642080206712712,0.00642080206712712,0.856472705346379,0.905492688625339,1
"8","Americas","set_trees","empirical","OUMV",98,0.480963262810716,0.480963262810716,0.861173977934792,0.852099206927256,1.36071774325646,1.50333601211768,0.89040905518717
"9","Americas","set_trees","empirical","OUMVA",53,0.115000658103521,0.113733120378224,0.148644024865116,0.128473192890691,1.13111369159869,1.25623549625012,0.919836929777484
"10","Asia","set_trees","empirical","OU1",23,2.94365597030592,0,10.6532291964618,0,2.03762440066252,0,0.596201540630966
"11","Asia","set_trees","empirical","OUM",8,1.33592318419123,1.33592318419123,0.128539929575661,0.128539929575661,1.171623486952,1.04475884335535,0.713071097622195
"12","Asia","set_trees","empirical","OUMA",8,0.101482391594884,0.103347751703544,0.23106460081439,0.23106460081439,1.3235417670486,1.25933998142836,0.947650635251889
"13","Asia","set_trees","empirical","OUMV",83,0.530044834285101,0.530044834285101,0.556956179961149,0.424314683309827,1.43304366897994,1.31682494954119,0.914947824183085
"14","Asia","set_trees","empirical","OUMVA",78,0.106261086021562,0.107499137355107,0.170407739303723,0.279681336324108,1.30815791839053,1.19763262297529,0.965658061896466
