"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"0_alpha"	"1_alpha"	"sigma0"	"1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
1	"OUMA"	33192.2374178555	-66374.474835711	-66374.4452936135	-66346.3786686299	5	4.6e+10	8e+08	2.1e+08	9.58116405158485e-08	0.255415295086902	0.000119113647299157	0.000119113647299157	545557.58284216	0	0.834457803142987	770.126025965853
1	"OUMVA"	66590.3202265172	-133168.640453034	-133168.599073724	-133134.925052537	6	1200	470	180	0.000896106094932575	0.304607292167586	1.01425405261147e-09	1e-09	2.5523768034015e-14	4.05008289215316e-06	1.09582127643421	153276079.911868
10	"OUMA"	30490.8296163942	-60971.6592327883	-60971.6296906909	-60943.5630657072	5	8e+10	5.2e+08	-4.8e+07	4.66433419909554e-09	0.232499501167765	6.42449787976868e-06	6.42449787976868e-06	2.05060760360142e-11	1.02285412344302e-08	0.90151617811513	449.680736222933
100	"OUMVA"	31053.9467256281	-62095.8934512562	-62095.8520719458	-62062.1780507588	6	1100	460	170	0.360956627934935	8.08028276026773e-06	1.0079117927966e-09	1.06329767742151e-09	0.995615852462162	10.7378296116009	4.44276293473069e-19	2.86537804441931e-18
100	"OUMA"	44274.4064657493	-88538.8129314985	-88538.783389401	-88510.7167644174	5	6.6e+11	8.6e+08	1.4e+08	0.000124637170982224	0.709601854436216	1.26977123771985e-09	1.26977123771985e-09	-6.70585829509203e-16	0	1.09582127643418	2.76162332006977e+27
11	"OUMA"	47950.0459919524	-95890.0919839048	-95890.0624418073	-95861.9958168237	5	3.6e+08	1.3e+08	-3.8e+09	1.51881170344727e-08	0.247469163337747	1.14314809255209e-09	1.14314809255209e-09	-9.04775416444221e-10	0	0.811927299490228	0.926108926567857
12	"OUMA"	34992.2545240155	-69974.5090480311	-69974.4795059336	-69946.4128809499	5	4.1e+10	-880000	-4.4e+07	4.79742893696589e-08	0.234288300093246	1e-09	1e-09	1641.41144588313	1061.47017620519	0.818763620164464	0.0304391672329105
13	"OUMA"	22878.9058258397	-45747.8116516794	-45747.7821095819	-45719.7154845983	5	3.5e+10	6.5e+08	-1.2e+08	1.27379976505555e-08	0.209510690200572	1.58947800636779e-05	1.58947800636779e-05	-365538.177910188	4653368.70067573	1.00159256668529	3.04520645777685
13	"OUMVA"	39487.4283636338	-78962.8567272677	-78962.8153479573	-78929.1413267703	6	1300	480	53	0.0879129142665074	0.408569491807448	0.000222364927103152	0.00143953537576165	2.11144532208147e-15	3.38457094959084e-08	1.10512472760929	18371907.2746644
14	"OUMA"	39382.091971773	-78754.183943546	-78754.1544014485	-78726.0877764648	5	4.3e+10	2e+08	-2.3e+07	7.05686825120851e-09	0.24447844020818	1.00050740149351e-09	1.00050740149351e-09	4.81214560533477e-12	1.25827567415785e-08	0.812824534701751	180.318449219041
