"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"0_alpha"	"1_alpha"	"sigma0"	"1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
1	"OUMA"	37409.5505503158	-74809.1011006317	-74809.0715585342	-74781.0049335505	5	5e+10	3.8e+09	-5.5e+08	1.49206346548605e-09	0.2551179755841	0.00612456064571784	0.00612456064571784	-2799654.77807293	317913099627.3	-0.284941224368899	14503.9035766535
1	"OUMVA"	72951.8646031662	-145891.729206332	-145891.687827022	-145858.013805835	6	1000	380	220	0.0595436456804296	0.700517149245315	1.01147173020814e-09	1e-09	1.00190844986095e-16	6399532.03940453	-0.849685460298929	1.39829300525143e+22
10	"OUMA"	27201.7476273206	-54393.4952546411	-54393.4657125436	-54365.39908756	5	3.8e+10	1.8e+09	630000	7.19794005556606e-08	0.218539916057311	0.00186532672898866	0.00186532672898866	6.84391388064142e-10	1.74920460613932e-07	1.8336804840925	468.670395754408
10	"OUMVA"	55660.7048898618	-111309.409779724	-111309.368400413	-111275.694379226	6	1100	420	180	0.171745485796217	0.520662436400751	1.03038645024816e-09	1.00833402178374e-09	-32740.9233190325	0	-0.280725937440087	92629.8724795853
100	"OUMA"	32802.7959022941	-65595.5918045883	-65595.5622624908	-65567.4956375071	5	4.5e+10	1.5e+09	2.1e+08	1.24607901211551e-09	0.25048072688788	0.00129985995133108	0.00129985995133108	4.48598535168856e-10	0	2.24956596211661	1891.60397565307
100	"OUMVA"	37620.1401919765	-75228.2803839531	-75228.2390046427	-75194.5649834557	6	6.2e+09	9.2e+08	2e+06	9.5490553913232e-09	0.158060354801353	1.00599965532331e-09	0.000836196475353982	-1286.50600464522	41.0862203734723	2.92616181896008	0.0366891815371794
11	"OUMA"	17281.4952788393	-34552.9905576787	-34552.9610155812	-34524.8943905975	5	3.2e+10	3.5e+08	-2.6e+08	1.43969712069564e-07	0.195063698298517	0.00393803437309687	0.00393803437309687	1.09085495933453	0.554613352764117	2.02896466306555	1.28621166888123
11	"OUMVA"	63538.3079019725	-127064.615803945	-127064.574424635	-127030.900403448	6	1200	490	73	0.109325777360343	0.471895493094805	1.071209761883e-09	1.30356145856697e-09	5.11034301847963e-15	0	-0.276976277096793	26179.5600600683
12	"OUMA"	74965.9469518617	-149921.893903723	-149921.864361626	-149893.797736642	5	2.2e+09	910000	-9200	0.0001534059972446	0.401522762861958	1e-09	1e-09	2.2579241207322e-16	0	-0.849685460298928	3611074816534.38
13	"OUMA"	32986.3931758008	-65962.7863516016	-65962.7568095041	-65934.6901845205	5	2.1e+09	-1.2e+07	-5e+09	6.44788066940332e-06	0.233453764045325	1.00213394234102e-09	1.00213394234102e-09	1.67002605062736e-08	4.71900150393495e-10	3.084810674665	0.0871680668903826
14	"OUMA"	25546.5729774954	-51083.1459549909	-51083.1164128934	-51055.0497879098	5	4.5e+10	1.8e+09	-6.2e+07	3.19213482861404e-09	0.248453107896926	0.00142922200414576	0.00142922200414576	-1.31348960375283e-12	3.78611025020187e-05	-0.290378195769601	6126023.55351332
14	"OUMVA"	54902.4187105381	-109792.837421076	-109792.796041766	-109759.122020579	6	1000	380	210	0.00585616651344694	0.305537419658163	1.007575867008e-09	1.02291831694172e-09	-5.2306211955506e-15	2.4788397573956e-08	-0.289325682535194	251240.313906106
15	"OUMA"	22842.2661301259	-45674.5322602519	-45674.5027181544	-45646.4360931707	5	4.3e+10	1.7e+09	-3e+07	1.11601337981916e-09	0.240442293694425	0.00168297443674059	0.00168297443674059	1.53964312567716e-08	8.03344893029331e-07	3.19135873052722	166.516189025107
16	"OUMA"	22281.2428880985	-44552.4857761969	-44552.4562340994	-44524.3896091158	5	98000	41000	-45000	6.87428337165751e-08	0.252036431681802	1e-09	1e-09	1922481.31362421	0	-0.270777141914355	0
16	"OUMVA"	36805.6618605872	-73599.3237211745	-73599.2823418641	-73565.6083206771	6	1100	470	130	7.71776904374691e-05	0.277391560706369	0.00890418031767152	0.131151707389472	-850150.741551221	0	3.53239690523398	72213.3554606757
17	"OUMA"	15391.6132400363	-30773.2264800726	-30773.1969379751	-30745.1303129915	5	3.5e+10	3.3e+07	-3.1e+07	7.12210863862963e-09	0.212318145327415	0.00175806543704821	0.00175806543704821	4.77151145609145e-09	2.86093113217782e-08	2.66712715092878	15.9970383033819
17	"OUMVA"	51138.1882723325	-102264.376544665	-102264.335165355	-102230.661144168	6	6.1e+09	9.5e+08	2e+06	0.121366399044681	0.503565694366892	1.07987272425203e-09	1.00001090802873e-09	-2.2492268149931e-15	0	-0.849685460298924	4934068015674.37
18	"OUMA"	37173.2153963653	-74336.4307927305	-74336.401250633	-74308.3346256494	5	4.6e+10	5.5e+08	-1.6e+08	4.78822368828713e-08	0.25645244849649	0.000796470028294462	0.000796470028294462	7.89073468302892e-12	5.36772067267208e-09	2.12246295581315	1336.80756351342
18	"OUMVA"	78907.9647990812	-157803.929598162	-157803.888218852	-157770.214197665	6	1100	350	250	0.000671271165385259	1.02946451426016	1.00343483139349e-09	1.00093786468915e-09	8.57646692898941e-16	6.16209806960579e+25	-0.849685460298928	7.51489211963683e+40
19	"OUMA"	24453.2790321648	-48896.5580643297	-48896.5285222322	-48868.4618972486	5	3.6e+10	3.8e+08	2.2e+07	3.40909597390736e-07	0.212921668948466	0.0308134429893905	0.0308134429893905	-3.76394557254337e-11	5.71371068044952e-05	-0.235411333626022	357311.263738161
