"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"0_alpha"	"1_alpha"	"sigma0"	"1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
1	"OUMA"	84209.7547744569	-168409.509548914	-168409.480006816	-168381.413381833	5	2.1e+09	2e+08	36000	0.674657349621131	0.000118831202337582	1e-09	1e-09	3.18494462103107	5028988436.08629	8.07743470192599e-33	1.27541865659857e-23
10	"OUMA"	72744.2393541193	-145478.478708239	-145478.449166141	-145450.382541158	5	1.3e+10	2.6e+09	30000	0.961377846686189	0.000250212105180259	1e-09	1e-09	2.75094500422474	1.57381203757076e+24	3.6377142533553e-46	2.07954409453266e-22
100	"OUMV"	-3514.80375228343	7039.60750456685	7039.63704666434	7067.70367164799	5	6.2e+09	9e+08	-5300	3.33607443643336	3.33607443643336	13.1289256642253	11.8374913481857	2.04462108486896	0.0433629473639779	2.11464959162499	0.0434580523829872
100	"OUMVA"	18648.9230210568	-37285.8460421136	-37285.8046628032	-37252.1306416162	6	6.2e+09	9e+08	-5300	0.164735383818165	1.89605411296324e-09	0.628997648647762	3.47263812653832e-06	1.82482326349632	0.0700489874763471	9.79928661031148e-12	3.76162513018821e-13
100	"OUMA"	69634.1811802615	-139258.362360523	-139258.332818425	-139230.266193442	5	3.3e+10	5.5e+09	150000	1.21023088334393	0.201470420335419	1.00218015136174e-09	1.00218015136174e-09	0.7101441917644	6.17873238784574e+28	1.07808244482947e-47	9.38004280804667e-19
11	"OUMA"	95963.7167263575	-191917.433452715	-191917.403910618	-191889.337285634	5	3.9e+09	3.7e+07	10000	3.06772295342956	0.852701633043171	1.01690615668831e-09	1.01690615668831e-09	0.36578707247268	7.53215556181227e+61	2.79163355822087e-105	5.74843120888764e-43
12	"OUMA"	56705.2286770286	-113400.457354057	-113400.42781196	-113372.361186976	5	3.4e+11	11000	-9.9e+09	1.65765097389884	0.181272389396003	1.93049029741231e-09	1.93049029741231e-09	0.468610944221512	6.97022216282627e+37	7.41684044068504e-69	1.10319714483436e-30
13	"OUMA"	62408.3640538752	-124806.72810775	-124806.698565653	-124778.631940669	5	1.8e+10	1.1e+09	-1.8e+10	1.14546515987632	0.000178961186489415	1.08563322886072e-09	1.08563322886072e-09	1.89854979896587	5.71162055375443e+34	5.87909766794172e-55	0
13	"OUMVA"	70176.6159496964	-140341.231899393	-140341.190520082	-140307.516498895	6	1000	500	190	0.521600997488501	9.22357070886832e-05	1.05166018161506e-09	1e-09	0.521334988901814	512476233.371276	3.07013792794239e-27	3.01772801613435e-18
14	"OUMA"	65397.3755078341	-130784.751015668	-130784.721473571	-130756.654848587	5	4.8e+09	1.1e+09	55000	1.08033941956073	0.000228091449346942	2.03980802159877e-09	2.03980802159877e-09	2.30377132578493	4.59738908353884e+29	1.82032955498893e-51	3.69410112050302e-22
15	"OUMA"	63003.1332207601	-125996.26644152	-125996.236899423	-125968.170274439	5	1.3e+08	4.5e+07	2900	2.67208735072025	0.483690178026743	1.01742044173581e-09	1.01742044173581e-09	0.965702657426419	1.10728099495413e+64	1.37945313188272e-100	1.57860775635229e-36
16	"OUMA"	86563.8481309799	-173117.69626196	-173117.666719862	-173089.600094879	5	4.4e+09	2.5e+09	10000	0.959326834290179	0.000197077245756541	1e-09	1e-09	2.27637378079851	3.62287350512551e+21	3.59256275877266e-46	5.71760250625121e-25
17	"OUMV"	-3463.15624153041	6936.31248306081	6936.3420251583	6964.40865014195	5	6.1e+09	9.5e+08	-1.3e+08	3.36811529595659	3.36811529595659	11.7745547221926	12.3821654468552	2.0444006852692	0.0407346744803575	2.09876604493743	0.0445822295277532
17	"OUMVA"	80569.6154076174	-161127.230815235	-161127.189435924	-161093.515414737	6	6.1e+09	9.5e+08	-1.3e+08	0.80649080151279	0.000103245774377283	1.04682163502264e-09	1.01874847388492e-09	1.60506949734196	24245828503999488000	1.58328586435787e-39	2.39979610364403e-20
17	"OUMA"	82385.8453234035	-164761.690646807	-164761.66110471	-164733.594479726	5	8.6e+08	1.6e+08	120000	0.507381204633576	7.33974885419269e-05	1.05354619269186e-09	1.05354619269186e-09	2.59053593995506	13290573.3779937	7.79482977358667e-20	3.99908589049123e-13
18	"OUMA"	58129.4740084129	-116248.948016826	-116248.918474728	-116220.851849745	5	3.2e+09	1100000	31000	1.07775432625062	0.000605700958273626	1e-09	1e-09	3.25427647593804	1.19610427860011e+29	1.2250218377255e-49	4.50619393026276e-21
19	"OUMA"	62954.4694790146	-125898.938958029	-125898.909415932	-125870.842790948	5	4.6e+10	2300	-3.8e+10	1.88651953057692	0.150622964408586	1.00002763944597e-09	1.00002763944597e-09	2.38153815746035	3.99284263426369e+47	1.51089244832423e-80	0
2	"OUMVA"	56218.743255051	-112425.486510102	-112425.445130792	-112391.771109605	6	1000	500	180	0.686792815257338	0.0263472296670944	1.00355979435813e-09	1.0155506115728e-09	0.769913447277409	43682202196.1799	1.03756910003436e-31	5.8868049857639e-21
2	"OUMA"	86670.8942766411	-173331.788553282	-173331.759011185	-173303.692386201	5	9.6e+07	2000	-5.8e+08	3.25594192644413	1.79165187976846	1.10005938760507e-09	1.10005938760507e-09	0.191067620116146	7.40505325955517e+35	3.49241606417602e-74	1.3535274550403e-37
20	"OUMA"	74819.9968402631	-149629.993680526	-149629.964138429	-149601.897513445	5	5e+09	16000	-2.5e+10	2.36367677665642	0.455399812083738	1.00065942877411e-09	1.00065942877411e-09	2.27256189697135	1.28558233244369e+51	-3.13645647363393e-46	182120.52279363
21	"OUMVA"	60233.4166422441	-120454.833284488	-120454.791905178	-120421.117883991	6	1100	500	150	0.302090597559636	5.68066214599843e-05	0.0628589282081839	1.00457578249865e-09	0.756208607137037	28585.3677474763	-4.20448065680325e-16	0
21	"OUMA"	66103.8300507241	-132197.660101448	-132197.630559351	-132169.563934367	5	2.5e+09	1.2e+09	16000	0.904779898409103	0.000242760023797301	1e-09	1e-09	3.25576717119985	1.90492030506568e+25	8.39338599569063e-45	4.91089669955588e-20
22	"OUMV"	-3479.56717197724	6969.13434395448	6969.16388605197	6997.23051103562	5	5.7e+09	9.1e+08	-1.2e+08	3.52981317857255	3.52981317857255	12.884544167497	12.6210457235495	2.04715163554272	0.0416953417037471	2.10694310706263	0.0437119507528059
22	"OUMA"	21691.2715724454	-43372.5431448907	-43372.5136027932	-43344.4469778096	5	6.7e+10	1.8e+10	-1.9e+08	0.289524355021844	4.95782290171312e-07	0.163772828491143	0.163772828491143	3.25438274865038	2456.89313252203	1.74018167305412e-17	1.33150315949327e-14
22	"OUMVA"	82297.0722062225	-164582.144412445	-164582.103033135	-164548.429011948	6	5.7e+09	9.1e+08	-1.2e+08	0.588047648726958	7.47516831066683e-05	1.05965616417005e-09	1.80927058434468e-09	0.768648671381043	1113846027834801	1.01067153068423e-28	1.46456048362866e-13
23	"OUMVA"	79939.4040401669	-159866.808080334	-159866.766701023	-159833.092679836	6	970	500	190	2.71003479522807	1.03173293336109	1.01319120539793e-09	1.00123078066765e-09	3.46965955625798	6.76348352017708e+41	2.39148852331215e-76	8.58720037864381e-34
23	"OUMA"	82854.0327955736	-165698.065591147	-165698.03604905	-165669.969424066	5	1.1e+09	9.1e+08	110000	0.726948571207062	0.000140618397888287	1.01277599722239e-09	1.01277599722239e-09	2.0480223631331	332577037978.707	8.54387225414649e-35	1.38703876739596e-23
24	"OUMVA"	-3336.82926242452	6685.65852484904	6685.69990415939	6719.3739253464	6	1100	510	140	0.0178892033918909	1.05770662854937e-08	0.234876698333377	1.26953800761198	1.62197316344186	0.513956662064111	-2171990.26514489	4167346.67728083
24	"OUMA"	83354.0804681984	-166698.160936397	-166698.131394299	-166670.064769316	5	3.4e+07	7900	-3.7e+10	2.59406134041929	0.634681666446053	1.07308058748586e-09	1.07308058748586e-09	0.769905955856216	3.29834050692827e+52	1.11169964931889e-94	4.76260583863134e-42
25	"OUMA"	54768.3061020033	-109526.612204007	-109526.582661909	-109498.516036926	5	5.5e+09	2.7e+09	45000	0.930115464984971	0.000287392456334448	1.05525276937182e-09	1.05525276937182e-09	0.16863141649382	1.11173178208595e+31	1.95672793803793e-45	1.29000673945712e-13
25	"OUMVA"	57596.6035578761	-115181.207115752	-115181.165736442	-115147.491715255	6	1300	500	25	2.36926451617905	0.000819205529656657	1e-09	1.74597194536928e-09	0.163819024768545	2.49160800046814e+86	1.64104359359942e-110	2.49594834492019e-23
26	"OUMA"	63110.819599169	-126211.639198338	-126211.609656241	-126183.543031257	5	5e+08	6300000	5000	1.24214066788637	0.149989218320783	1.03002833851527e-09	1.03002833851527e-09	0.769913991056103	6.61958012609903e+23	1.32300644494969e-52	1.13749690593583e-28
26	"OUMVA"	90233.0329089407	-180454.065817881	-180454.024438571	-180420.350417384	6	1100	500	160	3.21540034291543	0.83207524482787	1.07022060583165e-09	1.05235409422731e-07	0.00531676295997227	8.4822132106929e+64	1.53155128427404e-115	2.44339360310621e-48
27	"OUMVA"	65523.8747786041	-131035.749557208	-131035.708177898	-131002.034156711	6	1000	500	160	1.99571840221686	0.241729463408776	1.28356400311943e-09	30.4469009254835	0.543569646452842	2.30806779764388e+51	1.15452007817473e-79	4.90224322045468e-28
27	"OUMA"	97133.140555045	-194256.28111009	-194256.251567992	-194228.184943009	5	6.2e+09	4.5e+09	7100	3.42475589203937	1.14480939306513	1.03899707693245e-09	1.03899707693245e-09	0.648619241084717	1.16079980932958e+68	1.08031999891851e-103	1.93339199537521e-35
28	"OUMA"	74540.0282102162	-149070.056420432	-149070.026878335	-149041.960253351	5	2.1e+09	1.3e+09	36000	0.887319654893881	0.000257162744667113	1.18769119168072e-09	1.18769119168072e-09	2.8668043932644	1556845701181216	5.60200028943744e-43	3.04221998358955e-28
28	"OUMVA"	82127.6330238215	-164243.266047643	-164243.224668333	-164209.550647146	6	960	480	220	0.783857697535516	0.000119914551214524	1.17189125180156e-09	0.000154234252987154	3.19652358662266	668799966078.08	2.06644045223754e-38	4.32355734880253e-27
29	"OUMA"	63467.5859240357	-126925.171848071	-126925.142305974	-126897.07568099	5	1.6e+09	4200000	-190000	0.376607647451478	3.58088317370189e-05	1e-09	1e-09	0.769899314452014	56870.0582891279	1.95380558874223e-20	1.44321517933135e-15
29	"OUMVA"	68047.0539322709	-136082.107864542	-136082.066485231	-136048.392464044	6	980	450	220	1.15087857564002	0.000131744789041616	1.00139282468608e-09	1.02299249743293e-09	0.162886823134038	6.65847042175869e+37	2.00181991741802e-55	8.18301840096722e-17
3	"OUMA"	76895.4404595651	-153780.88091913	-153780.851377033	-153752.784752049	5	7e+07	47000	-1.9e+08	0.499382548292585	0.000129163894967449	1.01199839474685e-09	1.01199839474685e-09	0.725659874384835	5422.22398297384	2.16902815432426e-22	1.62073371201919e-18
3	"OUMVA"	77291.7074771854	-154571.414954371	-154571.373575061	-154537.699553873	6	920	500	180	0.815464705505814	0.000117415696936966	0.000297509460646962	1.10017007458435e-09	3.03645366813585	5468147750631385	1.24189467378315e-38	2.23644562850323e-23
30	"OUMV"	-3523.09450933783	7056.18901867567	7056.21856077316	7084.2851857568	5	6.1e+09	8.8e+08	-5300	3.35813881738731	3.35813881738731	13.476817390087	11.8773884511752	2.05261595698455	0.0437892604774047	2.10437757747845	0.0436866922713136
30	"OUMVA"	-3304.40363433406	6620.80726866812	6620.84864797847	6654.52266916549	6	6.1e+09	8.8e+08	-5300	0.248648579206499	0.226572947236608	0.848300202019503	9.11432117399148	2.01731857555367	0.0555368022493958	2.56380434521114	0.0556646738817466
31	"OUMA"	77016.2228166964	-154022.445633393	-154022.416091295	-153994.349466312	5	1e+09	1.2e+08	41000	1.59337198592032	0.000142729136508577	1.10924218919284e-09	1.10924218919284e-09	2.28668026612945	2.78893551494196e+42	9.9911396321976e-74	1.21856294590472e-31
32	"OUMA"	89306.3977508974	-178602.795501795	-178602.765959697	-178574.699334714	5	8.5e+09	170000	-8.7e+08	0.906039798058374	0.000172607794114763	1e-09	1e-09	2.05242728482325	2297521644157962	2.13947788375387e-43	2.39496756027542e-28
33	"OUMA"	73411.285186289	-146812.570372578	-146812.540830481	-146784.474205497	5	4.1e+10	2.7e+07	66000	0.956580667202761	0.108481114678761	1e-09	1e-09	0.697088066841168	548997804779387456	1.46370060740374e-40	1.15274818554684e-22
34	"OUMVA"	80066.2550804078	-160120.510160816	-160120.468781505	-160086.794760318	6	1000	510	160	0.565066923630727	8.98041524327058e-05	1.04302736923491e-09	9.29908722977631e-06	3.22437225636177	30138.6688740551	1.53879115099787e-29	1.63398123140347e-25
34	"OUMA"	88862.8977975554	-177715.795595111	-177715.766053013	-177687.69942803	5	2.2e+09	5.4e+08	24000	0.859987134267418	0.000120287623992746	1e-09	1e-09	-0.202314474418743	70146191846018.3	-7.60368074746091e-45	2.63633756228609e-30
35	"OUMVA"	71193.4391217995	-142374.878243599	-142374.836864289	-142341.162843102	6	1000	510	160	1.57867244855306	0.408644518199262	1.43933062361154e-09	0.000558804139407903	2.35286665053173	1.78328669347344e+24	2.25773827544505e-54	1.71118691449723e-30
37	"OUMV"	-3491.01466596421	6992.02933192842	6992.05887402591	7020.12549900956	5	5.6e+09	1900000	-1.2e+08	3.41113490060389	3.41113490060389	12.763117595583	12.1235789882624	2.04509927790216	0.042268980431662	2.10191207015338	0.0436301670609989
37	"OUMVA"	64908.2988897273	-129804.597779455	-129804.556400144	-129770.882378957	6	5.6e+09	1900000	-1.2e+08	0.677259844506282	0.0200201038107896	1.03313748802273e-09	5.5193162637325e-09	3.13313801557651	1462391952.46768	6.93238036202929e-30	3.23568831919202e-21
37	"OUMA"	101965.947343129	-203921.894686258	-203921.86514416	-203893.798519177	5	7.6e+09	2e+09	2e+05	0.883770721985262	8.63285885798444e-05	1.00028803644016e-09	1.00028803644016e-09	1.9063350267736	3563034244794567	1.96234556321919e-41	3.66772070157653e-26
38	"OUMVA"	-3431.19686724578	6874.39373449156	6874.43511380191	6908.10913498892	6	1000	520	110	0.0143286478544521	1.60162341890841e-09	0.27981192905496	0.879315763901296	1.40063941860076	0.759203391570636	-5095599.26427937	23561407.655775
38	"OUMA"	29319.2134963093	-58628.4269926186	-58628.3974505211	-58600.3308255374	5	4.3e+10	8.5e+08	-2.2e+08	0.242547761540969	1.56074073153316e-07	1.57510987268217e-07	1.57510987268217e-07	3.03018393570979	0.019016783101871	1.24833211560954e-15	4.45423199503431e-18
39	"OUMA"	60092.9458050551	-120175.89161011	-120175.862068013	-120147.795443029	5	2.1e+12	2.8e+09	36000	0.808896583704704	0.00694983141145573	1.00819504009343e-09	1.00819504009343e-09	3.03106613954593	4389780293042860	9.07489273554692e-39	0
4	"OUMVA"	73030.130025328	-146048.260050656	-146048.218671346	-146014.544650159	6	1500	510	6.2	1.58414478833974	0.400212815863585	1.01686911352315e-09	1.03730602700635e-09	0.214905321025772	6.92327605276407e+23	2.29459140061014e-55	7.39213418209391e-31
4	"OUMA"	81526.6456827725	-163043.291365545	-163043.261823447	-163015.195198464	5	5e+07	26000	-9.2e+07	0.605989065123398	0.00012530087850916	1.00002470176962e-09	1.00002470176962e-09	3.5560233546481	986691.173016461	1.48807945103998e-29	4.12898048988429e-24
40	"OUMVA"	79969.039591268	-159926.079182536	-159926.037803226	-159892.363782039	6	950	500	170	0.715793341920402	0.000191577532662616	1.1014644033627e-09	6.66106272181256e-06	0.04560197189192	1555604090059.82	2.24844091677489e-38	7.670027723105e-25
40	"OUMA"	99202.2609163074	-198394.521832615	-198394.492290517	-198366.425665534	5	1.4e+11	1.4e+08	46000	2.8455932460058	1.02439078356363	1.0015019981815e-09	1.0015019981815e-09	1.20408671837607	2.8343163897634e+38	7.73324455941913e-92	1.82034831066705e-53
41	"OUMA"	73624.0131853257	-147238.026370651	-147237.996828554	-147209.93020357	5	2e+11	8600	-4.8e+08	1.80128834889879	0.518256217236872	1.0035749912406e-09	1.0035749912406e-09	0.769853162867147	8.4932952626092e+25	1.43717845952401e-59	1.58554665103125e-33
41	"OUMVA"	74619.7293449747	-149227.458689949	-149227.417310639	-149193.743289452	6	950	500	200	0.958928358610137	0.00013122449963441	0.0436070866079362	1.06858638934223e-09	2.71997117725162	1.51025696171861e+20	5.97821661519277e-44	3.31938928257684e-24
42	"OUMVA"	41709.6049493668	-83407.2098987335	-83407.1685194232	-83373.4944982362	6	990	490	200	0.242251395146517	2.50840931457032e-05	0.104944313759956	1.13082641568108e-09	3.14334661440763	13.0773417609578	-1.5154275393376e-11	5.62633738576423e-10
42	"OUMA"	68234.9623614851	-136459.92472297	-136459.895180873	-136431.828555889	5	1.1e+11	1.3e+09	110000	0.972847629675086	0.000256549836651899	1.1618971456631e-09	1.1618971456631e-09	2.25890668709094	2.72679348680318e+23	2.95040515173659e-45	0
43	"OUMA"	84104.9645929172	-168199.929185834	-168199.899643737	-168171.833018753	5	5.7e+10	2.7e+09	72000	0.972768197408222	0.000250914163006216	1e-09	1e-09	0.162566557582118	11465589278066232	4.25087208531719e-47	2.99808093409212e-30
43	"OUMVA"	86537.9810602089	-173063.962120418	-173063.920741107	-173030.24671992	6	1100	510	160	2.84998340993873	0.882043379617932	1.00229703783257e-09	1.61968097997495e-07	0.768503364602051	1.74292275643907e+43	5.25345302071013e-92	1.19145481799462e-48
44	"OUMA"	75436.092689076	-150862.185378152	-150862.155836055	-150834.089211071	5	1.9e+11	14000	-7.4e+10	1.55468874147192	0.415413623471001	1.01149327381927e-09	1.01149327381927e-09	0.766603205772927	1.18582269821632e+29	2.91839149030741e-54	4.51432350586182e-25
45	"OUMA"	70958.4409583079	-141906.881916616	-141906.852374518	-141878.785749535	5	62000	-1.1e+08	-3.8e+12	1.00191154671853	0.000292292394108129	1e-09	1e-09	-0.693651520579612	3.39596769719414e+23	-6.88173942731402e-49	3.36914624870897e-25
47	"OUMA"	64037.4432055998	-128064.8864112	-128064.856869102	-128036.790244118	5	1.4e+09	5.6e+07	8200	0.615496080077808	0.000350759720184777	1.04079858745438e-09	1.04079858745438e-09	2.30652504423917	29084233.2623418	1.07077226261212e-29	1.1963691039161e-22
48	"OUMA"	76154.0092986672	-152298.018597334	-152297.989055237	-152269.922430253	5	2.6e+12	1.1e+09	-3.1e+08	0.772268931104024	0.000137933540648756	1.047919632665e-09	1.047919632665e-09	0.769717555191685	93910486594940.8	6.13989998532778e-38	7.49107242865211e-24
49	"BMS"	-5559.3028384901	11124.6056769802	11124.6174821942	11141.4633772289	3	550	480	0	0	0	9.89225897737496	0.476430751907765	1.10487588589958	10.9126341929994	0	0
49	"OUMA"	70035.8039773358	-140061.607954672	-140061.578412574	-140033.511787591	5	1e+09	35000	-3.1e+10	1.65678826608384	0.247378730383678	1e-09	1e-09	0.0502988050260106	1.28895433271306e+31	1.92671362239566e-62	4.93738543132372e-30
49	"OUMVA"	76424.6439372723	-152837.287874545	-152837.246495234	-152803.572474047	6	5.3e+09	6.4e+08	480	0.96414248537847	0.000231189468659635	1.04593921515085e-09	1.21614034440403e-09	0.766844187317323	5118473533573898240	1.99389183881814e-43	1.3308678313781e-24
5	"OUMA"	83609.2371902172	-167208.474380434	-167208.444838337	-167180.378213353	5	2.8e+08	4.4e+07	27000	2.51201875161914	0.61139281932582	1.06941332804887e-09	1.06941332804887e-09	0.468611188080986	1.07932062256524e+48	4.03569127344446e-91	9.29512344860994e-43
50	"OUMVA"	68449.2959000593	-136886.591800119	-136886.550420808	-136852.876399621	6	1200	510	94	0.798710077704507	0.0453255285382524	1.05021691458169e-09	6.5531580149156e-09	0.564702403836259	1692071596002.85	6.20982591067451e-36	1.86070938253103e-23
50	"OUMA"	92432.3390921009	-184854.678184202	-184854.648642104	-184826.582017121	5	1.9e+11	510	-3.3e+11	3.10413563214501	0.828968108512344	1.05747947639899e-09	1.05747947639899e-09	2.71342588083413	1.32018867018202e+56	5.45657916866236e-108	2.65483788993972e-52
51	"OUMA"	80861.8784136933	-161713.756827387	-161713.727285289	-161685.660660305	5	1.4e+10	1.2e+09	34000	1.03455214593883	0.000231204479875908	1.05917929207582e-09	1.05917929207582e-09	0.367489363746658	1.84047742342122e+22	5.66575822883177e-49	2.83755505303916e-26
52	"OUMA"	73397.1438812054	-146784.287762411	-146784.258220313	-146756.19159533	5	1.5e+11	2.8e+09	62000	0.984398653094942	0.000329468997962889	1.0024949323058e-09	1.0024949323058e-09	0.0438565240427077	7.22847462848104e+21	5.69128093444901e-49	9.38042417546865e-26
53	"OUMA"	1507739.41529341	-3015468.83058682	-3015468.80104472	-3015440.73441974	5	1.9e+11	-4.2e+09	-1.1e+12	1.60085587945094	1.80158267786285	1.66168176730087e-09	1.66168176730087e-09	-8239322.35208507	0	-14.827637186387	0
54	"OUMA"	11359.7281790122	-22709.4563580245	-22709.426815927	-22681.3601909434	5	5e+10	4.2e+10	63000	0.243260963931786	3.83142260351095e-08	1.06047497351085	1.06047497351085	3.06205190068892	22.6011002353374	1.92284620069051e-16	1.89416735701851e-15
