"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"0_alpha"	"1_alpha"	"sigma0"	"1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"	"fit"	"delta"	"w"
1	"BM1"	-3210.31307811239	6424.62615622478	6424.63205592979	6435.86462305723	2	1000	0	0	0	0	0.236037811794757	0	1.28599691912559	1.95706943027734	0	0	6424.63205592979	659.565950015236	5.98513191377483e-144
1	"BMS"	-3185.99813285036	6377.99626570072	6378.00807091469	6394.8539659494	3	670	350	0	0	0	0.197793183233174	0.310833535177872	1.22019533622497	2.00613015236413	0	0	6378.00807091469	612.941965000136	7.96789192935496e-134
1	"OU1"	-2902.38749155523	5810.77498311047	5810.78678832444	5827.63268335915	3	1400	250	0	0.0953863430384711	0	0.339414778610201	0	1.7502613196375	0.066504118299969	0	0	5810.78678832444	45.7206824098812	1.17999443335808e-10
1	"OUM"	-2897.88330629628	5803.76661259256	5803.78629763193	5826.24354625747	4	1400	270	0	0.0944243833961467	0.0944243833961467	0.336185466842113	0.336185466842113	1.58251487569756	0.0864164770545367	2.00459196371486	0.108634027814943	5803.78629763193	38.720191717377	3.90856373077383e-09
1	"OUMV"	-2877.51828190853	5765.03656381707	5765.06610591456	5793.1327308982	5	1000	380	220	0.0897069130850217	0.0897069130850217	0.277973040647751	0.427331341013829	1.53538162790059	0.0842741057915389	2.0078871620399	0.129093233788684	5765.06610591456	0	0.999999995973437
10	"BM1"	-3465.07359156452	6934.14718312903	6934.15308283405	6945.38564996149	2	1000	0	0	0	0	0.287075567486545	0	1.29682840264298	2.23183072831449	0	0	6934.15308283405	775.847013557708	2.10391971545057e-169
10	"BMS"	-3464.89487777955	6935.78975555909	6935.80156077306	6952.64745580777	3	680	350	0	0	0	0.283174436923729	0.294491010346259	1.2926339136271	2.22581554017272	0	0	6935.80156077306	777.495491496724	9.22713186382741e-170
10	"OU1"	-3077.71421519302	6161.42843038605	6161.44023560002	6178.28613063473	3	1500	250	0	0.115134359102819	0	0.431599588674815	0	1.82406340370138	0.0586957231257821	0	0	6161.44023560002	3.13416632367625	0.130464390017378
10	"OUM"	-3076.08311919669	6160.16623839339	6160.18592343276	6182.64317205829	4	1500	250	0	0.113011354742349	0.113011354742349	0.426312309707081	0.426312309707081	1.72433391039784	0.0789719306778341	1.95080304044689	0.0927825306004236	6160.18592343276	1.87985415641651	0.244265659077055
10	"OUMV"	-3074.13826358943	6158.27652717885	6158.30606927634	6186.37269425998	5	1100	420	180	0.112221172377989	0.112221172377989	0.405368881973802	0.462754192677632	1.71660967773082	0.0778228412378524	1.95361105355085	0.0973788471692888	6158.30606927634	0	0.625269950905567
100	"BM1"	-5173.5842980204	10351.1685960408	10351.1744957458	10362.4070628732	2	1000	0	0	0	0	1.37243060312967	0	1.30130791908281	4.97694053899889	0	0	10351.1744957458	3330.31637073274	0
100	"BMS"	-5019.68047095251	10045.360941905	10045.372747119	10062.2186421537	3	680	340	0	0	0	1.81073958753693	0.509358106952879	1.53540577655323	3.85009312055571	0	0	10045.372747119	3024.51462210593	0
100	"OU1"	-3516.79221552549	7039.58443105099	7039.59623626496	7056.44213129967	3	6.2e+09	9.4e+08	0	3.33643010035396	0	12.5256816018228	0	2.07780094973739	0.0307133417555491	0	0	7039.59623626496	18.7381112518888	4.33341885907224e-05
