	AfricanPalmSpecies		Distribution
1	Acanthophoenix_crinita		Reunion
2	Acanthophoenix_rousselii		Reunion
3	Acanthophoenix_rubra		Reunion, Mauritius
4	Borassus_aethiopum		Mainland Africa
5	Borassus_akeassii		Mainland Africa
6	Calamus_deerratus		Mainland Africa
7	Chamaerops_humilis		Seurope, NafriMainland Africa
8	Deckenia_nobilis		Seychelles
9	Dictyosperma_album		Reunion, Mauritius, Seychelles
10	Dypsis_cabadae		Mayotte
11	Dypsis_lanceolata		Mayotte
12	Dypsis_pembana		Mainland Africa
13	Elaeis_guineensis		Mainland Africa
14	Eremospatha_barendii		Mainland Africa
15	Eremospatha_cabrae		Mainland Africa
16	Eremospatha_cuspidata		Mainland Africa
17	Eremospatha_haullevilleana		Mainland Africa
18	Eremospatha_hookeri		Mainland Africa
19	Eremospatha_laurentii		Mainland Africa
20	Eremospatha_macrocarpa		Mainland Africa
21	Eremospatha_wendlandiana		Mainland Africa
22	Hyophorbe_amaricaulis		Mauritius
23	Hyophorbe_indica		Reunion
24	Hyophorbe_lagenicaulis		Mauritus
25	Hyophorbe_vaughanii		Mauritius
26	Hyophorbe_verschaffeltii		Rodrigues
27	Hyphaene_compressa		?
28	Hyphaene_coriacea		Mainland Africa
29	Hyphaene_guineensis		Mainland Africa
30	Hyphaene_macrosperma		Mainland Africa
31	Hyphaene_petersiana		Mainland Africa
32	Hyphaene_reptans		Mainland Africa
33	Hyphaene_thebaica		Mainland Africa
34	Jubaeopsis_caffra		Mainland Africa
35	Laccosperma_acutiflorum		Mainland Africa
36	Laccosperma_laeve		Mainland Africa
37	Laccosperma_opacum		Mainland Africa
38	Laccosperma_robustum		Mainland Africa
39	Laccosperma_secundiflorum		Mainland Africa
40	Latania_loddigesii		Mauritius
41	Latania_lontaroides		Reunion
42	Latania_verschaffeltii		Rodrigues
43	Livistona_carinensis		Mainland Africa
44	Medemia_argun		Mainland Africa
45	Nephrosperma_van-houtteanum		Seychelles
46	Oncocalamus_djodu		Mainland Africa
47	Oncocalamus_macrospathus		Mainland Africa
48	Oncocalamus_mannii		Mainland Africa
49	Oncocalamus_tuleyi		Mainland Africa
50	Phoenicophorium_borsigianum		Seychelles
51	Phoenix_atlantica		Mainland Africabo Verde
52	Phoenix_caespitosa		Mainland Africa
53	Phoenix_canariensis		Mainland Africanary Islands
54	Phoenix_reclinata		Mainland Africa
55	Podococcus_acaulis		Mainland Africa
56	Podococcus_barteri		Mainland Africa
57	Raphia_africana		Mainland Africa
58	Raphia_australis		Mainland Africa
59	Raphia_farinifera		Mainland Africa
60	Raphia_gentiliana		Mainland Africa
61	Raphia_hookeri		Mainland Africa
62	Raphia_laurentii		Mainland Africa
63	Raphia_longiflora		Mainland Africa
64	Raphia_mambillensis		Mainland Africa
65	Raphia_mannii		Mainland Africa
66	Raphia_monbuttorum		Mainland Africa
67	Raphia_palma-pinus		Mainland Africa
68	Raphia_regalis		Mainland Africa
69	Raphia_rostrata		Mainland Africa
70	Raphia_ruwenzorica		Mainland Africa
71	Raphia_sese		Mainland Africa
72	Raphia_sudanica		Mainland Africa
73	Raphia_taedigera		Mainland Africa
74	Raphia_textilis		Mainland Africa
75	Raphia_vinifera		Mainland Africa
76	Ravenea_hildebrandtii		Comoros
77	Ravenea_moorei		Comoros
78	Roscheria_melanochaetes		Seychelles
79	Sclerosperma_mannii		Mainland Africa
80	Sclerosperma_profizianum		Mainland Africa
81	Sclerosperma_walkeri		Mainland Africa
82	Tectiphiala_ferox		Mauritius
83	Verschaffeltia_splendida		Seychelles
