"","variable","P_sign","P","coeff","r.squared","adj.r.squared","tree"
"normalized(sqrt(TempSeas))","normalized(sqrt(TempSeas))",TRUE,0.0111,-0.381,0.371354777772598,0.318967675920314,2
"normalized(sqrt(AnnualPrec))","normalized(sqrt(AnnualPrec))",TRUE,0.0155,0.41,0.371354777772598,0.318967675920314,2
"normalized(sqrt(PrecSeas))","normalized(sqrt(PrecSeas))",TRUE,7e-04,0.719,0.371354777772598,0.318967675920314,2
"(Intercept)","(Intercept)",TRUE,0.022,-0.534,0.449118613913848,0.403211831740002,3
"normalized(sqrt(curr_max95BodySize))","normalized(sqrt(curr_max95BodySize))",TRUE,6e-04,0.487,0.449118613913848,0.403211831740002,3
"normalized(I(MAT^2))","normalized(I(MAT^2))",TRUE,0.025,0.383,0.449118613913848,0.403211831740002,3
"normalized(sqrt(PrecSeas))1","normalized(sqrt(PrecSeas))",TRUE,0,1.01,0.449118613913848,0.403211831740002,3
"(Intercept)1","(Intercept)",TRUE,1e-04,0.956,0.239338829870676,0.175950399026566,4
"normalized(sqrt(TempSeas))1","normalized(sqrt(TempSeas))",TRUE,0.0014,-0.515,0.239338829870676,0.175950399026566,4
"(Intercept)2","(Intercept)",TRUE,0.0111,-0.765,0.396758666994469,0.346488555910674,5
"normalized((sqrt_change))","normalized((sqrt_change))",TRUE,0.0016,-0.473,0.396758666994469,0.346488555910674,5
"normalized(sqrt(curr_max95BodySize))1","normalized(sqrt(curr_max95BodySize))",TRUE,0.0089,0.476,0.396758666994469,0.346488555910674,5
"normalized(I(MAT^2))1","normalized(I(MAT^2))",TRUE,0.0235,0.499,0.396758666994469,0.346488555910674,5
"normalized(sqrt(TempSeas))2","normalized(sqrt(TempSeas))",TRUE,7e-04,0.675,0.396758666994469,0.346488555910674,5
"normalized(sqrt(PrecSeas))2","normalized(sqrt(PrecSeas))",TRUE,0.0012,0.897,0.396758666994469,0.346488555910674,5
"normalized((sqrt_change))1","normalized((sqrt_change))",TRUE,0,0.411,0.354787497088013,0.301019788512015,6
"normalized(sqrt(AnnualPrec))1","normalized(sqrt(AnnualPrec))",TRUE,0,0.615,0.354787497088013,0.301019788512015,6
"normalized(sqrt(PrecSeas))3","normalized(sqrt(PrecSeas))",TRUE,0.0067,0.481,0.354787497088013,0.301019788512015,6
"(Intercept)3","(Intercept)",TRUE,0,1.059,0.341306800858374,0.286415700929905,7
"factor(accAfrica)1","factor(accAfrica)1",TRUE,0.0197,-0.31,0.341306800858374,0.286415700929905,7
"normalized(sqrt(TempSeas))3","normalized(sqrt(TempSeas))",TRUE,0,-0.491,0.341306800858374,0.286415700929905,7
"normalized((sqrt_change))2","normalized((sqrt_change))",TRUE,0.0044,0.292,0.338763702357218,0.283660677553653,8
"normalized(I(MAT^2))2","normalized(I(MAT^2))",TRUE,0.0077,0.404,0.338763702357218,0.283660677553653,8
"normalized(sqrt(TempSeas))4","normalized(sqrt(TempSeas))",TRUE,0.0103,0.344,0.338763702357218,0.283660677553653,8
"factor(accAfrica)1:normalized(sqrt(CH_Mean))","factor(accAfrica)1:normalized(sqrt(CH_Mean))",TRUE,0.0018,0.823,0.338763702357218,0.283660677553653,8
"(Intercept)4","(Intercept)",TRUE,0.032,-0.417,0.628958019628741,0.598037854597803,9
"normalized((sqrt_change))3","normalized((sqrt_change))",TRUE,0.0047,-0.274,0.628958019628741,0.598037854597803,9
"normalized(sqrt(curr_max95BodySize))2","normalized(sqrt(curr_max95BodySize))",TRUE,0,0.798,0.628958019628741,0.598037854597803,9
"normalized(sqrt(PrecSeas))4","normalized(sqrt(PrecSeas))",TRUE,0,0.883,0.628958019628741,0.598037854597803,9
"(Intercept)5","(Intercept)",TRUE,0,0.928,0.561862301731532,0.525350826875827,10
"normalized((sqrt_change))4","normalized((sqrt_change))",TRUE,0,0.623,0.561862301731532,0.525350826875827,10
"normalized(sqrt(curr_max95BodySize))3","normalized(sqrt(curr_max95BodySize))",TRUE,1e-04,-0.513,0.561862301731532,0.525350826875827,10
"normalized(sqrt(TempSeas))5","normalized(sqrt(TempSeas))",TRUE,0,-0.644,0.561862301731532,0.525350826875827,10
"(Intercept)6","(Intercept)",TRUE,0,0.947,0.628241091452867,0.597261182407273,11
"normalized((sqrt_change))5","normalized((sqrt_change))",TRUE,0.0011,0.3,0.628241091452867,0.597261182407273,11
"normalized(sqrt(curr_max95BodySize))4","normalized(sqrt(curr_max95BodySize))",TRUE,1e-04,-0.456,0.628241091452867,0.597261182407273,11
"normalized(I(MAT^2))3","normalized(I(MAT^2))",TRUE,0.017,-0.321,0.628241091452867,0.597261182407273,11
"normalized(sqrt(TempSeas))6","normalized(sqrt(TempSeas))",TRUE,2e-04,-0.46,0.628241091452867,0.597261182407273,11
"factor(accAfrica)11","factor(accAfrica)1",TRUE,0.0293,0.38,0.500313186803951,0.458672619037613,12
"normalized(I(MAT^2))4","normalized(I(MAT^2))",TRUE,3e-04,0.617,0.500313186803951,0.458672619037613,12
"factor(accAfrica)12","factor(accAfrica)1",TRUE,0.0396,-0.388,0.326594442947982,0.270477313193647,13
"normalized(sqrt(AnnualPrec))2","normalized(sqrt(AnnualPrec))",TRUE,4e-04,0.654,0.326594442947982,0.270477313193647,13
"normalized(sqrt(PrecSeas))5","normalized(sqrt(PrecSeas))",TRUE,4e-04,0.816,0.326594442947982,0.270477313193647,13
"factor(accAfrica)1:normalized(sqrt(CH_Mean))1","factor(accAfrica)1:normalized(sqrt(CH_Mean))",TRUE,0.0048,0.895,0.326594442947982,0.270477313193647,13
"(Intercept)7","(Intercept)",TRUE,0.0244,0.436,0.35638110039029,0.302746192089481,14
"normalized((sqrt_change))6","normalized((sqrt_change))",TRUE,1e-04,0.395,0.35638110039029,0.302746192089481,14
"normalized(sqrt(TempSeas))7","normalized(sqrt(TempSeas))",TRUE,0.0125,-0.315,0.35638110039029,0.302746192089481,14
"normalized(sqrt(AnnualPrec))3","normalized(sqrt(AnnualPrec))",TRUE,0.0097,0.369,0.35638110039029,0.302746192089481,14
"(Intercept)8","(Intercept)",TRUE,0,0.873,0.432412715699625,0.385113775341261,15
"normalized(sqrt(CH_Mean))","normalized(sqrt(CH_Mean))",TRUE,0.0053,0.362,0.432412715699625,0.385113775341261,15
"normalized(sqrt(TempSeas))8","normalized(sqrt(TempSeas))",TRUE,0.0016,-0.292,0.432412715699625,0.385113775341261,15
"normalized(sqrt(AnnualPrec))4","normalized(sqrt(AnnualPrec))",TRUE,0.0015,0.485,0.456613995005615,0.41133182792275,16
"normalized(sqrt(PrecSeas))6","normalized(sqrt(PrecSeas))",TRUE,0,1.081,0.456613995005615,0.41133182792275,16
"(Intercept)9","(Intercept)",TRUE,0.0036,0.618,0.459890523096096,0.41488140002077,17
"normalized((sqrt_change))7","normalized((sqrt_change))",TRUE,0.0406,0.213,0.459890523096096,0.41488140002077,17
"normalized(sqrt(curr_max95BodySize))5","normalized(sqrt(curr_max95BodySize))",TRUE,1e-04,-0.525,0.459890523096096,0.41488140002077,17
"normalized(sqrt(TempSeas))9","normalized(sqrt(TempSeas))",TRUE,0,-0.686,0.459890523096096,0.41488140002077,17
"normalized(sqrt(AnnualPrec))5","normalized(sqrt(AnnualPrec))",TRUE,0.0025,0.472,0.459890523096096,0.41488140002077,17
