"","SpecName","Area_code_L3","accGenus","PalmTribe","PalmSubfamily","AverageFruitLength_cm","accAfrica","Americas","Asia","Africa","Madagascar","Pacific","accRealm","area","region","continent","log_BBM_MCC_avg"
"1","Acanthophoenix_crinita","REU","Acanthophoenix","Areceae","Arecoideae",0.65,"1","0","0","1","0","0","Africa","Réunion","Western Indian Ocean","AFRICA",1.133
"2","Acanthophoenix_rousselii","REU","Acanthophoenix","Areceae","Arecoideae",2,"1","0","0","1","0","0","Africa","Réunion","Western Indian Ocean","AFRICA",1.13
"3","Acanthophoenix_rubra","REU","Acanthophoenix","Areceae","Arecoideae",1,"1","0","0","1","0","0","Africa","Réunion","Western Indian Ocean","AFRICA",1.14
"4","Acanthophoenix_rubra","MAU","Acanthophoenix","Areceae","Arecoideae",1,"1","0","0","1","0","0","Africa","Mauritius","Western Indian Ocean","AFRICA",1.14
"5","Acoelorrhaphe_wrightii","NIC","Acoelorrhaphe","Trachycarpeae","Coryphoideae",0.7,"0","1","0","0","0","0","Americas","Nicaragua","Central America","SOUTHERN AMERICA",1.004
"6","Acoelorrhaphe_wrightii","CLM","Acoelorrhaphe","Trachycarpeae","Coryphoideae",0.7,"0","1","0","0","0","0","Americas","Colombia","Western South America","SOUTHERN AMERICA",1.004
"7","Acoelorrhaphe_wrightii","HON","Acoelorrhaphe","Trachycarpeae","Coryphoideae",0.7,"0","1","0","0","0","0","Americas","Honduras","Central America","SOUTHERN AMERICA",1.004
"8","Acoelorrhaphe_wrightii","SWC","Acoelorrhaphe","Trachycarpeae","Coryphoideae",0.7,"0","1","0","0","0","0","Americas","Southwest Caribbean","Caribbean","SOUTHERN AMERICA",1.004
"9","Acoelorrhaphe_wrightii","FLA","Acoelorrhaphe","Trachycarpeae","Coryphoideae",0.7,"0","1","0","0","0","0","Americas","Florida","Southeastern U.S.A.","NORTHERN AMERICA",1.004
"10","Acoelorrhaphe_wrightii","GUA","Acoelorrhaphe","Trachycarpeae","Coryphoideae",0.7,"0","1","0","0","0","0","Americas","Guatemala","Central America","SOUTHERN AMERICA",1.004
"11","Acoelorrhaphe_wrightii","MXG","Acoelorrhaphe","Trachycarpeae","Coryphoideae",0.7,"0","1","0","0","0","0","Americas","Mexico Gulf","Mexico","NORTHERN AMERICA",1.004
"12","Acoelorrhaphe_wrightii","COS","Acoelorrhaphe","Trachycarpeae","Coryphoideae",0.7,"0","1","0","0","0","0","Americas","Costa Rica","Central America","SOUTHERN AMERICA",1.004
"13","Acoelorrhaphe_wrightii","CUB","Acoelorrhaphe","Trachycarpeae","Coryphoideae",0.7,"0","1","0","0","0","0","Americas","Cuba","Caribbean","SOUTHERN AMERICA",1.004
"14","Acoelorrhaphe_wrightii","BLZ","Acoelorrhaphe","Trachycarpeae","Coryphoideae",0.7,"0","1","0","0","0","0","Americas","Belize","Central America","SOUTHERN AMERICA",1.004
"15","Acoelorrhaphe_wrightii","MXT","Acoelorrhaphe","Trachycarpeae","Coryphoideae",0.7,"0","1","0","0","0","0","Americas","Mexico Southeast","Mexico","NORTHERN AMERICA",1.004
"16","Acoelorrhaphe_wrightii","BAH","Acoelorrhaphe","Trachycarpeae","Coryphoideae",0.7,"0","1","0","0","0","0","Americas","Bahamas","Caribbean","SOUTHERN AMERICA",1.004
"17","Acrocomia_aculeata","TRT","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Trinidad-Tobago","Caribbean","SOUTHERN AMERICA",1.287
"18","Acrocomia_aculeata","VEN","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Venezuela","Northern South America","SOUTHERN AMERICA",1.287
"19","Acrocomia_aculeata","VNA","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Venezuelan Antilles","Caribbean","SOUTHERN AMERICA",1.287
"20","Acrocomia_aculeata","CLM","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Colombia","Western South America","SOUTHERN AMERICA",1.287
"21","Acrocomia_aculeata","MXS","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Mexico Southwest","Mexico","NORTHERN AMERICA",1.287
"22","Acrocomia_aculeata","HON","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Honduras","Central America","SOUTHERN AMERICA",1.287
"23","Acrocomia_aculeata","MXG","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Mexico Gulf","Mexico","NORTHERN AMERICA",1.287
"24","Acrocomia_aculeata","BZL","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Brazil Southeast","Brazil","SOUTHERN AMERICA",1.287
"25","Acrocomia_aculeata","COS","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Costa Rica","Central America","SOUTHERN AMERICA",1.287
"26","Acrocomia_aculeata","LEE","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Leeward Is.","Caribbean","SOUTHERN AMERICA",1.287
"27","Acrocomia_aculeata","NIC","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Nicaragua","Central America","SOUTHERN AMERICA",1.287
"28","Acrocomia_aculeata","ELS","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","El Salvador","Central America","SOUTHERN AMERICA",1.287
"29","Acrocomia_aculeata","WIN","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Windward Is.","Caribbean","SOUTHERN AMERICA",1.287
"30","Acrocomia_aculeata","FRG","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","French Guiana","Northern South America","SOUTHERN AMERICA",1.287
"31","Acrocomia_aculeata","HAI","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Haiti","Caribbean","SOUTHERN AMERICA",1.287
"32","Acrocomia_aculeata","CUB","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Cuba","Caribbean","SOUTHERN AMERICA",1.287
"33","Acrocomia_aculeata","PAN","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Panamá","Central America","SOUTHERN AMERICA",1.287
"34","Acrocomia_aculeata","BZE","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Brazil Northeast","Brazil","SOUTHERN AMERICA",1.287
"35","Acrocomia_aculeata","BZN","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Brazil North","Brazil","SOUTHERN AMERICA",1.287
"36","Acrocomia_aculeata","BZC","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Brazil West-Central","Brazil","SOUTHERN AMERICA",1.287
"37","Acrocomia_aculeata","MXT","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Mexico Southeast","Mexico","NORTHERN AMERICA",1.287
"38","Acrocomia_aculeata","GUA","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Guatemala","Central America","SOUTHERN AMERICA",1.287
"39","Acrocomia_aculeata","GUY","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Guyana","Northern South America","SOUTHERN AMERICA",1.287
"40","Acrocomia_aculeata","BLZ","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Belize","Central America","SOUTHERN AMERICA",1.287
"41","Acrocomia_aculeata","JAM","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Jamaica","Caribbean","SOUTHERN AMERICA",1.287
"42","Acrocomia_aculeata","SUR","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Suriname","Northern South America","SOUTHERN AMERICA",1.287
"43","Acrocomia_aculeata","DOM","Acrocomia","Cocoseae","Arecoideae",4.25,"0","1","0","0","0","0","Americas","Dominican Republic","Caribbean","SOUTHERN AMERICA",1.287
"44","Acrocomia_crispa","CUB","Acrocomia","Cocoseae","Arecoideae",2.5,"0","1","0","0","0","0","Americas","Cuba","Caribbean","SOUTHERN AMERICA",1.17
"45","Acrocomia_emensis","BZL","Acrocomia","Cocoseae","Arecoideae",2,"0","1","0","0","0","0","Americas","Brazil Southeast","Brazil","SOUTHERN AMERICA",1.231
"46","Acrocomia_emensis","BZC","Acrocomia","Cocoseae","Arecoideae",2,"0","1","0","0","0","0","Americas","Brazil West-Central","Brazil","SOUTHERN AMERICA",1.231
"47","Acrocomia_emensis","BZS","Acrocomia","Cocoseae","Arecoideae",2,"0","1","0","0","0","0","Americas","Brazil South","Brazil","SOUTHERN AMERICA",1.231
"48","Acrocomia_hassleri","BZC","Acrocomia","Cocoseae","Arecoideae",2.25,"0","1","0","0","0","0","Americas","Brazil West-Central","Brazil","SOUTHERN AMERICA",1.197
"49","Acrocomia_hassleri","PAR","Acrocomia","Cocoseae","Arecoideae",2.25,"0","1","0","0","0","0","Americas","Paraguay","Southern South America","SOUTHERN AMERICA",1.197
"50","Acrocomia_intumescens","BZE","Acrocomia","Cocoseae","Arecoideae",4.6,"0","1","0","0","0","0","Americas","Brazil Northeast","Brazil","SOUTHERN AMERICA",1.358
"51","Acrocomia_totai","BOL","Acrocomia","Cocoseae","Arecoideae",3,"0","1","0","0","0","0","Americas","Bolivia","Western South America","SOUTHERN AMERICA",1.279
"52","Acrocomia_totai","BZS","Acrocomia","Cocoseae","Arecoideae",3,"0","1","0","0","0","0","Americas","Brazil South","Brazil","SOUTHERN AMERICA",1.279
"53","Acrocomia_totai","BZC","Acrocomia","Cocoseae","Arecoideae",3,"0","1","0","0","0","0","Americas","Brazil West-Central","Brazil","SOUTHERN AMERICA",1.279
"54","Acrocomia_totai","AGE","Acrocomia","Cocoseae","Arecoideae",3,"0","1","0","0","0","0","Americas","Argentina Northeast","Southern South America","SOUTHERN AMERICA",1.279
"55","Acrocomia_totai","PAR","Acrocomia","Cocoseae","Arecoideae",3,"0","1","0","0","0","0","Americas","Paraguay","Southern South America","SOUTHERN AMERICA",1.279
"56","Acrocomia_totai","AGW","Acrocomia","Cocoseae","Arecoideae",3,"0","1","0","0","0","0","Americas","Argentina Northwest","Southern South America","SOUTHERN AMERICA",1.279
"57","Actinokentia_divaricata","NWC","Actinokentia","Areceae","Arecoideae",2.6,"0","0","0","0","0","1","Pacific","New Caledonia","Southwestern Pacific","PACIFIC",1.158
"58","Actinokentia_huerlimannii","NWC","Actinokentia","Areceae","Arecoideae",3,"0","0","0","0","0","1","Pacific","New Caledonia","Southwestern Pacific","PACIFIC",1.232
"59","Actinorhytis_calapparia","SOL","Actinorhytis","Areceae","Arecoideae",10,"0","0","1","0","0","0","Asia","Solomon Is.","Papuasia","ASIA-TROPICAL",1.062
"60","Actinorhytis_calapparia","NWG","Actinorhytis","Areceae","Arecoideae",10,"0","0","1","0","0","0","Asia","New Guinea","Papuasia","ASIA-TROPICAL",1.062
"61","Adonidia_maturbongsii","NWG","Adonidia","Areceae","Arecoideae",2.3,"0","0","1","0","0","0","Asia","New Guinea","Papuasia","ASIA-TROPICAL",1.177
"62","Adonidia_merrillii","PHI","Adonidia","Areceae","Arecoideae",2.5,"0","0","1","0","0","0","Asia","Philippines","Malesia","ASIA-TROPICAL",1.138
"63","Adonidia_merrillii","BOR","Adonidia","Areceae","Arecoideae",2.5,"0","0","1","0","0","0","Asia","Borneo","Malesia","ASIA-TROPICAL",1.138
"64","Aiphanes_acanthophylla","DOM","Aiphanes","Cocoseae","Arecoideae",1.4,"0","1","0","0","0","0","Americas","Dominican Republic","Caribbean","SOUTHERN AMERICA",1.132
"65","Aiphanes_acanthophylla","PUE","Aiphanes","Cocoseae","Arecoideae",1.4,"0","1","0","0","0","0","Americas","Puerto Rico","Caribbean","SOUTHERN AMERICA",1.132
"66","Aiphanes_acaulis","CLM","Aiphanes","Cocoseae","Arecoideae",1,"0","1","0","0","0","0","Americas","Colombia","Western South America","SOUTHERN AMERICA",1.15
"67","Aiphanes_bicornis","ECU","Aiphanes","Cocoseae","Arecoideae",0.6,"0","1","0","0","0","0","Americas","Ecuador","Western South America","SOUTHERN AMERICA",1.141
"68","Aiphanes_chiribogensis","ECU","Aiphanes","Cocoseae","Arecoideae",1.1,"0","1","0","0","0","0","Americas","Ecuador","Western South America","SOUTHERN AMERICA",1.2
"69","Aiphanes_deltoidea","BZN","Aiphanes","Cocoseae","Arecoideae",1.3,"0","1","0","0","0","0","Americas","Brazil North","Brazil","SOUTHERN AMERICA",1.12
"70","Aiphanes_deltoidea","CLM","Aiphanes","Cocoseae","Arecoideae",1.3,"0","1","0","0","0","0","Americas","Colombia","Western South America","SOUTHERN AMERICA",1.12
"71","Aiphanes_deltoidea","PER","Aiphanes","Cocoseae","Arecoideae",1.3,"0","1","0","0","0","0","Americas","Peru","Western South America","SOUTHERN AMERICA",1.12
"72","Aiphanes_duquei","CLM","Aiphanes","Cocoseae","Arecoideae",1.05,"0","1","0","0","0","0","Americas","Colombia","Western South America","SOUTHERN AMERICA",1.128
"73","Aiphanes_eggersii","ECU","Aiphanes","Cocoseae","Arecoideae",1.75,"0","1","0","0","0","0","Americas","Ecuador","Western South America","SOUTHERN AMERICA",1.095
"74","Aiphanes_erinacea","ECU","Aiphanes","Cocoseae","Arecoideae",0.75,"0","1","0","0","0","0","Americas","Ecuador","Western South America","SOUTHERN AMERICA",1.171
"75","Aiphanes_erinacea","CLM","Aiphanes","Cocoseae","Arecoideae",0.75,"0","1","0","0","0","0","Americas","Colombia","Western South America","SOUTHERN AMERICA",1.171
"76","Aiphanes_gelatinosa","ECU","Aiphanes","Cocoseae","Arecoideae",1.5,"0","1","0","0","0","0","Americas","Ecuador","Western South America","SOUTHERN AMERICA",1.094
"77","Aiphanes_gelatinosa","CLM","Aiphanes","Cocoseae","Arecoideae",1.5,"0","1","0","0","0","0","Americas","Colombia","Western South America","SOUTHERN AMERICA",1.094
"78","Aiphanes_graminifolia","CLM","Aiphanes","Cocoseae","Arecoideae",0.5,"0","1","0","0","0","0","Americas","Colombia","Western South America","SOUTHERN AMERICA",1.034
"79","Aiphanes_grandis","ECU","Aiphanes","Cocoseae","Arecoideae",2.15,"0","1","0","0","0","0","Americas","Ecuador","Western South America","SOUTHERN AMERICA",1.154
"80","Aiphanes_hirsuta","PAN","Aiphanes","Cocoseae","Arecoideae",1.35,"0","1","0","0","0","0","Americas","Panamá","Central America","SOUTHERN AMERICA",1.183
"81","Aiphanes_hirsuta","ECU","Aiphanes","Cocoseae","Arecoideae",1.35,"0","1","0","0","0","0","Americas","Ecuador","Western South America","SOUTHERN AMERICA",1.183
"82","Aiphanes_hirsuta","CLM","Aiphanes","Cocoseae","Arecoideae",1.35,"0","1","0","0","0","0","Americas","Colombia","Western South America","SOUTHERN AMERICA",1.183
"83","Aiphanes_hirsuta","COS","Aiphanes","Cocoseae","Arecoideae",1.35,"0","1","0","0","0","0","Americas","Costa Rica","Central America","SOUTHERN AMERICA",1.183
"84","Aiphanes_horrida","CLM","Aiphanes","Cocoseae","Arecoideae",1.95,"0","1","0","0","0","0","Americas","Colombia","Western South America","SOUTHERN AMERICA",1.17
"85","Aiphanes_horrida","TRT","Aiphanes","Cocoseae","Arecoideae",1.95,"0","1","0","0","0","0","Americas","Trinidad-Tobago","Caribbean","SOUTHERN AMERICA",1.17
"86","Aiphanes_horrida","BZN","Aiphanes","Cocoseae","Arecoideae",1.95,"0","1","0","0","0","0","Americas","Brazil North","Brazil","SOUTHERN AMERICA",1.17
"87","Aiphanes_horrida","BOL","Aiphanes","Cocoseae","Arecoideae",1.95,"0","1","0","0","0","0","Americas","Bolivia","Western South America","SOUTHERN AMERICA",1.17
"88","Aiphanes_horrida","PER","Aiphanes","Cocoseae","Arecoideae",1.95,"0","1","0","0","0","0","Americas","Peru","Western South America","SOUTHERN AMERICA",1.17
"89","Aiphanes_horrida","VEN","Aiphanes","Cocoseae","Arecoideae",1.95,"0","1","0","0","0","0","Americas","Venezuela","Northern South America","SOUTHERN AMERICA",1.17
"90","Aiphanes_lindeniana","CLM","Aiphanes","Cocoseae","Arecoideae",1.5,"0","1","0","0","0","0","Americas","Colombia","Western South America","SOUTHERN AMERICA",1.147
"91","Aiphanes_linearis","CLM","Aiphanes","Cocoseae","Arecoideae",4.5,"0","1","0","0","0","0","Americas","Colombia","Western South America","SOUTHERN AMERICA",1.129
"92","Aiphanes_macroloba","CLM","Aiphanes","Cocoseae","Arecoideae",1,"0","1","0","0","0","0","Americas","Colombia","Western South America","SOUTHERN AMERICA",1.201
"93","Aiphanes_macroloba","ECU","Aiphanes","Cocoseae","Arecoideae",1,"0","1","0","0","0","0","Americas","Ecuador","Western South America","SOUTHERN AMERICA",1.201
"94","Aiphanes_minima","WIN","Aiphanes","Cocoseae","Arecoideae",1.4,"0","1","0","0","0","0","Americas","Windward Is.","Caribbean","SOUTHERN AMERICA",1.13
"95","Aiphanes_multiplex","CLM","Aiphanes","Cocoseae","Arecoideae",1.6,"0","1","0","0","0","0","Americas","Colombia","Western South America","SOUTHERN AMERICA",1.087
"96","Aiphanes_parvifolia","CLM","Aiphanes","Cocoseae","Arecoideae",0.85,"0","1","0","0","0","0","Americas","Colombia","Western South America","SOUTHERN AMERICA",1.154
"97","Aiphanes_pilaris","CLM","Aiphanes","Cocoseae","Arecoideae",4.7,"0","1","0","0","0","0","Americas","Colombia","Western South America","SOUTHERN AMERICA",1.126
"98","Aiphanes_simplex","CLM","Aiphanes","Cocoseae","Arecoideae",0.9,"0","1","0","0","0","0","Americas","Colombia","Western South America","SOUTHERN AMERICA",1.134
"99","Aiphanes_spicata","PER","Aiphanes","Cocoseae","Arecoideae",1,"0","1","0","0","0","0","Americas","Peru","Western South America","SOUTHERN AMERICA",1.159
"100","Aiphanes_tricuspidata","ECU","Aiphanes","Cocoseae","Arecoideae",0.75,"0","1","0","0","0","0","Americas","Ecuador","Western South America","SOUTHERN AMERICA",1.19
"101","Aiphanes_tricuspidata","CLM","Aiphanes","Cocoseae","Arecoideae",0.75,"0","1","0","0","0","0","Americas","Colombia","Western South America","SOUTHERN AMERICA",1.19
"102","Aiphanes_ulei","BZN","Aiphanes","Cocoseae","Arecoideae",0.7,"0","1","0","0","0","0","Americas","Brazil North","Brazil","SOUTHERN AMERICA",1.175
"103","Aiphanes_ulei","ECU","Aiphanes","Cocoseae","Arecoideae",0.7,"0","1","0","0","0","0","Americas","Ecuador","Western South America","SOUTHERN AMERICA",1.175
"104","Aiphanes_ulei","PER","Aiphanes","Cocoseae","Arecoideae",0.7,"0","1","0","0","0","0","Americas","Peru","Western South America","SOUTHERN AMERICA",1.175
"105","Aiphanes_ulei","CLM","Aiphanes","Cocoseae","Arecoideae",0.7,"0","1","0","0","0","0","Americas","Colombia","Western South America","SOUTHERN AMERICA",1.175
"106","Aiphanes_verrucosa","ECU","Aiphanes","Cocoseae","Arecoideae",2.25,"0","1","0","0","0","0","Americas","Ecuador","Western South America","SOUTHERN AMERICA",1.187
