"","LEVEL_3_CO","LAT","LONG","accAfrica","max95FL_palms","max95FW_angios","log_max95FL_palms_BBM_MCC","curr_max95BodySize","mean_abs_BSchange","presNat_max95BodySize","mean_perc_BSchange","MAT","TempSeas","AnnualPrec","PrecSeas","CH_Mean","CH_PercCover","accRealm"
"1","AGE",-32.60227282,-61.25823213,"0",3.31643080168844,5.14502879710547,1.4189,24021.9531244847,423667.2,2760957.63727251,98.18,178.398582416149,4881.40373795638,43.7573662995304,928.862564805354,9.04206,0.069740994,"Americas"
"2","ALA",32.79389912,-86.82906784,"0",2.04242106606891,4.27693839996475,1.25165,19483.0460285502,816912.63,7457044.50523858,98.95,175.382904436145,6892.91639525521,20.2364168194235,1416.78457064366,19.1693,0.462899074,"Americas"
"3","AND",12.27981668,92.78133014,"0",2.5,7.86986034614774,1.2664,10969.6724349857,0,10969.6724349857,0,270.692228176251,631.848786816202,74.6535022761857,3005.15324753068,17.4901,0.019305754,"Asia"
"4","ANG",-12.33575541,17.57181621,"1",8.06740317699427,8.4680654721282,1.2782,77839.95628211,5096.2,108593.853417217,7.49,214.410469671614,1616.00299408872,92.1032016935476,1060.72699420561,10.0415,0.123677447,"Africa"
"5","ASS",25.48271994,92.85194347,"0",6.04642388094687,5.59579235178758,1.2732,95829.4756953663,106605.05,1565105.95897347,56.4,227.327178352141,3857.8038177803,84.6117826804942,2675.3077190511,28.9115,0.479153934,"Asia"
"6","BAH",24.1666829,-76.5004385,"0",1.33930078910471,8.46445590381283,1.4723,540.314592648854,0,540.314592648854,0,256.61868810152,2127.44721158205,53.5567493768215,1065.47525652682,16.0766,0.224166324,"Americas"
"7","BAN",23.8330072,90.27092576,"0",5.34805187862534,5.94911256157926,1.2798,94277.4796746688,80368.35,1458534.30649873,47.08,253.650111228762,3727.88564478602,91.0644844270871,2407.00770735857,20.1772,0.116903381,"Asia"
"8","BEN",9.647649967,2.343262705,"1",12.9747724684509,11.5,1.291,70741.1103144473,11323.22,74880.4317595605,11.38,270.41670697631,1847.52888476326,90.679546990936,1079.54822054883,3.68083,0.036711446,"Africa"
"9","BIS",-4.936891376,150.6265362,"0",5.30270240807009,5.85624000886996,1.3151,4019.96753350336,-0.89,4019.96753350336,-0.11,243.609322815616,329.340476820183,33.0495073451021,4267.12986172298,23.1695,0.541679884,"Asia"
"10","BKN",12.27793715,-1.739835211,"1",14.0287267173393,8.39910353589148,1.28,75854.2213014612,213830.51,1190671.72863331,60.27,283.32903146042,2484.15419893871,115.584520888626,773.936797670944,2.03509,0.01089305,"Africa"
"11","BLZ",17.21852829,-88.68278545,"0",4.28467596924609,8.00883084647388,1.375,9727.74125747406,366257.4,1e+06,98.07,251.040023517206,1418.94056049763,52.5302328513938,2074.08955168166,20.5542,0.811592036,"Americas"
"12","BOL",-16.71510989,-64.67054847,"0",7.60799408303112,7.5,1.33675,13900.2341273668,233772.05,1615155.803517,98.33,197.00581864323,1874.36939953664,75.2193887780903,1204.93912655683,17.5065,0.404208085,"Americas"
"13","BOR",0.867901314,114.2000407,"0",4.71849375432879,6.86,1.30645,15925.8,281.96,44074.2943853254,0.59,253.720005666328,301.359673044541,22.2509350352529,3102.45100372762,17.9902,0.918963442,"Asia"
"14","BUR",-3.356297118,29.88682139,"1",10.2598483986732,7,1.1932,72373.2055050031,3887.64,95087.1904888756,4.6,200.521962473827,1010.86470870296,61.7650375707429,1225.50856820036,15.2743,0.051225817,"Africa"
"15","BZC",-15.29798685,-54.29443591,"0",6.78748186266905,6.90349734010404,1.396,7863.04663173767,213581.73,1175537.86478312,98.39,246.211415777283,1247.87514949075,71.1477816573725,1660.23383308064,16.0749,0.209899662,"Americas"
"16","BZE",-8.635173197,-41.72952595,"0",9,7.71320877612863,1.3616,11310.5402994425,208627.93,1143251.84709815,98.19,258.283205385107,1147.39409797981,79.1875610696953,1019.5779549055,14.0524,0.089053627,"Americas"
"17","BZL",-19.72534419,-45.48097446,"0",8.56182225465505,7,1.3825,15259.4671185544,213742.89,1277970.28287323,98.2,223.305148352007,1820.47777640259,72.7001495835786,1304.30602815487,20.0023,0.068642144,"Americas"
"18","BZN",-4.63062382,-59.25073898,"0",7.5,8.25,1.34325,6770.89667047173,108530.7,150000,97.66,253.975265084362,613.972677792161,53.4209461760472,2251.14443088801,17.3043,0.816585191,"Americas"
"19","BZS",-27.56813717,-52.26178711,"0",5.5,5.72925529604628,1.3836,23023.6501246001,358449.4,2535142.60156185,98.22,190.665739157734,3434.67351129792,18.8660160219018,1648.49378046188,23.4013,0.236725923,"Americas"
"20","CAB",-5.041229577,12.46228731,"1",7.97700711185106,12,1.262,71867.0516149728,-1560.25,71741.0672172266,-1.5,245.219664484008,1438.64580419445,78.0129771166232,1177.60073260073,17.7889,0.788158274,"Africa"
"21","CAF",6.571453422,20.48278081,"1",11.6596998943569,10.5761407933174,1.2817,83889.7722346596,9067.24,83889.7722346596,10.83,248.802501209612,1414.88447624558,77.3803831526867,1366.95275192841,18.2812,0.105557872,"Africa"
"22","CBD",12.71402994,104.9212396,"0",7.04846199441542,5.5,1.2944,91659.7352002298,33364.82,623904.738375505,26.94,268.595690464552,1020.16430959248,80.7674816141408,1872.27202007183,18.1,0.416536693,"Asia"
"23","CHA",15.3611457,18.66460339,"1",10.81500555133,8.85246450921943,1.1828,191812.070895295,194309.16,1190671.72863331,53.59,267.577533293769,4154.49110308508,173.000524973391,313.178029766123,2.82206,0.015624481,"Africa"
"24","CHC",28.51736916,104.6408898,"0",5.25883094332759,5.5,1.2668,24603.8451570016,247711.16,1395645.54601746,86.95,127.09690789638,6189.89963236594,78.5094860966299,1060.72638370717,28.9272,0.388385862,"Asia"
"25","CHH",19.20103623,109.7420098,"0",3,5.58372765790451,1.3424,48093.4423706989,32.81,44862.1101614122,0.38,239.698806011743,3337.34151342399,72.9127790288089,1738.73914704618,24.293,0.295861167,"Asia"
"26","CHS",28.08959356,114.4271369,"0",3.1663041568704,5.80367762648616,1.31015,12112.4416288295,333747.75,1784770.34341762,98.72,178.508702926194,7469.62552970945,61.8171205118176,1419.94933789776,24.4796,0.341456831,"Asia"
"27","CHT",31.712301,88.11841654,"0",2.91906703057529,2.40948866163208,1.2707,173517.20266258,169460.36,1727011.61309965,66.11,-30.1274360524684,7417.20862268449,113.884286342241,410.973244758223,33.7216,0.009985363,"Asia"
"28","CLM",3.899947514,-73.07536081,"0",7.5,8.12041316553022,1.3264,9669.13724184967,65478.48,105540.662099485,92.66,232.239870476894,471.329934089856,41.3464568454686,2856.97136703341,16.781,0.649436837,"Americas"
"29","CMN",5.68580436,12.7432535,"1",8.84915568068481,10,1.308,53199.6612715503,8384.12,71114.4502934975,13.79,237.437959835421,1279.36973300731,74.8607770747388,1677.18242620264,20.1702,0.49465377,"Africa"
"30","COM",-12.08514902,43.97955695,"1",7.56962447247576,9.80630717024558,1.25575,573.803827013436,0,573.803827013436,0,242.32128673799,1117.12336596123,64.4212179447069,2125.92483006797,20.6124,0.046203764,"Africa"
"31","CON",-0.840066027,15.22427459,"1",8.96204955486414,11.5,1.301,61790.5638811547,7904.9,71867.0516149728,11.65,239.042940665642,671.174103099601,50.5334822258762,1600.31817730419,18.6136,0.714426131,"Africa"
"32","COS",9.97052135,-84.18903867,"0",3.49698836536212,7.46195756366656,1.2988,7086.55354990745,250956.49,109939.952585892,98.08,233.88231580553,505.85485382796,55.6118466012729,3073.27060203542,21.6611,0.443642093,"Americas"
"33","CRL",7.212482218,146.7096536,"0",8.88085964645451,10,1.2785,319.256567692974,36.99,410.418722645179,16.97,271.822392285086,151.562787600039,19.2951498148843,4360.65943600868,NA,NA,"Pacific"
"34","CUB",21.62013286,-79.0352374,"0",2.5,9.84550149020803,1.3818,6628.90803467998,13924.03,87271.8697164438,88.53,251.387233137961,1713.18195316874,57.6989871585487,1322.52640446979,24.0513,0.174888407,"Americas"
"35","DJI",11.7498128,42.5779403,"1",5.0884213032821,2.67740766714751,1.1284,52951.9356695902,729687.28,4946418.75903601,98.33,280.546252942991,3423.05651889839,62.3749715763881,183.208470201783,NA,NA,"Africa"
"36","DOM",18.89309386,-70.48543447,"0",3.00758935343027,9.93105546339011,1.4428,761.312147110936,12328.19,50703.2509226259,96.88,239.736046538071,1259.02765658595,41.7986776712714,1368.31837434449,19.8836,0.342853271,"Americas"
"37","ECU",-1.452912352,-78.39320786,"0",7,8.20514769306108,1.31675,9762.09538028478,80325.63,141307.886574468,94.37,202.379744344183,504.3085097822,49.7991191381324,2200.64101129223,19.4683,0.625712647,"Americas"
"38","EHM",27.77772472,92.89621011,"0",5.68063488599444,5.53094440686492,1.2758,99822.1643755778,155534.66,1652542.44165727,67.52,122.429928868982,5082.93779918485,83.2062151759797,2452.89420536807,39.0494,0.657353103,"Asia"
"39","ELS",13.73614532,-88.86560674,"0",4.96343083271947,9.07590802774012,1.3113,7520.95419898746,384589.25,1229358.70321977,98.21,251.122536410629,709.173120211812,94.4596031916205,1550.62517663208,23.4014,0.145759525,"Americas"
"40","EQG",1.567924247,10.47599925,"1",5.96419392262606,11.2189683382108,1.3155,55921.6483506246,0,55921.6483506246,0,230.464168796013,645.228647424704,57.6528684390153,2486.74670193761,20.609,0.949684076,"Africa"
