"","x"
"1","Asparagus_setaceus"
"2","Vitis_vinifera"
"3","Hedera_helix"
"4","Myrcia_splendens"
"5","Galium_hypocarpium"
"6","Ficus_adhatodifolia"
"7","Luffa_aegyptiaca"
"8","Ocotea_puberula"
"9","Cissampelos_pareira"
"10","Chrysophyllum_gonocarpum"
"11","Geoffroea_spinosa"
"12","Ligustrum_lucidum"
"13","Ficus_luschnathiana"
"14","Myrsine_coriacea"
"15","Solanum_megalochiton"
"16","Randia_armata"
"17","Hamelia_patens"
"18","Symplocos_celastrinea"
"19","Psidium_guajava"
"20","Acacia_melanoxylon"
"21","Psychotria_suterella"
"22","Rubus_ulmifolius"
"23","Miconia_discolor"
"24","Casearia_sylvestris"
"25","Xylopia_brasiliensis"
"26","Maclura_tinctoria"
"27","Psychotria_leiocarpa"
"28","Annona_emarginata"
"29","Solanum_americanum"
"30","Ficus_eximia"
"31","Cabralea_canjerana"
"32","Olea_europaea"
"33","Andira_inermis"
"34","Campomanesia_guazumifolia"
"35","Diospyros_inconstans"
"36","Araucaria_angustifolia"
"37","Casearia_decandra"
"38","Paullinia_pinnata"
"39","Banara_tomentosa"
"40","Plinia_edulis"
"41","Cryptocarya_aschersoniana"
"42","Guazuma_ulmifolia"
"43","Rhamnus_cathartica"
"44","Citharexylum_myrianthum"
"45","Psychotria_carthagenensis"
"46","Holocalyx_balansae"
"47","Celtis_iguanaea"
"48","Inga_marginata"
"49","Zanthoxylum_riedelianum"
"50","Chiococca_alba"
"51","Ficus_obtusiuscula"
"52","Myrsine_umbellata"
"53","Eugenia_pyriformis"
"54","Melia_azedarach"
"55","Styrax_leprosus"
"56","Miconia_pusilliflora"
"57","Senna_hirsuta"
"58","Citrullus_lanatus"
"59","Eugenia_florida"
"60","Lacistema_aggregatum"
"61","Vachellia_nilotica"
"62","Ilex_theezans"
"63","Chamissoa_altissima"
"64","Ficus_citrifolia"
"65","Sideroxylon_obtusifolium"
"66","Phytolacca_americana"
"67","Matayba_elaeagnoides"
"68","Cecropia_pachystachya"
"69","Jacaratia_spinosa"
"70","Vassobia_breviflora"
"71","Casearia_lasiophylla"
"72","Palicourea_tomentosa"
"73","Prunus_brasiliensis"
"74","Eugenia_uniflora"
"75","Cardiospermum_grandiflorum"
"76","Varronia_curassavica"
"77","Chrysophyllum_marginatum"
"78","Margaritaria_nobilis"
"79","Trichilia_catigua"
"80","Ananas_comosus"
"81","Sloanea_hirsuta"
"82","Trichilia_pallida"
"83","Strychnos_brasiliensis"
"84","Myoporum_laetum"
"85","Piper_aduncum"
"86","Miconia_calvescens"
"87","Solanum_caavurana"
"88","Pereskia_aculeata"
"89","Guarea_kunthiana"
"90","Senna_alata"
"91","Garcinia_gardneriana"
"92","Enterolobium_contortisiliquum"
"93","Pouteria_salicifolia"
"94","Arum_italicum"
"95","Lycianthes_pauciflora"
"96","Schinus_molle"
"97","Morus_alba"
"98","Eugenia_hiemalis"
"99","Symplocos_uniflora"
"100","Psidium_guineense"
"101","Campomanesia_guaviroba"
"102","Campomanesia_xanthocarpa"
"103","Alchornea_triplinervia"
"104","Annona_neosalicifolia"
"105","Erythroxylum_deciduum"
"106","Casearia_gossypiosperma"
"107","Trichilia_elegans"
"108","Vitex_cymosa"
"109","Hordeum_murinum"
"110","Cupania_vernalis"
"111","Alchornea_glandulosa"
"112","Ximenia_americana"
"113","Cordia_ecalyculata"
"114","Eugenia_uruguayensis"
"115","Cascabela_thevetia"
"116","Senna_obtusifolia"
"117","Erythroxylum_argentinum"
"118","Phytolacca_dioica"
"119","Eugenia_punicifolia"
"120","Psidium_nutans"
"121","Hedychium_coronarium"
"122","Cestrum_bracteatum"
"123","Bromelia_balansae"
"124","Celtis_australis"
"125","Casearia_obliqua"
"126","Crateva_tapia"
"127","Myrcia_palustris"
"128","Vitex_megapotamica"
"129","Inga_laurina"
"130","Palicourea_crocea"
"131","Ligustrum_sinense"
"132","Guarea_macrophylla"
"133","Pyracantha_angustifolia"
"134","Physalis_pubescens"
"135","Miconia_cinerascens"
"136","Epiphyllum_phyllanthus"
"137","Melothria_pendula"
"138","Drimys_brasiliensis"
"139","Calophyllum_brasiliense"
"140","Prunus_mahaleb"
"141","Ocotea_floribunda"
"142","Nectandra_lanceolata"
"143","Zanthoxylum_fagara"
"144","Hovenia_dulcis"
"145","Solanum_sanctae-catharinae"
"146","Schoepfia_brasiliensis"
"147","Urera_baccifera"
"148","Piper_amalago"
"149","Sapium_glandulosum"
"150","Ilex_dumosa"
"151","Solanum_pseudoquina"
"152","Copaifera_langsdorffii"
"153","Miconia_collatata"
"154","Eugenia_involucrata"
"155","Ilex_paraguariensis"
"156","Passiflora_edulis"
"157","Sorocea_bonplandii"
"158","Coussarea_contracta"
"159","Tetrorchidium_rubrivenium"
"160","Miconia_elegans"
"161","Cissus_spinosa"
"162","Guarea_guidonia"
"163","Zanthoxylum_rhoifolium"
"164","Lagenaria_siceraria"
"165","Ocotea_pulchella"
"166","Passiflora_alata"
"167","Cryptocarya_moschata"
"168","Sapindus_saponaria"
"169","Dendropanax_cuneatus"
"170","Aleurites_moluccanus"
"171","Momordica_charantia"
"172","Genipa_americana"
"173","Annona_rugulosa"
"174","Allophylus_edulis"
"175","Melothria_campestris"
"176","Ilex_affinis"
"177","Atriplex_semibaccata"
"178","Ocotea_diospyrifolia"
"179","Symplocos_tetrandra"
"180","Alchornea_sidifolia"
"181","Solanum_viarum"
"182","Eugenia_subterminalis"
"183","Sapium_haematospermum"
"184","Solanum_sisymbriifolium"
"185","Ilex_brevicuspis"
"186","Cardiospermum_halicacabum"
"187","Alliaria_petiolata"
"188","Caulophyllum_thalictroides"
"189","Viburnum_acerifolium"
"190","Celtis_occidentalis"
"191","Pyracantha_coccinea"
"192","Sambucus_canadensis"
"193","Euonymus_europaeus"
"194","Ilex_cornuta"
"195","Ficus_carica"
"196","Solanum_torvum"
"197","Solanum_nigrum"
"198","Photinia_serratifolia"
"199","Smilax_tamnoides"
"200","Ilex_vomitoria"
"201","Vitis_vulpina"
"202","Menispermum_canadense"
"203","Ecballium_elaterium"
"204","Dichrostachys_cinerea"
"205","Juniperus_communis"
"206","Nandina_domestica"
"207","Prunus_serotina"
"208","Viburnum_bracteatum"
"209","Cornus_florida"
"210","Convallaria_majalis"
"211","Ligustrum_vulgare"
"212","Viburnum_prunifolium"
"213","Ilex_opaca"
"214","Euonymus_atropurpureus"
"215","Rosa_canina"
"216","Asimina_angustifolia"
"217","Asimina_triloba"
"218","Parthenocissus_quinquefolia"
"219","Phoradendron_leucarpum"
"220","Prunus_persica"
"221","Malvaviscus_arboreus"
"222","Celastrus_orbiculatus"
"223","Viburnum_dentatum"
"224","Polygonatum_biflorum"
"225","Ilex_decidua"
"226","Viburnum_nudum"
"227","Smilax_lasioneura"
"228","Lindera_benzoin"
"229","Arisaema_triphyllum"
"230","Ficus_benjamina"
"231","Canarium_euphyllum"
"232","Ochrosia_oppositifolia"
"233","Ficus_religiosa"
"234","Leea_guineensis"
"235","Ficus_sundaica"
"236","Lepisanthes_rubiginosa"
"237","Albizia_chinensis"
"238","Adenanthera_pavonina"
"239","Musa_acuminata"
"240","Hunteria_zeylanica"
"241","Ficus_microcarpa"
"242","Carissa_spinarum"
"243","Aglaia_lawii"
"244","Ficus_nervosa"
"245","Annona_squamosa"
"246","Terminalia_catappa"
"247","Tinospora_cordifolia"
"248","Sandoricum_koetjape"
"249","Ziziphus_oenopolia"
"250","Syzygium_cumini"
"251","Morinda_citrifolia"
"252","Phyllanthus_reticulatus"
"253","Ficus_punctata"
"254","Anamirta_cocculus"
"255","Barringtonia_racemosa"
"256","Macrosolen_cochinchinensis"
"257","Dimocarpus_longan"
"258","Eugenia_roxburghii"
"259","Pandanus_tectorius"
"260","Hypserpa_nitida"
"261","Syzygium_jambos"
"262","Uvaria_micrantha"
"263","Monoon_simiarum"
"264","Gmelina_arborea"
"265","Cissus_quadrangularis"
"266","Dysoxylum_excelsum"
"267","Chionanthus_ramiflorus"
"268","Uvaria_rufa"
"269","Bridelia_tomentosa"
"270","Gmelina_asiatica"
"271","Psychotria_adenophylla"
"272","Sterculia_guttata"
"273","Capparis_sepiaria"
"274","Artabotrys_hexapetalus"
"275","Diploclisia_glaucescens"
"276","Hernandia_nymphaeifolia"
"277","Glycosmis_pentaphylla"
"278","Acacia_auriculiformis"
"279","Bridelia_stipularis"
"280","Ficus_glaberrima"
"281","Zanthoxylum_rhetsa"
"282","Dracontomelon_dao"
"283","Artocarpus_gomezianus"
"284","Pometia_pinnata"
"285","Guilandina_bonduc"
"286","Dendrocnide_sinuata"
"287","Walsura_pinnata"
"288","Ligustrum_confusum"
"289","Walsura_robusta"
"290","Pipturus_argenteus"
"291","Averrhoa_carambola"
"292","Piper_ribesioides"
"293","Lannea_coromandelica"
"294","Mimusops_elengi"
"295","Annona_muricata"
"296","Lasianthus_hirsutus"
"297","Magnolia_champaca"
"298","Baccaurea_ramiflora"
"299","Ixora_barbata"
"300","Dysoxylum_cyrtobotryum"
"301","Coffea_arabica"
"302","Muntingia_calabura"
"303","Polyscias_fruticosa"
"304","Albizia_lebbeck"
"305","Garcinia_dulcis"
"306","Stephania_japonica"
"307","Ficus_hispida"
"308","Ganophyllum_falcatum"
"309","Ochna_integerrima"
"310","Psydrax_dicoccos"
"311","Premna_serratifolia"
"312","Ficus_racemosa"
"313","Discospermum_abnorme"
"314","Azadirachta_indica"
"315","Ficus_tinctoria"
"316","Litchi_chinensis"
"317","Ficus_virens"
"318","Annona_glabra"
"319","Calophyllum_inophyllum"
"320","Allophylus_cobbe"
"321","Mezzettia_parviflora"
"322","Aglaia_spectabilis"
"323","Momordica_cochinchinensis"
"324","Couroupita_guianensis"
"325","Ficus_variegata"
"326","Jasminum_angustifolium"
"327","Lasianthus_verticillatus"
"328","Aphanamixis_polystachya"
"329","Litsea_glutinosa"
"330","Miliusa_horsfieldii"
"331","Decaspermum_parviflorum"
"332","Chassalia_curviflora"
"333","Neolamarckia_cadamba"
"334","Mischocarpus_pentapetalus"
"335","Ficus_geniculata"
"336","Buchanania_arborescens"
"337","Coccinia_grandis"
"338","Cassytha_filiformis"
"339","Pavetta_indica"
"340","Lepisanthes_senegalensis"
"341","Antiaris_toxicaria"
"342","Pithecellobium_dulce"
"343","Schleichera_oleosa"
"344","Artocarpus_heterophyllus"
"345","Barringtonia_asiatica"
"346","Monoon_longifolium"
"347","Casearia_grewiifolia"
"348","Ziziphus_mauritiana"
"349","Senegalia_pennata"
"350","Celtis_philippensis"
"351","Aglaia_elaeagnoidea"
"352","Diospyros_kurzii"
"353","Ficus_annulata"
"354","Trichosanthes_tricuspidata"
"355","Leea_indica"
"356","Breynia_vitis-idaea"
"357","Garcinia_cowa"
"358","Careya_arborea"
"359","Macaranga_denticulata"
"360","Memecylon_umbellatum"
"361","Melastoma_malabathricum"
"362","Salacia_chinensis"
"363","Anacardium_occidentale"
"364","Celtis_timorensis"
"365","Ficus_benghalensis"
"366","Elaeagnus_conferta"
"367","Jasminum_elongatum"
"368","Mangifera_indica"
"369","Cinnamomum_bejolghota"
"370","Asparagus_racemosus"
"371","Endocomia_macrocoma"
"372","Guettarda_speciosa"
"373","Dysoxylum_gotadhora"
"374","Murraya_paniculata"
"375","Annona_reticulata"
"376","Intsia_palembanica"
"377","Lasianthus_chrysoneurus"
"378","Picrasma_javanica"
"379","Mallotus_philippensis"
"380","Spondias_pinnata"
"381","Balakata_baccata"
"382","Rauvolfia_tetraphylla"
"383","Bischofia_javanica"
"384","Maesa_ramentacea"
"385","Claoxylon_indicum"
"386","Saraca_asoca"
"387","Chloranthus_elatior"
"388","Aidia_densiflora"
"389","Adenia_heterophylla"
"390","Excoecaria_agallocha"
"391","Flagellaria_indica"
"392","Antidesma_bunius"
"393","Cerbera_odollam"
"394","Aglaia_argentea"
"395","Cananga_odorata"
"396","Maasia_glauca"
"397","Dysoxylum_densiflorum"
"398","Cordia_subcordata"
"399","Ternstroemia_wallichiana"
"400","Heteropanax_fragrans"
"401","Cerbera_manghas"
"402","Albizia_procera"
"403","Podocarpus_neriifolius"
"404","Gnetum_montanum"
"405","Cissus_aristata"
"406","Cordia_dichotoma"
"407","Micromelum_integerrimum"
"408","Callicarpa_arborea"
"409","Planchonella_longipetiolata"
"410","Alyxia_reinwardtii"
"411","Ficus_rumphii"
"412","Ficus_stricta"
"413","Lasianthus_attenuatus"
"414","Uvaria_littoralis"
"415","Kopsia_fruticosa"
"416","Kopsia_arborea"
"417","Mussaenda_macrophylla"
"418","Garcinia_merguensis"
"419","Celastrus_paniculatus"
"420","Theobroma_cacao"
"421","Bhesa_robusta"
"422","Vitex_glabrata"
"423","Acronychia_pedunculata"
"424","Ficus_altissima"
"425","Carallia_brachiata"
"426","Pycnarrhena_lucida"
"427","Codiocarpus_andamanicus"
"428","Dysoxylum_alliaceum"
"429","Cajanus_cajan"
"430","Sterculia_villosa"
"431","Rourea_minor"
"432","Mischocarpus_sundaicus"
"433","Dysoxylum_arborescens"
"434","Saraca_indica"
"435","Ardisia_oxyphylla"
"436","Albizia_retusa"
"437","Anaxagorea_luzonensis"
"438","Anaxagorea_javanica"
"439","Ficus_sagittata"
"440","Ceiba_pentandra"
"441","Macaranga_tanarius"
"442","Antidesma_montanum"
"443","Lepisanthes_tetraphylla"
"444","Jasminum_fluminense"
"445","Monodora_tenuifolia"
"446","Ficus_cyathistipula"
"447","Opilia_amentacea"
"448","Rhamnus_prinoides"
"449","Mimusops_zeyheri"
"450","Clausena_anisata"
"451","Adansonia_digitata"
"452","Ficus_sansibarica"
"453","Trichilia_dregeana"
"454","Diospyros_dendo"
"455","Vitex_mombassae"
"456","Solanum_aculeastrum"
"457","Funtumia_africana"
"458","Searsia_longipes"
"459","Psydrax_kraussioides"
"460","Tabernaemontana_pachysiphon"
"461","Flacourtia_indica"
"462","Euclea_divinorum"
"463","Boscia_albitrunca"
"464","Uapaca_sansibarica"
"465","Treculia_africana"
"466","Uapaca_kirkiana"
"467","Myrsine_melanophloeos"
"468","Ficus_craterostoma"
"469","Diospyros_ferrea"
"470","Myrianthus_arboreus"
"471","Grewia_flava"
"472","Piper_umbellatum"
"473","Monodora_myristica"
"474","Antidesma_venosum"
"475","Strychnos_cocculoides"
"476","Ficus_ottoniifolia"
"477","Croton_sylvaticus"
"478","Balanites_aegyptiaca"
"479","Ensete_ventricosum"
"480","Synsepalum_brevipes"
"481","Magnistipula_butayei"
"482","Salvadora_persica"
"483","Spirostachys_africana"
"484","Clerodendrum_ternatum"
"485","Kigelia_africana"
"486","Garcinia_livingstonei"
"487","Ficus_vallis-choudae"
"488","Ekebergia_capensis"
"489","Dracaena_fragrans"
"490","Rytigynia_umbellulata"
"491","Ficus_polita"
"492","Ekebergia_benguelensis"
"493","Croton_gratissimus"
"494","Ficus_thonningii"
"495","Bobgunnia_madagascariensis"
"496","Diospyros_mespiliformis"
"497","Viscum_triflorum"
"498","Ficus_ilicina"
"499","Ficus_mucuso"
"500","Ficus_elasticoides"
"501","Phragmanthera_capitata"
"502","Ficus_verruculosa"
"503","Ilex_mitis"
"504","Cassipourea_gummiflua"
"505","Ficus_lutea"
"506","Ficus_tremula"
"507","Ziziphus_zeyheriana"
"508","Inga_edulis"
"509","Amblygonocarpus_andongensis"
"510","Euclea_natalensis"
"511","Mystroxylon_aethiopicum"
"512","Nauclea_latifolia"
"513","Caloncoba_welwitschii"
"514","Eugenia_malangensis"
"515","Harungana_madagascariensis"
"516","Bridelia_micrantha"
"517","Oncoba_spinosa"
"518","Maranthes_glabra"
