SpecName;accSpecies;PalmTribe;PalmSubfamily;Climbing;Acaulescent;Erect;StemSolitary;StemArmed;LeavesArmed;MaxStemHeight_m;MaxStemDia_cm;UnderstoreyCanopy;MaxLeafNumber;Max_Blade_Length_m;Max_Rachis_Length_m;Max_Petiole_length_m;AverageFruitLength_cm;MinFruitLength_cm;MaxFruitLength_cm;AverageFruitWidth_cm;MinFruitWidth_cm;MaxFruitWidth_cm;FruitSizeCategorical;FruitShape;FruitColorDescription;MainFruitColors;Conspicuousness;MDG;Africa;Asia;America;Pacific;accRealm;accAfrica;moist0_dry1
Acanthophoenix_crinita;crinita;Areceae;Arecoideae;0;0;1;1;1;1;10;20;canopy;15;2.3;NA;NA;0.65;0.6;0.7;0.5;NA;NA;small;NA;black;black;cryptic;0;1;0;0;0;AFRICA;1;0
Acanthophoenix_rousselii;rousselii;Areceae;Arecoideae;0;0;1;1;1;1;25;30;canopy;NA;3;NA;NA;2;NA;NA;0.8;NA;NA;small;ovoid;black;black;cryptic;0;1;0;0;0;AFRICA;1;0
Acanthophoenix_rubra;rubra;Areceae;Arecoideae;0;0;1;1;1;1;15;18;canopy;20;3.1;3;NA;1;NA;NA;0.7;NA;NA;small;ovoid;black;black;cryptic;0;1;0;0;0;AFRICA;1;0
Acoelorrhaphe_wrightii;wrightii;Trachycarpeae;Coryphoideae;0;0;1;0;0;1;9.1;15;canopy;25;1.3;0.7;0.65;0.7;NA;NA;0.7;0.5;0.9;small;ovoid;"orange-brown;_becomming_black";"brown;_black";cryptic;0;0;0;1;0;AMERICAS;0;1
Acrocomia_aculeata;aculeata;Cocoseae;Arecoideae;0;0;1;1;1;1;12;50;canopy;30;3.5;2.5;NA;4.25;3.5;5;4.6;3.8;5.4;large;ovoid;yellowish_green;green;cryptic;0;0;0;1;0;AMERICAS;0;0
Acrocomia_crispa;crispa;Cocoseae;Arecoideae;0;0;1;1;1;1;18;35;canopy;15;3;NA;0.65;2.5;NA;NA;1.8;NA;NA;small;globose;yellow_to_orange;"yellow;_orange";conspicuous;0;0;0;1;0;AMERICAS;0;0
Acrocomia_emensis;emensis;Cocoseae;Arecoideae;0;1;0;1;1;1;0;NA;understorey;NA;NA;NA;NA;2;NA;NA;2;NA;NA;small;NA;NA;NA;NA;0;0;0;1;0;AMERICAS;0;1
Acrocomia_glaucescens;glaucescens;Cocoseae;Arecoideae;0;0;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Acrocomia_hassleri;hassleri;Cocoseae;Arecoideae;0;1;0;1;1;1;0;NA;understorey;6;0.9;0.54;0.51;2.25;1.5;3;2.25;1.5;3;small;NA;brown;brown;cryptic;0;0;0;1;0;AMERICAS;0;1
Acrocomia_intumescens;intumescens;Cocoseae;Arecoideae;0;0;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;4.6;3.8;5.4;4.6;3.8;5.4;large;NA;dull_yellowish;yellow;cryptic;0;0;0;1;0;AMERICAS;0;0
