"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"X0_alpha"	"X1_alpha"	"sigma0"	"X1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
"ouwie_Afr_BM_1"	"OUMA"	15610.3813810364	-31210.7627620729	-31210.7299213504	-31183.1942158337	5	8500000	610000	-240	0.00919182296524353	0.233468968912239	1e-09	1e-09	-50948863.6948369	0	1.23285903552536	0.101391795431009
"ouwie_Afr_BM_10"	"OUMA"	46877.8608559004	-93745.7217118007	-93745.6888710782	-93718.1531655615	5	1e+10	27000	-8.6e+09	3.00103287541446e-05	0.642924600154159	1.09705734613825e-09	1.09705734613825e-09	3484.27751001018	0	18.5684410861717	4721655980946886656
"ouwie_Afr_BM_100"	"OUMA"	15560.676078935	-31111.3521578699	-31111.3193171474	-31083.7836116307	5	3900000	-4.6	-29000	0.208278829675561	0.433159208103453	1e-09	1e-09	-5.78396705461089e-14	3.30547997061429e-14	-0.551486248003318	0.227564627589821
"ouwie_Afr_BM_101"	"OUMA"	104640.097368089	-209270.194736177	-209270.161949292	-209242.618013322	5	1.3e+12	2.3e+10	380000	0.805558800162428	1.03522864557287	1e-09	1e-09	-668409003.079576	0	4.08413079164021	0.099969727734849
"ouwie_Afr_BM_11"	"OUM"	-1260.2362683822	2528.47253676439	2528.49441860247	2550.52737375575	4	920	13	0	0.00834594388487117	0.00834594388487117	0.0369168384336626	0.0369168384336626	1.44291920450287	0.416480511168203	-0.0785212671796241	1.01602695528332
"ouwie_Afr_BM_11"	"OUMV"	-1259.31213205867	2528.62426411733	2528.65710483983	2556.19281035653	5	890	29	9.9	0.00764843422939181	0.00764843422939181	0.0369683250035129	0.0277860583466747	1.48749873662855	0.43927445428665	-0.314288876460307	1.03527816552354
"ouwie_Afr_BM_11"	"OUMVA"	-1258.35877589056	2528.71755178113	2528.76355397171	2561.79980726817	6	890	29	9.9	0.00842125511817821	0.00431147541747572	0.0372343516491217	0.041136472417075	1.45277202516224	0.414984065422513	-2.75518308375103	2.3226152787997
"ouwie_Afr_BM_11"	"OUMA"	15010.3289454624	-30010.6578909249	-30010.6250502024	-29983.0893446857	5	4900000	47000	2200	5.03146348344315e-07	0.219277392224276	1e-09	1e-09	20650.6086187022	0	4.0348093353526	0.145381164115439
"ouwie_Afr_BM_12"	"OUMA"	22758.1891105029	-45506.3782210057	-45506.3453802832	-45478.8096747665	5	5.1e+07	430	-5.3e+08	3.32234182293844	1.22456764843319	1.00119972215949e-09	1.00119972215949e-09	2.19175874695821	2.84430406425593e+49	3.04412282465088e-25	5.04180117604475e+24
"ouwie_Afr_BM_13"	"OUMA"	23747.7643617019	-47485.5287234038	-47485.4958826813	-47457.9601771646	5	6e+08	2.8e+07	28000	6.64475888549422e-06	0.466918144728741	1e-09	1e-09	-367.761100261166	33774149168660508	0.480403443737272	797979483430.51
"ouwie_Afr_BM_14"	"OUMA"	16445.4058379816	-32880.8116759631	-32880.7788352406	-32853.2431297239	5	74000	6300	-150000	2.62121778129191e-08	0.210212017479237	1e-09	1e-09	-409711.287555636	0	1.76484212812233	0.300961365091624
"ouwie_Afr_BM_15"	"OUMVA"	-1387.35632548158	2786.71265096315	2786.75865315373	2819.79490645019	6	890	31	15	0.0108531751840133	0.00522337675749819	0.042659189816537	0.0537955809215308	0.938240956997855	0.353796227919501	-1.52005106841119	2.29385757292019
"ouwie_Afr_BM_15"	"OUMA"	14905.4903680309	-29800.9807360617	-29800.9478953392	-29773.4121898225	5	4100000	85000	-1100	2.35983742578004e-05	0.224003646907961	1e-09	1e-09	29361.4063531978	0	-2.31927216705537	0.151551211995269
"ouwie_Afr_BM_16"	"OUMA"	22823.1943275516	-45636.3886551031	-45636.3558143806	-45608.8201088639	5	2.2e+07	1300	-5.3e+08	3.31194597263192	1.38674214819089	1e-09	1e-09	3.31397539957051	4.61280419430421e+53	1.86124055828235e-49	1653931337554295040
"ouwie_Afr_BM_17"	"OUMA"	14477.3008738541	-28944.6017477082	-28944.5689069857	-28917.033201469	5	6e+05	7700	-4700	0.00133069891740264	0.222614046178007	1e-09	1e-09	-242412.299749963	0	0.667566716255275	0.144169115979378
"ouwie_Afr_BM_18"	"OUMA"	443308.295040618	-886606.590081235	-886606.557240513	-886579.021534996	5	4.3e+09	5e+08	-5100	0.0380093053204776	0.264759358828312	1e-09	1e-09	177778647.899939	0	5248.97669331898	0
"ouwie_Afr_BM_19"	"OUMA"	23252.9272668885	-46495.8545337769	-46495.8216930544	-46468.2859875377	5	6e+09	4.5e+09	940	3.31810244551106	0.96630781244322	1e-09	1e-09	2.09872500582714	1.56380209298081e+63	5.20824254388739e-26	3.79324398502152e+37
"ouwie_Afr_BM_2"	"OUMVA"	15419.3435404096	-30826.6870808192	-30826.6410786286	-30793.6048253322	6	900	44	23	0.136568186871587	0.165906358129056	1e-09	66.1431352248452	1.27512720077452	2.34386197929079e-05	0.664921835886154	9.25513586017844
"ouwie_Afr_BM_2"	"OUMA"	15934.260401541	-31858.5208030819	-31858.4879623594	-31830.9522568427	5	1.3e+07	2e+06	4200	0.135194208580005	0.352685614374696	1e-09	1e-09	-180763208.145071	19100903.8693128	0.661021098334698	0.402971272980865
"ouwie_Afr_BM_20"	"OUMA"	40207.6468044557	-80405.2936089114	-80405.2607681889	-80377.7250626722	5	8.5e+08	1.7e+08	-6200000	0.117445652508107	0.322588746122819	1e-09	1e-09	-29870930.6882519	0	-9.15029117462922	0.0450811040775449
"ouwie_Afr_BM_21"	"OUMA"	23324.9480956587	-46639.8961913175	-46639.863350595	-46612.3276450783	5	6.3e+09	6400000	2100	3.22725107495024	1.73697835432885	1e-09	1e-09	0.517151406598906	1.39790476390136e+35	-4.49888955680226e-52	0
"ouwie_Afr_BM_22"	"OUMA"	41092.4865617523	-82174.9731235047	-82174.9402827822	-82147.4045772655	5	1.3e+09	1.4e+08	52000	9.47444694540573e-06	0.688309831298346	1.01763526839909e-07	1.01763526839909e-07	-147655.908144685	0	-0.106816949778308	0
"ouwie_Afr_BM_23"	"OUM"	-1444.02170629742	2896.04341259485	2896.06529443292	2918.09824958621	4	930	32	0	0.0159546112197748	0.0159546112197748	0.0568147507542203	0.0568147507542203	0.843082129610612	0.301231412875249	-0.453866010990961	0.602839216533912
"ouwie_Afr_BM_23"	"OUMV"	-1443.84031733931	2897.68063467862	2897.71347540111	2925.24918091781	5	900	37	23	0.0157793438623689	0.0157793438623689	0.056940581481947	0.0505290716595013	0.842897372207097	0.303652321422696	-0.472295487305168	0.585785955231087
"ouwie_Afr_BM_23"	"OUMVA"	-1443.83643947703	2899.67287895405	2899.71888114463	2932.75513444109	6	900	37	23	0.0158046574093867	0.0156242811662703	0.0568798636741465	0.0515303253063698	0.84347325531298	0.303234191330086	-0.481325040296818	0.596356512812513
"ouwie_Afr_BM_23"	"OUMA"	34924.9126933511	-69839.8253867021	-69839.7925459796	-69812.2568404629	5	8.8e+07	690000	29000	6.28673989142925e-05	0.634287453367393	1e-09	1e-09	-24012400.1321066	5.15270527012544e+25	-0.030009646207958	2110220400760747008
"ouwie_Afr_BM_24"	"OUMA"	23607.17193724	-47204.3438744801	-47204.3110337576	-47176.7753282409	5	6.2e+09	1.1e+07	1200	3.27822650409471	1.53540212981703	1e-09	1e-09	1.12197233882566	22077638650431.7	1.5856205766817e-38	2.40710355501979e-32
"ouwie_Afr_BM_25"	"OUMA"	22749.222014914	-45488.4440298279	-45488.4111891054	-45460.8754835887	5	1.1e+09	2900	-5.4e+08	3.28631371172916	0.955191501743406	1.0155003267281e-09	1.0155003267281e-09	0.889286371123197	3.22090446806348e+59	8.1997345779256e-26	0
