"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"0_alpha"	"1_alpha"	"sigma0"	"1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
1	"OUMVA"	16950.6996053765	-33889.399210753	-33889.3576471706	-33855.7103785647	6	1600	140	29	0.0679226360892559	0.18744015370525	1e-09	8.64703652647309e-06	0.171106305623817	4.9484692599247e-05	1.52717046548897	0.0812276440050818
1	"OUMA"	1406041.21984392	-2812072.43968784	-2812072.41001425	-2812044.36566102	5	4e+10	8.9e+09	-1.2e+07	0.285417360572591	0.463911389389	1e-09	1e-09	-186658814.664058	92964.9291596858	7.87336093541445	0.00465485462351142
10	"OUMA"	2638670.66845553	-5277331.33691107	-5277331.30723748	-5277303.26288424	5	1.9e+11	3.9e+10	-4100000	0.408111862001688	0.614747158221649	1e-09	1e-09	-458997094.052013	0	-19.9755651303318	0.0178412721256994
100	"OUMVA"	26008.9454016757	-52005.8908033515	-52005.8492397691	-51972.2019711632	6	1700	99	23	3.30004272909905	1.75083548481248	1.0003052284165e-09	8.1137586361886e-09	1.94591014905531	23201153434.7632	1.82780339637597e-72	2.17929625725461e-62
100	"OUMA"	26012.4163360926	-52014.8326721852	-52014.8029985947	-51986.7586453617	5	1.2e+07	240	-5.5e+08	3.2637298186797	1.78605342157826	1e-09	1e-09	1.94591014905531	4596044802.05063	3.5741022447795e-69	8.44167139582012e-60
101	"OUMVA"	25447.7914550186	-50883.5829100372	-50883.5413464548	-50849.8940778489	6	1700	67	8.8	3.29892950329916	1.58506884234397	1.00141276381043e-09	13.0171855241715	1.94591014905531	30275005.1213145	6.97211681759335e-80	1.08474110411272e-72
101	"OUMA"	25753.4965667205	-51496.993133441	-51496.9634598504	-51468.9191066174	5	5.9e+09	8700000	650	3.35845917689914	1.6594654423744	1e-09	1e-09	1.94591014905531	23410717.3433747	2.99364879628446e-79	3.60157768996544e-72
11	"OUMVA"	24765.8380613273	-49519.6761226547	-49519.6345590723	-49485.9872904664	6	1700	70	15	3.32532960197728	1.12624775221497	1e-09	4.02407610863013e-06	1.31994335362918	721322940175736064	1.02528589112336e-123	5.60298463924515e-106
11	"OUMA"	24970.2432757661	-49930.4865515321	-49930.4568779416	-49902.4125247086	5	5.9e+10	6e+09	1100	3.32348661103517	1.00715678568177	1e-09	1e-09	1.31994335362926	12387801839056218112	7.06248593524236e-127	6.62821446210923e-108
12	"OUMA"	19978.9440855338	-39947.8881710677	-39947.8584974772	-39919.8141442441	5	1.6e+16	2.1e+15	-2.9e+16	3.20061315104293	3.38393514032443	1e-09	1e-09	2.99822335692142e-10	1.01492023208665e-11	1.50660344011829	0.0510005944874996
12	"OUMVA"	25714.77405981	-51417.54811962	-51417.5065560377	-51383.8592874318	6	1500	230	29	3.33369719878457	1.55591881919021	1.00309883566767e-09	8.47311227561224e-08	0.780602267490838	13755.4471691704	3.37951190845301e-89	5.95523475273084e-85
13	"OUMVA"	25776.1408627046	-51540.2817254092	-51540.2401618268	-51506.5928932209	6	1700	150	27	3.31370722185559	2.13976941075657e-06	1.0221992914298e-09	2.40408457850375e-09	1.94591014905531	9671045013576134	2.66822467536677e-157	1.32652307988617e-141
13	"OUMA"	76252.2903239894	-152494.580647979	-152494.550974388	-152466.506621155	5	1e+09	1.9e+08	-810	0.143467091771008	0.355732911965064	1e-09	1e-09	-344113551.512426	0	-43.5080063930632	0.158532184292677
14	"OUMVA"	25384.984654207	-50757.9693084139	-50757.9277448315	-50724.2804762257	6	1500	210	28	3.3718420443149	1.30396626818736	1.000404924616e-09	2.18663253749624	1.94591014905531	45823952696.6646	9.81329048617447e-95	2.31091738359758e-84
14	"OUMA"	25642.8586175805	-51275.7172351611	-51275.6875615706	-51247.6432083375	5	5.9e+09	4600000	180	3.36897566048968	1.41570038576787	1e-09	1e-09	1.94591014905531	6239948368.3308	1.63537442430185e-89	5.24415373211674e-80
15	"OUMA"	216869.749390478	-433729.498780955	-433729.469107365	-433701.424754132	5	8.4e+11	3e+10	-1.2e+07	0.718708047581365	0.939371746199756	1e-09	1e-09	1014298498.79054	1927498.49368197	-0.245695251958254	0.044414750253973
16	"OUMVA"	17577.0656153008	-35142.1312306015	-35142.0896670191	-35108.4423984132	6	1500	210	32	0.242584520215566	0.269516270757722	1e-09	99.124306870613	0.426302856346862	1.69389446675275e-05	1.4146968944085	7.58456470704326
16	"OUMA"	1012413.01357576	-2024816.02715153	-2024815.99747794	-2024787.9531247	5	1.7e+10	3.2e+09	-2e+07	0.136805372548557	0.333282865518598	1e-09	1e-09	720436131.01431	0	-82800.3372541001	0
17	"OUMA"	50592.2423755858	-101174.484751172	-101174.455077581	-101146.410724348	5	9e+09	270	-7.7e+09	2.22830087483865e-05	0.619004222097006	1e-09	1e-09	13647.8637593354	4.76814977693049e+21	1.04905824733413	144446364035132416
17	"OUMVA"	51894.819528122	-103777.639056244	-103777.597492662	-103743.950224056	6	5.7e+09	980	36	1.28136878941691e-05	0.482936146850955	1.00348739787022e-09	1.00164854440711e-09	65002.2406584326	0	0.463854212963825	1061641202578.45
18	"OUMA"	242412.487264963	-484814.974529925	-484814.944856335	-484786.900503102	5	3.3e+10	5.1e+09	48000	0.484516604553057	0.702318389142723	1e-09	1e-09	486986662.369879	1431428.38328138	1.78734626863539	0.0386026127903248
19	"OUMVA"	17739.0419088269	-35466.0838176538	-35466.0422540714	-35432.3949854655	6	1700	61	4.7	0.244702940055537	0.35252694659038	1e-09	4.36702888698632e-06	0.118657934625808	1.28017657914306e-05	1.70178741150073	0.0545799963622728
19	"OUMA"	129095.643699138	-258181.287398276	-258181.257724686	-258153.213371453	5	2.6e+09	4.9e+08	-570000	0.195920773144231	0.399951127802996	1e-09	1e-09	455874805.54385	0	1.79125415479775	0.0423222882196856
2	"OUMA"	155681.798290124	-311353.596580248	-311353.566906658	-311325.522553425	5	2.6e+09	5.1e+08	330000	0.16586694251991	0.370341867213708	1.61713630572448e-09	1.61713630572448e-09	-139173101.800645	522793.549338365	0.566836382971623	0.0354429942221992
20	"OUMVA"	24590.9025239423	-49169.8050478845	-49169.7634843022	-49136.1162156963	6	5.6e+09	980	37	3.23400732608461	5.74008072445095e-09	1e-09	0.0634004878864541	1.94591014905531	4.00978241639945e+28	9.43291224960795e-153	1.94376527057426e-124
20	"OUMA"	25557.1003585609	-51104.2007171217	-51104.1710435312	-51076.1266902982	5	5.8e+09	3100000	820	3.42537959290432	2.05566989401815	1.00079227360446e-09	1.00079227360446e-09	1.94591014905531	1880485128.46952	3.90719962886612e-65	3.77583250676366e-56
21	"OUMVA"	25119.3879769481	-50226.7759538962	-50226.7343903138	-50193.0871217079	6	1700	94	23	3.24613081481473	1.82808071640281	1.00233200778152e-09	1.60973277483787e-09	2.01485557612902	3756553150652.23	6.92384161040063e-63	1.29090041610514e-50
21	"OUMA"	25240.0635884583	-50470.1271769166	-50470.0975033261	-50442.053150093	5	6.3e+09	990000	14	3.25162319965815	2.06804635550249	1e-09	1e-09	2.01489886711364	779988337.12585	9.13792505974196e-52	3.53738596435766e-43
22	"OUMA"	46927.2034058432	-93844.4068116865	-93844.377138096	-93816.3327848629	5	2.1e+09	2.5e+08	34000	0.000110192766815516	1.31986728847388	1.04101571070862e-09	1.04101571070862e-09	-401144.865321917	0	1.2750463084103	0
22	"OUMVA"	51761.7035235514	-103511.407047103	-103511.36548352	-103477.718214914	6	1600	170	33	5.12047713015227e-05	0.655155322065261	1e-09	5.70465160415452e-08	-582068.763169165	4.80665589962004e+25	1.15970053754454	20183260006599811072
23	"OUMVA"	16939.5925233887	-33867.1850467775	-33867.1434831951	-33833.4962145892	6	1600	180	30	0.090965211246518	0.130651414542158	1e-09	62.5845559030906	-0.171412302305916	5.19404979522912e-05	1.42636006819648	19.1326005937005
23	"OUMA"	25631.7272193257	-51253.4544386514	-51253.4247650609	-51225.3804118278	5	5.7e+09	4300000	1500	3.46334307913866	1.60297849367774	1.01218826203321e-09	1.01218826203321e-09	1.94591014905531	38276230806.4153	6.46535922431921e-82	1.27174207933788e-71
24	"OUMA"	91207.6398976312	-182405.279795262	-182405.250121672	-182377.205768439	5	5.8e+13	4.8e+11	-4.9e+11	2.27739155194973	2.49338408037136	1e-09	1e-09	-1673193785.91146	2293019.26672183	11.0955667384521	0.0510012366194429
25	"OUMV"	-1952.01570603038	3914.03141206075	3914.06108565126	3942.10543888431	5	1000	37	-26000	3.11913661456458	3.11913661456458	2.54234438028517	2.5823240460858	0.495024377882524	0.0146326663819069	1.00710531542147	0.0760456083087065
25	"OUMVA"	25206.7311315707	-50401.4622631413	-50401.420699559	-50367.7734309531	6	1000	37	-26000	3.36153021245903	1.03294354588574	1.00010531477079e-09	1.06018654761013e-05	1.94591014905531	10811222815030.1	1.69680400625435e-107	9.4272215980565e-95
25	"OUMA"	25276.3512384217	-50542.7024768433	-50542.6728032528	-50514.6284500198	5	5.9e+09	2.2e+09	2700	3.365897406104	1.03377515122204	1e-09	1e-09	1.94591014905531	11503252481919.8	1.16899303246879e-107	6.91050509635393e-95
26	"OUMVA"	25380.6227234346	-50749.2454468692	-50749.2038832868	-50715.556614681	6	1700	120	33	3.27870705430447	1.48166023164282	1.00002158089068e-09	1.29117078766281e-09	1.94591014905531	270910.845228522	2.70532258926642e-86	3.7663672684465e-81
26	"OUMA"	7161717.37578603	-14323424.7515721	-14323424.7218985	-14323396.6775452	5	2.1e+18	-8.7e+17	-2.2e+19	2.95182807085406	3.16287517440837	1e-09	1e-09	2667632890.26504	0	-2.31224711378628	0
27	"OUMA"	20024.0126236049	-40038.0252472097	-40037.9955736192	-40009.9512203862	5	2.6e+16	2.2e+15	-8.3e+16	3.25586350056292	3.43468458127498	1e-09	1e-09	-2.63377361255699e-14	3.37904144543808e-15	1.75856642095131	0.0288050298580926
27	"OUMVA"	25558.7664077575	-51105.5328155149	-51105.4912519325	-51071.8439833267	6	5.6e+09	980	36	3.43106086240277	1.69461459167486	1e-09	0.00140194457642613	1.94591014905531	196297.541150818	1.88373685524273e-84	1.90025686971623e-79
28	"OUMVA"	25482.4553380383	-50952.9106760767	-50952.8691124943	-50919.2218438884	6	1400	270	23	3.34349066032157	1.37769074547906	1.0006142325501e-09	1.03695087439779e-09	1.94591014905531	5344133611.53302	5.64414948138794e-92	1.55007614131851e-82
28	"OUMA"	25488.638032786	-50967.276065572	-50967.2463919815	-50939.2020387484	5	6e+09	1.3e+07	1200	3.3228281908341	1.37377851124275	1e-09	1e-09	1.94591014905531	4021073297.24887	3.35548564445011e-91	6.93385238303554e-82
29	"OUMA"	20201.9466168977	-40393.8932337955	-40393.8635602049	-40365.8192069719	5	470000	-220	-3.1e+07	1.54476333643937e-07	0.269907269494113	1.00302204536026e-09	1.00302204536026e-09	-3.4691413560058e-11	0	0.976401135515291	51.2820515814208
29	"OUMVA"	23743.20360043	-47474.4072008599	-47474.3656372775	-47440.7183686717	6	1700	80	35	0.889615168840481	1.67200546967285e-07	1e-09	23.3272791464183	1.31928641822929	299368998808392	7.58130788582081e-46	1.72033041504555e-31
