"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"0_alpha"	"1_alpha"	"sigma0"	"1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"	"fit"	"delta"	"w"
1	"BM1"	-2399.98994635687	4803.97989271374	4803.98581863966	4815.20950344316	2	1000	0	0	0	0	0.107678578523072	0	0.98181045761178	1.32251925602892	0	0	4803.98581863966	1096.8005989308	4.12425660054634e-239
1	"BMS"	-2387.30376697031	4780.60753394063	4780.61939164814	4797.45195003476	3	990	30	0	0	0	0.109755737916685	0.0374248816778087	1.01384558555735	1.31699194118449	0	0	4780.61939164814	1073.43417193928	4.88990959842913e-234
1	"OU1"	-1866.01967549049	3738.03935098097	3738.05120868848	3754.88376707511	3	1700	120	0	0.229540467420191	0	0.215508998401302	0	0.584807681085415	0.021181868738722	0	0	3738.05120868848	30.8659889796254	1.20255587362e-07
1	"OUM"	-1849.58272354696	3707.16544709393	3707.18521970886	3729.62466855277	4	1700	120	0	0.24427285087464	0.24427285087464	0.222244079501468	0.222244079501468	0.550128509645675	0.0209315638323908	1.09248258629828	0.0906078895919029	3707.18521970886	0	0.60613534596209
1	"OUMV"	-1849.00886933619	3708.01773867238	3708.04741226289	3736.09176549594	5	1600	140	29	0.242122876209674	0.242122876209674	0.22186926333964	0.183125863553233	0.55083235931607	0.0210769424145643	1.09313946753079	0.0827715894735983	3708.04741226289	0.862192554027843	0.393864533782322
10	"BM1"	-1998.74418674686	4001.48837349371	4001.49429941964	4012.71798422313	2	1000	0	0	0	0	0.0689224135841866	0	1.03988510330625	1.09530723425523	0	0	4001.49429941964	696.985474807052	2.95898826456718e-152
10	"BMS"	-1975.03202354747	3956.06404709493	3956.07590480244	3972.90846318907	3	990	27	0	0	0	0.0705974372387201	0.013411443796432	1.1363464121177	1.07959097371723	0	0	3956.07590480244	651.567080189858	2.15586877475633e-142
10	"OU1"	-1659.89469034527	3325.78938069054	3325.80123839805	3342.63379678467	3	1400	240	0	0.108133685638963	0	0.104418936809959	0	0.690147731313545	0.0311943418383293	0	0	3325.80123839805	21.2924137854634	1.57046106475676e-05
10	"OUM"	-1649.76297588981	3307.52595177961	3307.54572439454	3329.98517323846	4	1400	230	0	0.112958136212202	0.112958136212202	0.105980898085873	0.105980898085873	0.639487697534754	0.0312949222623939	1.13370289916574	0.102968662654775	3307.54572439454	3.03689978195825	0.144597795460605
10	"OUMVA"	-1647.45161816562	3306.90323633125	3306.94479991363	3340.59206851952	6	1400	260	25	0.10572794430004	0.103324639225487	0.103245315925555	0.0841810991635561	0.651762489286764	0.0333876917316362	1.13621920222962	0.0874787965031056	3306.94479991363	2.43597530105035	0.195276851760354
10	"OUMV"	-1647.23957551104	3304.47915102208	3304.50882461258	3332.55317784564	5	1400	260	25	0.109760911449912	0.109760911449912	0.10553723008665	0.0671034234962018	0.645116028417422	0.0322984682736693	1.13825937724551	0.0842771567395692	3304.50882461258	0	0.660109648168394
100	"BM1"	-2523.03202117021	5050.06404234042	5050.06996826634	5061.29365306984	2	1000	0	0	0	0	0.102826392882233	0	0.983498818881737	1.36241697100914	0	0	5050.06996826634	1220.54471176467	5.97863473643488e-266
100	"BMS"	-2496.87361180666	4999.74722361331	4999.75908132082	5016.59163970745	3	980	25	0	0	0	0.105949029574914	0.0154470476395698	1.06801464166364	1.35986450895538	0	0	4999.75908132082	1170.23382481915	5.0288920264651e-255
100	"OU1"	-1930.62845118745	3867.25690237491	3867.26876008242	3884.10131846904	3	1700	80	0	0.243540692085151	0	0.230903571028868	0	0.546575638684226	0.0195770652870519	0	0	3867.26876008242	37.7435035807398	4.15547785721236e-09
100	"OUM"	-1910.75274194337	3829.50548388675	3829.52525650168	3851.96470534559	4	1700	72	0	0.260076558510281	0.260076558510281	0.23881170143942	0.23881170143942	0.51564067056196	0.0193513861526508	1.0849233284452	0.087006076388899	3829.52525650168	0	0.652407040155518
100	"OUMV"	-1910.37742798982	3830.75485597964	3830.78452957014	3858.8288828032	5	1700	99	23	0.258667753750714	0.258667753750714	0.239004927155442	0.203952332967482	0.515786359238994	0.0194446807375056	1.0853460090239	0.0807219286128034	3830.78452957014	1.25927306846734	0.347592955689004
101	"BM1"	-2590.21181990061	5184.42363980121	5184.42956572714	5195.65325053063	2	1000	0	0	0	0	0.116198668266055	0	1.02526899535259	1.37692642240736	0	0	5184.42956572714	1283.0306182164	1.91370554831126e-279
101	"BMS"	-2554.61035100975	5115.22070201951	5115.23255972702	5132.06511811364	3	990	28	0	0	0	0.119019503781382	0.0148579139184239	1.07572412799413	1.38152203871681	0	0	5115.23255972702	1213.83361221627	2.03148701650873e-264
101	"OU1"	-1968.33853190901	3942.67706381801	3942.68892152552	3959.52147991215	3	1700	26	0	0.294020237872335	0	0.282747264679552	0	0.559289195769719	0.0189726979312087	0	0	3942.68892152552	41.2899740147827	8.36430733271873e-10
