"id"	"model"	"loglik"	"AIC"	"AICc"	"BIC"	"param.count"	"eigval1"	"eigval2"	"eigval3"	"0_alpha"	"1_alpha"	"sigma0"	"1_sigma.sq"	"theta0"	"theta_se0"	"theta_1"	"theta_se_1"
1	"BM1"	-2380.28963959207	4764.57927918414	4764.58524933339	4775.79404203542	2	1000	0	0	0	0	0.108167712094724	0	0.95152623265461	1.33039301966332	0	0
1	"BMS"	-2369.18001191882	4744.36002383765	4744.37197007956	4761.18216811457	3	990	23	0	0	0	0.109804646102241	0.0347964423514116	0.986447454902478	1.32431519435268	0	0
1	"OU1"	-1834.84950728178	3675.69901456355	3675.71096080546	3692.52115884047	3	1700	120	0	0.243381947237739	0	0.221536037462499	0	0.563730228605661	0.0205108154412292	0	0
1	"OUM"	-1829.58264151552	3667.16528303103	3667.18520334976	3689.59480873359	4	1700	120	0	0.248913108793025	0.248913108793025	0.22419806182765	0.22419806182765	0.54769939548165	0.0206838961218973	0.884056881144803	0.100779789080867
1	"OUMV"	-1827.1144989489	3664.2289978978	3664.25889326402	3692.265905026	5	1600	130	23	0.247109981162591	0.247109981162591	0.225246266055948	0.141366203264485	0.548196055576544	0.0208615218092405	0.886644492302212	0.0806123633294454
1	"OUMVA"	17308.0813053175	-34604.162610635	-34604.1207362582	-34570.5183220812	6	1600	130	23	0.129415604663563	0.221969456493758	1e-09	0.0004308937416068	0.120941151495372	2.74824341726293e-05	1.29760608273369	0.433395364819086
1	"OUMA"	837830.132575914	-1675650.26515183	-1675650.23525646	-1675622.2282447	5	1.7e+15	-1.3e+15	-2.5e+16	3.05820718959447	3.26012803496904	1e-09	1e-09	-35138892.412098	181000.097008191	1.66014144327853	0.0116958700505711
10	"BM1"	-1980.33950411781	3964.67900823561	3964.68497838487	3975.89377108689	2	1000	0	0	0	0	0.0694074876701965	0	0.928939837332213	1.11828822787192	0	0
10	"BMS"	-1965.33917783967	3936.67835567933	3936.69030192124	3953.50049995625	3	990	21	0	0	0	0.0705918985127475	0.0166030319966208	0.990084294616243	1.10632824074328	0	0
10	"OU1"	-1634.79796881739	3275.59593763477	3275.60788387668	3292.41808191169	3	1400	230	0	0.113119532070714	0	0.106060131838196	0	0.655327296384248	0.0301759505367236	0	0
10	"OUM"	-1632.32138995764	3272.64277991529	3272.66270023401	3295.07230561785	4	1400	230	0	0.114963861879647	0.114963861879647	0.106785333356759	0.106785333356759	0.63459281726156	0.0307990122454782	0.904631507062804	0.115984220891146
10	"OUMV"	-1627.58767106933	3265.17534213865	3265.20523750487	3293.21224926685	5	1400	250	20	0.111457777909866	0.111457777909866	0.106387197400794	0.0522996322396102	0.641354533708002	0.0318784273683296	0.905302684573602	0.084101044304305
10	"OUMVA"	-1626.96149622525	3265.92299245049	3265.96486682736	3299.56728100433	6	1400	250	20	0.111484551854721	0.117108392217842	0.106170464774251	0.023452852536617	0.641019047220826	0.0318427103599098	0.898293744656446	0.07764691099957
10	"OUMA"	24384.2356151276	-48758.4712302552	-48758.441334889	-48730.434323127	5	6e+09	2200000	1400	3.33838691179398	1.59530062871207	1e-09	1e-09	1.94591014905531	3217626951.00874	1.84361417677757e-80	3.04847716907235e-71
100	"BM1"	-2504.0244634445	5012.048926889	5012.05489703825	5023.26368974028	2	1000	0	0	0	0	0.103521449150077	0	0.95093206159189	1.37205943770954	0	0
100	"BMS"	-2488.00003593657	4982.00007187315	4982.01201811506	4998.82221615007	3	990	18	0	0	0	0.105644338344575	0.0196427558500068	0.952340229864318	1.37186626490234	0	0
100	"OU1"	-1897.10240900648	3800.20481801296	3800.21676425487	3817.02696228988	3	1700	68	0	0.261567913266921	0	0.240326439702023	0	0.528743747850268	0.0189421368331637	0	0
100	"OUM"	-1891.41655205067	3790.83310410133	3790.85302442006	3813.26262980389	4	1700	67	0	0.26611141250662	0.26611141250662	0.242353015298655	0.242353015298655	0.515327303956398	0.0191320679566671	0.856305175803111	0.0988628115290848
100	"OUMV"	-1888.78702571467	3787.57405142934	3787.60394679556	3815.61095855754	5	1700	91	20	0.258514242442678	0.258514242442678	0.238536046256035	0.143068204515997	0.516206954608947	0.0194303073987703	0.856751640619625	0.0774750907880543
100	"OUMVA"	20147.6983977026	-40283.3967954052	-40283.3549210284	-40249.7525068514	6	1700	91	20	3.10483709999908	3.19695910677459	1e-09	1.68190247548385e-05	2.05463476270527	0.0044153663483258	0.755871577647353	0.0483426126458574
100	"OUMA"	24601.5683267137	-49193.1366534273	-49193.1067580611	-49165.0997462991	5	4.2e+07	320	-5.5e+08	3.262940903684	1.37880363101542	1e-09	1e-09	1.94591014905531	3387626432.13046	1.11187580287745e-89	1.93565970191507e-80
101	"BM1"	-2570.78471878174	5145.56943756348	5145.57540771273	5156.78420041476	2	1000	0	0	0	0	0.117037706393469	0	0.991308173502006	1.38585791954819	0	0
101	"BMS"	-2548.97262050494	5103.94524100989	5103.9571872518	5120.76738528681	3	990	21	0	0	0	0.11901190759036	0.0194315527472682	1.01031830049777	1.38170356500335	0	0
101	"OU1"	-1927.57168165016	3861.14336330031	3861.15530954222	3877.96550757723	3	2000	4	0	2.25800053037322	0	1.83197400258912	0	0.508478383142337	0.0144503368836686	0	0
101	"OUMVA"	-1925.02499108589	3862.04998217179	3862.09185654866	3895.69427072563	6	1700	45	1.7	0.27000300037129	0.276267789681475	0.263075849127861	0.0516470147606463	0.538937922195403	0.0200858723184084	0.858349267286896	0.0677475422622092
101	"OUMV"	-1923.57231730244	3857.14463460487	3857.17452997109	3885.18154173307	5	1700	45	1.7	0.387167580481067	0.387167580481067	0.352820296955776	0.194691050818595	0.520711327884387	0.0177245177036382	0.84370863208539	0.0712650189631781
101	"OUM"	-1922.27165652445	3852.5433130489	3852.56323336762	3874.97283875146	4	2000	4	0	2.23762447699489	2.23762447699489	1.80595015270074	1.80595015270074	0.500219716801842	0.0146377317850997	0.777744820593712	0.0838313748146044
101	"OUMA"	31881.448038673	-63752.8960773461	-63752.8661819799	-63724.8591702179	5	8e+09	-7.4e+09	-2.9e+11	1.62510885652322	1.83639654625783	1.09739055851398e-09	1.09739055851398e-09	83964111.9084385	3311839.56846819	-455.84140584001	0.0974866827676164
