threshold;model;n;alpha0;alpha1;sigma0;sigma1;theta0;theta1;aicw;trees
25;OUM;1;2.24;2.24;1.81;1.81;0.50;0.78;0.89;MCC
25;OU1;1;3.43;0.00;2.88;0.00;0.51;0.00;1.00;set_of_trees
25;OUM;17;1.62;1.62;1.32;1.32;0.53;0.83;0.72;set_of_trees
25;OUMV;79;1.11;1.11;0.98;0.64;0.55;0.85;0.84;set_of_trees
25;OUMVA;3;0.18;0.19;0.17;0.02;0.58;0.83;0.66;set_of_trees
50;OUM;1;2.15;2.15;1.74;1.74;0.50;0.87;0.88;MCC
50;OUM;32;2.13;2.13;1.79;1.79;0.52;0.91;0.75;set_of_trees
50;OUMV;68;0.77;0.77;0.69;0.52;0.56;0.95;0.77;set_of_trees
75;OUM;1;1.99;1.99;1.62;1.62;0.50;1.00;0.77;MCC
75;OU1;1;3.39;0.00;3.50;0.00;0.52;0.00;1.00;set_of_trees
75;OUM;56;1.68;1.68;1.43;1.43;0.53;1.06;0.72;set_of_trees
75;OUMV;43;0.37;0.37;0.36;0.33;0.57;1.08;0.65;set_of_trees
